GlyTouCan	MonosaccharideDB_ID
G00017MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00017MO	1
G00017MO	13
G00025AJ	2
G00025AJ	7
G00025AJ	205
G00031MO	2
G00031MO	14
G00033MO	1
G00033MO	2
G00033MO	14
G00034MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00034MO	1
G00034MO	2
G00035MO	1
G00035MO	14
G00036MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00036MO	1
G00037MO	1
G00037MO	14
G00038MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00038MO	1
G00039MO	14
G00040MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00040MO	14
G00042MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00042MO	1
G00044MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00044MO	14
G00047MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00047MO	2
G00047MO	7
G00048MO	1
G00048MO	2
G00048MO	7
G00049MO	1
G00049MO	2
G00049MO	4
G00050MO	1
G00050MO	2
G00050MO	4
G00050MO	7
G00052MO	1
G00052MO	2
G00052MO	7
G00053MO	1
G00053MO	2
G00053MO	6
G00053MO	7
G00054MO	1
G00054MO	2
G00054MO	6
G00054MO	7
G00055MO	1
G00055MO	2
G00056MO	1
G00056MO	2
G00057MO	1
G00057MO	12
G00059MO	2
G00059MO	4
G00059MO	10
G00060BT	Some monosaccharide(s) has no ID in monosaccharide DB
G00060BT	3
G00060BT	5
G00061MO	2
G00061MO	4
G00061MO	10
G00061MO	12
G00063MO	2
G00063MO	6
G00063MO	12
G00065MO	1
G00065MO	2
G00065MO	6
G00066MO	2
G00066MO	7
G00066MO	14
G00068MO	2
G00068MO	7
G00069MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00069MO	1
G00069MO	2
G00070MO	Some monosaccharide(s) has no ID in monosaccharide DB
G00070MO	1
G00070MO	2
G00076PK	1
G00076PK	2
G00076PK	10
G00089VH	Some monosaccharide(s) has no ID in monosaccharide DB
G00089VH	1
G00089VH	2
G00089VH	3
G00089VH	5
G00089VH	6
G00112IO	1
G00112IO	2
G00112IO	14
G00112IO	18
G00155YT	1
G00155YT	2
G00155YT	3
G00155YT	5
G00155YT	6
G00155YT	7
G00176HZ	1
G00176HZ	3
G00176HZ	5
G00176HZ	7
G00212ZT	Some monosaccharide(s) has no ID in monosaccharide DB
G00212ZT	3
G00212ZT	5
G00221CZ	Some monosaccharide(s) has no ID in monosaccharide DB
G00221CZ	1
G00221CZ	2
G00221CZ	3
G00221CZ	5
G00227RN	1
G00227RN	2
G00227RN	3
G00227RN	5
G00227RN	6
G00227RN	7
G00272VU	1
G00272VU	2
G00272VU	3
G00272VU	5
G00272VU	7
G00279YF	Some monosaccharide(s) has no ID in monosaccharide DB
G00279YF	1
G00279YF	3
G00279YF	5
G00279YF	12
G00281HB	Some monosaccharide(s) has no ID in monosaccharide DB
G00281HB	1
G00281HB	3
G00281HB	5
G00287UD	1
G00287UD	2
G00287UD	18
G00320ZP	1
G00320ZP	2
G00320ZP	3
G00320ZP	5
G00320ZP	6
G00361YF	Some monosaccharide(s) has no ID in monosaccharide DB
G00361YF	1
G00361YF	3
G00361YF	5
G00362UY	Some monosaccharide(s) has no ID in monosaccharide DB
G00362UY	7
G00370EI	1
G00370EI	2
G00370EI	4
G00370EI	6
G00395TQ	1
G00395TQ	3
G00395TQ	5
G00395TQ	7
G00413UF	1
G00413UF	2
G00413UF	3
G00413UF	5
G00413UF	6
G00428HK	1
G00428HK	2
G00428HK	7
G00428HK	10
G00428HK	18
G00430ZK	Some monosaccharide(s) has no ID in monosaccharide DB
G00430ZK	1
G00430ZK	2
G00430ZK	6
G00430ZK	7
G00432WV	Some monosaccharide(s) has no ID in monosaccharide DB
G00432WV	1
G00432WV	2
G00432WV	3
G00432WV	5
G00432WV	7
G00463XD	1
G00463XD	3
G00463XD	5
G00463XD	7
G00469BS	Some monosaccharide(s) has no ID in monosaccharide DB
G00469BS	1
G00469BS	3
G00469BS	5
G00469BS	7
G00469BS	12
G00470UO	Some monosaccharide(s) has no ID in monosaccharide DB
G00470UO	1
G00470UO	3
G00470UO	5
G00470UO	7
G00470UO	12
G00482HJ	3
G00482HJ	5
G00482HJ	15
G00492CQ	Some monosaccharide(s) has no ID in monosaccharide DB
G00492CQ	1
G00492CQ	3
G00492CQ	5
G00492CQ	7
G00503EE	Some monosaccharide(s) has no ID in monosaccharide DB
G00503EE	1
G00503EE	2
G00503EE	3
G00503EE	5
G00503EE	7
G00504PZ	1
G00504PZ	2
G00504PZ	3
G00504PZ	5
G00504PZ	15
G00531ZU	Some monosaccharide(s) has no ID in monosaccharide DB
G00531ZU	1
G00531ZU	2
G00531ZU	3
G00531ZU	5
G00531ZU	6
G00531ZU	7
G00531ZU	14
G00536FZ	1
G00536FZ	2
G00536FZ	3
G00536FZ	5
G00536FZ	7
G00545NQ	Some monosaccharide(s) has no ID in monosaccharide DB
G00545NQ	1
G00545NQ	2
G00545NQ	3
G00545NQ	5
G00545NQ	7
G00547ZN	1
G00547ZN	3
G00547ZN	166
G00553AN	Some monosaccharide(s) has no ID in monosaccharide DB
G00553AN	1
G00553AN	3
G00553AN	5
G00553AN	7
G00582VL	Some monosaccharide(s) has no ID in monosaccharide DB
G00582VL	1
G00582VL	3
G00582VL	5
G00582VL	7
G00582VL	166
G00606LX	Some monosaccharide(s) has no ID in monosaccharide DB
G00606LX	1
G00606LX	2
G00606LX	3
G00606LX	5
G00606LX	7
G00619DD	3
G00633GI	Some monosaccharide(s) has no ID in monosaccharide DB
G00633GI	1
G00633GI	2
G00633GI	3
G00633GI	5
G00644ZZ	Some monosaccharide(s) has no ID in monosaccharide DB
G00644ZZ	1
G00644ZZ	3
G00644ZZ	5
G00646SN	1
G00646SN	2
G00646SN	3
G00646SN	5
G00646SN	6
G00646SN	15
G00662IB	1
G00662IB	2
G00662IB	3
G00662IB	5
G00662IB	6
G00675GF	Some monosaccharide(s) has no ID in monosaccharide DB
G00675GF	1
G00675GF	2
G00675GF	7
G00688TE	Some monosaccharide(s) has no ID in monosaccharide DB
G00691NS	Some monosaccharide(s) has no ID in monosaccharide DB
G00691NS	1
G00691NS	2
G00691NS	3
G00691NS	5
G00691NS	7
G00695JO	Some monosaccharide(s) has no ID in monosaccharide DB
G00695JO	1
G00695JO	3
G00695JO	5
G00695JO	7
G00705XW	Some monosaccharide(s) has no ID in monosaccharide DB
G00705XW	2
G00705XW	7
G00705XW	91
G00705XW	215
G00706AL	1
G00706AL	2
G00706AL	3
G00706AL	5
G00706AL	6
G00706AL	15
G00706QN	Some monosaccharide(s) has no ID in monosaccharide DB
G00706QN	1
G00706QN	3
G00706QN	5
G00706QN	7
G00711QT	Some monosaccharide(s) has no ID in monosaccharide DB
G00743WU	1
G00743WU	3
G00743WU	5
G00743WU	6
G00743WU	7
G00743WU	12
G00797ZX	1
G00797ZX	2
G00797ZX	3
G00797ZX	5
G00797ZX	7
G00797ZX	10
G00826SV	1
G00826SV	2
G00826SV	3
G00826SV	5
G00826SV	7
G00830CM	1
G00830CM	2
G00830CM	3
G00830CM	5
G00830CM	6
G00850LT	1
G00850LT	3
G00850LT	5
G00851XQ	1
G00851XQ	2
G00851XQ	4
G00851XQ	7
G00876GU	1
G00876GU	3
G00876GU	4
G00876GU	5
G00883DO	1
G00883DO	2
G00883DO	3
G00883DO	5
G00883ZT	Some monosaccharide(s) has no ID in monosaccharide DB
G00883ZT	1
G00883ZT	3
G00883ZT	5
G00891GP	1
G00891GP	2
G00891GP	6
G00891GP	18
G00901NZ	Some monosaccharide(s) has no ID in monosaccharide DB
G00901NZ	1
G00901NZ	2
G00901NZ	7
G00909GK	1
G00909GK	3
G00909GK	5
G00910WD	1
G00910WD	2
G00910WD	3
G00910WD	5
G00910WD	6
G00910WD	7
G00910WD	15
G00966RI	Some monosaccharide(s) has no ID in monosaccharide DB
G00966RI	1
G00966RI	2
G00966RI	3
G00966RI	5
G00966RI	10
G00972DY	Some monosaccharide(s) has no ID in monosaccharide DB
G00972DY	1
G00972DY	3
G00972DY	5
G00978TF	Some monosaccharide(s) has no ID in monosaccharide DB
G00978TF	1
G00978TF	2
G00978TF	3
G00978TF	5
G00979XR	1
G00979XR	2
G00979XR	14
G00982QD	Some monosaccharide(s) has no ID in monosaccharide DB
G00982QD	1
G00982QD	2
G00982QD	3
G00982QD	5
G00986YT	1
G00986YT	2
G00986YT	3
