"gtc"	"ch"
"https://glytoucan.org/Structures/Glycans/G09481MH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63264"
"https://glytoucan.org/Structures/Glycans/G09481MH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63265"
"https://glytoucan.org/Structures/Glycans/G06343ST"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63287"
"https://glytoucan.org/Structures/Glycans/G02442IE"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63313"
"https://glytoucan.org/Structures/Glycans/G00021QP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63389"
"https://glytoucan.org/Structures/Glycans/G00021QP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63420"
"https://glytoucan.org/Structures/Glycans/G07059ZD"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63628"
"https://glytoucan.org/Structures/Glycans/G10762QF"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63757"
"https://glytoucan.org/Structures/Glycans/G09696KF"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63767"
"https://glytoucan.org/Structures/Glycans/G07556DI"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63868"
"https://glytoucan.org/Structures/Glycans/G05524EW"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:63914"
"https://glytoucan.org/Structures/Glycans/G00082GU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6409"
"https://glytoucan.org/Structures/Glycans/G00980LB"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64094"
"https://glytoucan.org/Structures/Glycans/G00980LB"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64097"
"https://glytoucan.org/Structures/Glycans/G00980LB"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64098"
"https://glytoucan.org/Structures/Glycans/G08254PX"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64168"
"https://glytoucan.org/Structures/Glycans/G07096EW"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64179"
"https://glytoucan.org/Structures/Glycans/G11176EP"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64248"
"https://glytoucan.org/Structures/Glycans/G07253YS"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64277"
"https://glytoucan.org/Structures/Glycans/G00097OK"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:6430"
"https://glytoucan.org/Structures/Glycans/G04075BC"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64397"
"https://glytoucan.org/Structures/Glycans/G11035YU"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64505"
"https://glytoucan.org/Structures/Glycans/G02747VH"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64528"
"https://glytoucan.org/Structures/Glycans/G00399LG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64529"
"https://glytoucan.org/Structures/Glycans/G10369QG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64847"
"https://glytoucan.org/Structures/Glycans/G10369QG"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64851"
"https://glytoucan.org/Structures/Glycans/G05984ZE"	"https://www.ebi.ac.uk/chebi/searchId.do?chebiId=CHEBI:64879"
