SID,REGID,CID
252297277,G18948TG,91862953
252297276,G36356IS,91862952
252297275,G92343BA,91862951
252297274,G69976JD,91862950
252297273,G63717SU,71298097
252297272,G75653WD,91862949
252297271,G02015HL,91862948
252297270,G51718XB,91862947
252297269,G80294GH,91862946
252297268,G18398IN,91862945
252297267,G56456AQ,91862944
252297266,G01821FN,91862943
252297265,G85428QV,91862942
252297264,G45160KX,91862941
252297263,G42519AN,91862940
252297262,G85304RG,91862939
252297261,G69260NR,91862938
252297260,G69665HU,91862937
252297259,G74874GJ,91862936
252297258,G15377DQ,91862935
252297257,G28224DD,91862934
252297256,G55197RI,91862933
252297255,G15151LH,91862932
252297254,G07650RA,91862931
252297253,G08749FU,91862930
252297252,G47903IP,91862929
252297251,G18418ZT,91862928
252297250,G88584HO,91862927
252297249,G52458ZS,91862926
252297248,G36571WY,91862925
252297247,G41193WV,91862924
252297246,G77670FL,91862923
252297245,G86997SV,91862922
252297244,G46559US,91862921
252297243,G38557KR,91862920
252297242,G00854PO,46224586
252297241,G80734PR,439255
252297240,G08651QI,91862919
252297239,G71409ZP,91862918
252297238,G83311IC,91862917
252297237,G94514IB,91862916
252297236,G82339ZS,25323129
252297235,G63176JN,91862915
252297234,G39660HZ,91862914
252297233,G54945DX,71297353
252297232,G33476GF,25061460
252297231,G21617MI,91862913
252297230,G17107VB,91862912
252297229,G56989CP,91862911
252297228,G86485UC,91862910
252297227,G91782XF,136666733
252297226,G73421LO,91862908
252297225,G03572II,91862907
252297224,G01139KZ,91862906
252297223,G92916TR,91862905
252297222,G68447WW,91862904
252297221,G77788QV,91862903
252297220,G77002BB,91862902
252297219,G95440SV,91862901
252297218,G66163TI,53262359
252297217,G32970PS,91862900
252297216,G26320VF,5287808
252297215,G91784HU,91862899
252297214,G76900VI,91862898
252297213,G68677IR,91862897
252297212,,Project:
252297211,G32303JY,91862896
252297210,G83218BR,91862895
252297209,G93769TM,91862894
252297208,G27139SJ,71297335
252297207,G83010IY,91862893
252297206,G64081JH,91862892
252297205,G94679TQ,91862891
252297204,G08881LV,91862890
252297203,G37578BP,91862889
252297202,G80372OG,136666732
252297201,G57221JN,91862887
252297200,G13793TQ,91862886
252297199,G42108CW,25021190
252297198,G69103XG,91862885
252297197,G51207LN,91862884
252297196,G47792AA,91862883
252297195,G02106OV,91862882
252297194,G47515FY,91862881
252297193,G58161NS,79025
252297192,G53897JB,91862880
252297191,G34705BQ,91862879
252297190,G41388YM,91862878
252297189,G45127NY,11008505
252297188,G66043KI,91862877
252297187,G89501QI,91862876
252297186,G88958OW,91862875
252297185,G05860IG,91862874
252297184,G90779DH,71297906
252297183,G85309DH,91862873
252297182,G24472PB,71298470
252297181,G23450YU,91862872
252297180,G00367PP,91862871
252297179,G62479EJ,91862870
252297178,G50251EH,91862869
252297177,G55269JG,91862868
252297176,G66180WP,91862867
252297175,G94142GT,10201852
252297174,G50348ER,53239717
252297173,G51557RL,91862866
252297172,G82845MH,91862865
252297171,G30813ZX,91862864
252297170,G83423JP,91862863
252297169,G53294DP,91862862
252297168,G87690VK,91862861
252297167,G91121KI,91862860
252297166,G69893KP,9963743
252297165,G32190ZO,91862859
252297164,G64541AU,91862858
252297163,G34762SR,91862857
252297162,G31181UF,91862856
252297161,G55600PH,91862855
252297160,G91005MV,91862854
252297159,G13659RH,91862853
252297158,G96637FR,91862852
252297157,G99824UI,91862851
252297156,G74213ZP,91862850
252297155,G54215YX,91862849
252297154,G70681VG,71297293
252297153,G49341AW,91862848
252297152,G24476KP,91862847
252297151,G30770II,11425306
252297150,G16986CA,91862846
252297149,G45612WX,91862845
252297148,G23484GM,91862844
252297147,G33066WV,71297341
252297146,G58162TA,91862843
252297145,G14362AC,91862842
252297144,G27818GJ,90659848
252297143,G35238YS,91862841
252297142,G48638TB,91862840
252297141,G76069JO,21582504
252297140,G54822UD,91862839
252297139,G09185JU,91862838
252297138,G29172WU,91862837
252297137,G84877HY,91862836
252297136,G06668KQ,91862835
252297135,G11818HY,91862834
252297134,G87391YH,91847921
252297133,G20106RU,91862833
252297132,G73680XT,448244
252297131,G67549HD,91862832
252297130,G04267XF,91862831
252297129,G93450TT,91862830
252297128,G92130SN,7427
252297127,G27363DT,91862829
252297126,G94001PU,92817
252297125,G36786CO,91862828
252297124,G30913DJ,91862827
252297123,G54790BU,91862826
252297122,G38578RB,5459352
252297121,G75586OT,71298398
252297120,G38506CT,91862825
252297119,G53778HF,91862824
252297118,G61721ZA,91862823
252297117,G57774MT,91862822
252297116,G73775TI,91862821
252297115,G41094GJ,91862820
252297114,G51289AA,91850771
252297113,G35508EH,91862819
252297112,G94626AX,71297316
252297111,G52706OU,91862818
252297110,G03673DD,91862817
252297109,G00667FG,91862816
252297108,G43507KQ,91862815
252297107,G05889DI,91862814
252297106,G23997SS,91862813
252297105,G38601ZL,91862812
252297104,G19089MC,5288903
252297103,G27736EB,11037237
252297102,G12115PE,91862811
252297101,G60631VF,91862810
252297100,G96081GH,91862809
252297099,G49174PB,14730837
252297098,G02265OW,91862808
252297097,G26833MY,91862807
252297096,G71955WQ,91862806
252297095,G01625GQ,91862805
252297094,G34068XZ,53239718
252297093,G03282AN,91862804
252297092,G99225ZM,91862803
252297091,G34398NA,91862802
252297090,G88608NS,91862801
252297089,G40031HX,91862800
252297088,G07218TZ,91862799
252297087,G67880VF,91862798
252297086,G69996RR,91862797
252297085,G68614NL,91862796
252297084,G63242EU,91862795
252297083,G95983EU,91862794
252297082,G14300ZJ,91862793
252297081,G23654OQ,71298103
252297080,G97732XI,441484
252297079,G82722RG,91862792
252297078,G56338IR,91862791
252297077,G99225RS,91862790
252297076,G35679QA,91862789
252297075,G89058RF,71297810
252297074,G26176JA,91862788
252297073,G15403PA,71298036
252297072,G66846ML,91862787
252297071,G30871VQ,91862786
252297070,G17921YI,91862785
252297069,G11482NO,71298104
252297068,G23326BI,91862784
252297067,G12254VU,91862783
252297066,G86562DX,11954203
252297065,G28827LL,91862782
252297064,G59128IS,91862781
252297063,G00065MO,44611401
252297062,G73426UV,91862780
252297061,G71288QS,71298225
252297060,G54794OM,91862779
252297059,G93723GS,441478
252297058,G58773TI,91862778
252297057,G64618XR,91862777
252297056,G99969KX,91862776
252297055,G94768DB,24861831
252297054,G20386CD,439548
252297053,G04544OS,91862775
252297052,G15745OP,91862774
252297051,G24946ZQ,91862773
252297050,G51941HK,91862772
252297049,G70197EV,91862771
252297048,G14934UB,91862770
252297047,G29470MA,91862769
252297046,G27405XF,71298202
252297045,G22827CG,91862768
252297044,G39245GA,91862767
252297043,G02594WS,51351681
252297042,G04984FA,91862766
252297041,G14938IR,91862765
252297040,G92784DQ,91862764
252297039,G27691FZ,91862763
252297038,G83635VI,91862762
252297037,G22215XV,91862761
252297036,G30423VK,91862760
252297035,G41245OZ,91862759
252297034,G43200NM,91862758
252297033,G56459BH,91862757
252297032,G06291OS,91862756
252297031,G06881DK,14131409
252297030,G27839GC,91862755
252297029,G64003EJ,91862754
252297028,G54627ZF,91862753
252297027,G45395GR,91862752
252297026,G85079IJ,91862751
252297025,G12277YI,91862750
252297024,G98347QY,91862749
252297023,G98250OT,91856632
252297022,G81229DT,86291120
252297021,G54628UA,91862748
252297020,G76581XX,91862747
252297019,G08866CW,91862746
252297018,G42261MY,91862745
252297017,G58517VR,91862744
252297016,G70023SA,91862743
252297015,G48459HT,10416988
252297014,G72851IY,91862742
252297013,G78628LS,91862741
252297012,G60309SQ,91862740
252297011,G52901AE,91862739
252297010,G71169JD,91862738
252297009,G12991XQ,91862737
252297008,G21938SG,91862736
252297007,G80416YI,91862735
252297006,G47531XE,71297745
252297005,G34211GM,91849339
252297004,G36066DO,91862734
252297003,G04178KA,91862733
252297002,G27670EK,91862732
252297001,G00180JU,91862731
252297000,G32050CL,91862730
252296999,G13847GJ,91862729
252296998,G33020NO,50909875
252296997,G39278AB,91862728
252296996,G51661YR,6251
252296995,G00041MO,56611864
252296994,G50474FI,71297667
252296993,G24654DQ,91862727
252296992,G14987PW,111317
252296991,G84336BC,91862726
252296990,G16684OF,71298077
252296989,G48824CK,91862725
252296988,G16684DV,91862724
252296987,G95375WT,91862723
252296986,G81371UR,91862722
252296985,G54742JQ,91862721
252296984,G25064HD,91862720
252296983,G85101OA,71297876
252296982,G97865QM,91862719
252296981,G24535JU,91862718
252296980,G94845TO,91862717
252296979,G27535EB,91862716
252296978,G14430JY,12305733
252296977,G52892AY,91862715
252296976,G17601US,91862714
252296975,G25019YE,91862713
252296974,G98531ST,91862712
252296973,G84808RB,91862711
252296972,G37502KU,91862710
252296971,G87769FB,91862709
252296970,G84753IL,91862708
252296969,G70582ZX,91862707
252296968,G84362VX,91862706
252296967,G89623FN,91862705
252296966,G56265BA,91862704
252296965,G62492DN,11599869
252296964,G95583UV,91862703
252296963,G63735RD,91862702
252296962,G82207VX,71297292
252296961,G07912CK,91862701
252296960,G70052MF,91862700
252296959,G31736BK,25257164
252296958,G92728MB,91862699
252296957,G97906XW,91862698
252296956,G27832XR,91862697
252296955,G46852YU,91862696
252296954,G06698ZJ,91862695
252296953,G13727JE,91862694
252296952,G63950AT,91862693
252296951,G16720XZ,91862692
252296950,G89877QI,91862691
252296949,G42266VQ,91862690
252296948,G42202IT,91862689
252296947,G63872CO,91862688
252296946,G12455XO,91862687
252296945,G83642FZ,91862686
252296944,G23094JF,91862685
252296943,G08129VP,91862684
252296942,G41811VQ,91862683
252296941,G38673OR,91862682
252296940,G65226QM,91862681
252296939,G62840JK,91862680
252296938,G64500KY,66574985
252296937,G32076TW,91862679
252296936,G99951MO,91862678
252296935,G79737JA,91862677
252296934,G24512IC,91862676
252296933,G48898TH,57339194
252296932,G58474MY,21627869
252296931,G45560HM,91862675
252296930,G15797BE,91862674
252296929,G40460RA,91862673
252296928,G42305DG,91862672
252296927,G03666NQ,91862671
252296926,G49616WZ,91862670
252296925,G32781PL,91862669
252296924,G88241WJ,91862668
252296923,G49480AS,91862667
252296922,G20908QO,91862666
252296921,G75858VL,91885651
252296920,G29796ZE,91862664
252296919,G95862MW,91862663
252296918,G68927OS,10267
252296917,G12617AB,91862662
252296916,G88396HX,91862661
252296915,G89090WX,91862660
252296914,G69888XT,91862659
252296913,G75197HN,91862658
252296912,G21410AR,91862657
252296911,G05946XD,441035
252296910,G87820MQ,91852021
252296909,G70697FM,46185937
252296908,G17160BN,136666731
252296907,G55829QO,91862655
252296906,G86309LD,91862654
252296905,G75485SI,91489367
252296904,G84849IE,91862653
252296903,G88396AL,91862652
252296902,G75461SV,91862651
252296901,G45767XH,91862650
252296900,G85205IS,91862649
252296899,G60273PS,91862648
252296898,G10385EY,91862647
252296897,G21110GE,91862646
252296896,G47773BX,51351801
252296895,G30011VO,91862645
252296894,G85872LH,91862644
252296893,G41078PD,5287993
252296892,G26473JD,91862643
252296891,G31135WM,56836112
252296890,G68750IB,91862642
252296889,G10911ZB,91862641
252296888,G63103GD,91862640
252296887,G19353QT,91862639
252296886,G68140PE,91862638
252296885,G68983XG,91862637
252296884,G08783WL,91862636
252296883,G41499DL,91862635
252296882,G73638NT,91862634
252296881,G22177SA,91862633
252296880,G02507UG,91862632
252296879,G42003FG,5288378
252296878,G82746VF,71297253
252296877,G81130PO,91862631
252296876,G41836YE,91862630
252296875,G93379TV,91862629
252296874,G18113TU,91862628
252296873,G85873JQ,91862627
252296872,G37521FQ,91862626
252296871,G32803FN,91862625
252296870,G41812FF,71297473
