G00008BG	Hex(6)dHex(1)
G00044ZG	HexNAc(7)Hex(6)Fuc(1)NeuGc(1)
G00060PV	Hex(6)dHex(3)
G00088CJ	Hex(3)Sulpho(11)
G00131HY	HexNAc(4)Hex(3)Pent(1)
G00165TI	HexNAc(3)Hex(2)dHex(1)Pent(1)
G00167FD	HexNAc(3)Hex(5)Fuc(1)NeuGc(1)
G00194GV	HexNAc(1)dHex(1)
G00337GM	HexNAc(8)Hex(10)dHex(1)
G00381JG	HexNAc(2)dHex(3)
G00491UF	HexNAc(4)Hex(4)dHex(1)NeuAc(5)
G00640ZR	Pent(13)
G00714SZ	HexNAc(5)Hex(3)Fuc(6)NeuAc(1)
G00835DO	Hex(4)Pent(2)
G00912UN	HexNAc(4)Hex(5)NeuAc(2)
G01099DA	HexNAc(2)Hex(3)dHex(5)NeuAc(2)
G01410DC	HexNAc(7)Hex(8)dHex(1)NeuAc(1)
G01414AQ	HexNAc(4)Hex(5)Pent(1)
G01485JJ	HexNAc(6)Hex(3)Fuc(1)
G01550VZ	HexNAc(4)Hex(5)Sulpho(1)
G01596OQ	HexNAc(7)Hex(6)Fuc(4)NeuGc(1)
G01608SO	HexNAc(7)Hex(12)
G01633XH	HexNAc(3)Hex(3)dHex(4)
G01650EU	HexNAc(3)Hex(6)NeuAc(1)
G01747XY	HexNAc(6)Hex(11)dHex(5)
G01937VC	HexNAc(2)Hex(7)Phospho(1)
G02033QO	HexNAc(3)Hex(1)NeuAc(7)
G02042GC	HexNAc(7)Hex(1)dHex(1)NeuAc(9)
G02129MQ	HexNAc(4)Hex(5)dHex(3)Pent(1)
G02164FU	Hex(3)dHex(1)Phospho(1)
G02184KC	HexNAc(11)Hex(1)dHex(6)
G02247VY	HexNAc(4)Hex(2)dHex(3)Sulpho(2)
G02287BL	HexNAc(6)Hex(7)dHex(2)
G02294LM	HexNAc(6)Hex(1)NeuAc(8)
G02447BS	HexNAc(6)Hex(7)dHex(2)NeuAc(1)
G02768BF	Fuc(2)Sulpho(5)
G02809YH	HexNAc(3)Hex(2)dHex(1)
G02815KT	HexNAc(2)Hex(5)
G02815PP	HexNAc(6)Hex(5)NeuAc(1)
G02837FU	Fuc(3)
G02841WQ	HexNAc(7)Hex(6)Fuc(4)NeuAc(1)
G02849KH	HexNAc(3)Hex(1)NeuAc(7)Phospho(1)
G02860WV	HexNAc(2)Hex(6)dHex(1)
G02886BB	HexNAc(4)Hex(6)
G02927LR	HexNAc(7)Hex(1)dHex(4)NeuAc(10)
G02968KY	HexNAc(7)Hex(7)Fuc(1)NeuAc(2)NeuGc(1)
G03040XS	HexNAc(3)Hex(2)dHex(1)NeuAc(4)
G03208PT	HexNAc(6)Hex(9)dHex(3)
G03238UC	HexNAc(2)Hex(6)Phospho(1)
G03498CK	HexNAc(7)Hex(10)
G03535JP	HexNAc(4)Hex(1)dHex(3)NeuAc(2)
G03574QJ	HexNAc(3)Hex(6)dHex(1)
G03592GE	HexNAc(4)Hex(4)Fuc(1)NeuGc(1)
G03596YS	HexNAc(5)Hex(6)dHex(2)NeuAc(1)
G03646SE	HexNAc(1)Hex(1)Sulpho(3)
G03751IZ	HexNAc(4)Hex(3)NeuAc(1)
G03930BU	HexNAc(3)Hex(4)dHex(3)
G04040IT	Hex(5)Sulpho(5)
G04055MU	HexNAc(9)Hex(7)dHex(1)NeuAc(1)
G04088UN	HexNAc(2)dHex(8)
G04203ZT	HexNAc(3)Sulpho(1)
G04331HP	HexNAc(7)Hex(1)dHex(7)NeuAc(3)
G04469GF	HexNAc(6)Hex(10)dHex(4)
G04507NJ	Hex(5)Pent(2)
G04657PL	HexNAc(4)Hex(5)Fuc(3)
G04681UD	HexNAc(1)Hex(10)
G04784US	HexNAc(5)Hex(6)dHex(3)NeuAc(1)
G04854VP	HexNAc(8)Hex(5)
G04904WP	HexNAc(8)Hex(2)dHex(4)NeuAc(1)
G04939HG	Hex(2)Phospho(2)
G05049IC	HexNAc(6)Hex(6)dHex(2)
G05049YU	HexNAc(4)Hex(4)Fuc(1)
G05114YK	HexNAc(4)Hex(7)
G05179MS	HexNAc(8)Hex(7)Fuc(1)NeuAc(1)NeuGc(2)
G05229GI	HexNAc(4)Hex(4)Fuc(1)NeuAc(1)
G05243OF	HexNAc(3)Hex(4)NeuGc(1)
G05394UY	HexNAc(1)Hex(2)
G05428EU	HexNAc(3)Hex(4)
G05442WV	HexNAc(5)Hex(4)Fuc(1)NeuGc(1)
G05460KC	HexNAc(2)Hex(1)dHex(2)
G05528SJ	HexNAc(11)Hex(11)NeuAc(1)
G05561DA	HexNAc(3)Hex(1)dHex(4)
G05609XV	HexNAc(5)Hex(7)NeuAc(2)
G05645NK	HexNAc(1)Hex(6)
G05664AS	HexNAc(6)Hex(8)dHex(1)NeuAc(1)
G05700KC	HexNAc(1)Hex(1)Pent(1)Phospho(1)
G05926FW	HexNAc(9)Hex(3)dHex(1)
G05933EN	HexNAc(4)Hex(5)dHex(4)
G06042JP	HexNAc(2)dHex(1)
G06045JZ	HexNAc(4)Hex(3)dHex(1)NeuGc(5)
G06156DS	HexNAc(2)Hex(14)
G06184AZ	Hex(11)dHex(3)Pent(6)
G06231AO	HexNAc(3)Hex(5)dHex(3)
G06242AY	HexNAc(6)Hex(8)dHex(3)
G06247RL	HexNAc(5)Hex(6)NeuAc(3)
G06461TM	HexNAc(1)Hex(1)Sulpho(1)
G06534GX	Hex(3)dHex(1)Pent(1)
G06577JJ	HexNAc(4)Hex(3)dHex(3)
G06583FZ	HexNAc(2)Hex(15)
G06605CW	dHex(2)Sulpho(5)
G06704MH	HexNAc(5)Hex(6)dHex(2)NeuAc(3)
G06850XD	HexNAc(3)Hex(3)
G06853GH	HexNAc(7)Hex(4)dHex(1)
G06854MP	HexNAc(1)Hex(1)dHex(4)
G06932DR	HexNAc(1)Hex(2)Sulpho(1)
G06986ZW	HexNAc(9)Hex(16)
G07032AA	HexNAc(3)Hex(2)dHex(2)NeuAc(5)
G07036HW	HexNAc(6)Hex(5)NeuAc(3)
G07043SG	HexNAc(5)Hex(2)Fuc(4)NeuAc(1)
G07246CJ	HexNAc(6)Hex(6)Fuc(1)
G07278EA	HexNAc(13)Hex(15)
G07325EF	HexNAc(10)Hex(18)
G07416NL	HexNAc(3)Hex(3)dHex(2)Pent(2)
G07464LK	HexNAc(6)Hex(9)
G07609DD	HexNAc(5)Hex(1)dHex(3)
G07697LN	HexNAc(6)Hex(1)dHex(6)NeuAc(3)
G07698FG	HexNAc(3)Hex(5)dHex(1)Pent(1)
G07701HX	HexNAc(4)Hex(1)Fuc(5)NeuAc(2)
G07718OH	HexNAc(6)Hex(1)Fuc(5)NeuAc(1)
G07755XJ	HexNAc(5)Hex(4)Fuc(2)
G07764QX	HexNAc(5)Hex(5)NeuAc(1)NeuGc(1)
