glycan_ID,order,residue,residue_ID,name,anomer,absolute,ring,parent_ID,site,pubChem
G00176HZ,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00176HZ,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00176HZ,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00176HZ,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00176HZ,5,N-glycan_b-D-GlcpNAc_2,N2,GlcNAc,b,D,p,N1,2,GlcNAc
G00176HZ,6,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00176HZ,7,N-glycan_a-D-Manp_4,N4,Man,a,D,p,NC,6,Man
G00176HZ,8,N-glycan_b-D-GlcpNAc_5,N5,GlcNAc,b,D,p,N4,2,GlcNAc
G00176HZ,9,N-glycan_b-D-GlcpNAc_9,N9,GlcNAc,b,D,p,N4,6,GlcNAc
G00176HZ,10,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00272VU,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00272VU,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00272VU,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00272VU,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
G00272VU,5,N-glycan_b-D-GlcpNAc_7,N7,GlcNAc,b,D,p,N1,4,GlcNAc
G00272VU,6,N-glycan_a-L-Fucp_18,N18,Fuc,a,L,p,N7,3,Fuc
G00272VU,7,N-glycan_b-D-Galp_8,N8,Gal,b,D,p,N7,4,Gal
G00272VU,8,N-glycan_a-L-Fucp_15,N15,Fuc,a,L,p,NA,6,Fuc
G00320ZP,1,N-glycan_core_b-D-GlcpNAc_A,NA,GlcNAc,b,D,p,no_id,0,GlcNAc
G00320ZP,2,N-glycan_core_b-D-GlcpNAc_B,NB,GlcNAc,b,D,p,NA,4,GlcNAc
G00320ZP,3,N-glycan_core_b-D-Manp,NC,Man,b,D,p,NB,4,Man
G00320ZP,4,N-glycan_a-D-Manp_1,N1,Man,a,D,p,NC,3,Man
