GlyTouCanAccession	CarbbankAccession
G00009BX	20961
G00012MO	15855
G00012MO	18666
G00015MO	31176
G00015MO	33456
G00016MO	10069
G00016MO	32
G00016MO	33174
G00016MO	42941
G00016MO	45288
G00016MO	4724
G00016MO	47835
G00017MO	10851
G00017MO	11380
G00017MO	12265
G00017MO	16769
G00017MO	16999
G00017MO	22404
G00017MO	24729
G00017MO	8715
G00018MO	12096
G00018MO	17140
G00018MO	17350
G00018MO	47966
G00018MO	7130
G00018MO	9106
G00024MO	13036
G00024MO	18020
G00024MO	18533
G00024MO	21478
G00024MO	47522
G00025AJ	16663
G00025AJ	39243
G00025AJ	4535
G00025AJ	8232
G00025HU	40548
G00025MO	10008
G00025MO	10574
G00025MO	10897
G00025MO	13221
G00025MO	13395
G00025MO	13396
G00025MO	13440
G00025MO	15400
G00025MO	16981
G00025MO	16982
G00025MO	20789
G00025MO	26365
G00025MO	30321
G00025MO	8751
G00026MO	10558
G00026MO	11902
G00026MO	12019
G00026MO	13276
G00026MO	18310
G00026MO	18314
G00026MO	18762
G00026MO	19071
G00026MO	19846
G00026MO	20623
G00026MO	21378
G00026MO	21659
G00026MO	22933
G00026MO	24836
G00026MO	25022
G00026MO	25149
G00026MO	25194
G00026MO	25680
G00026MO	2632
G00026MO	27340
G00026MO	28835
G00026MO	29216
G00026MO	30967
G00026MO	31026
G00026MO	31730
G00026MO	32853
G00026MO	33701
G00026MO	36019
G00026MO	37702
G00026MO	38365
G00026MO	40336
G00026MO	44664
G00026MO	47080
G00026MO	50935
G00026MO	5751
G00026MO	5752
G00026MO	5753
G00026MO	5754
G00026MO	5758
G00026MO	5759
G00026MO	5760
G00026MO	5762
G00026MO	5764
G00026MO	5765
G00026MO	5767
G00026MO	5768
G00026MO	5769
G00026MO	5774
G00026MO	5775
G00026MO	5777
G00026MO	5778
G00026MO	5779
G00026MO	5780
G00026MO	5781
G00026MO	887
G00026MO	898
G00026MO	900
G00027MO	23126
G00027MO	26328
G00027MO	37491
G00028MO	10552
G00028MO	10998
G00028MO	17380
G00028MO	18085
G00028MO	18257
G00028MO	18308
G00028MO	18519
G00028MO	18764
G00028MO	19165
G00028MO	19848
G00028MO	20588
G00028MO	20974
G00028MO	21122
G00028MO	21159
G00028MO	21382
G00028MO	21655
G00028MO	21686
G00028MO	22591
G00028MO	22700
G00028MO	23254
G00028MO	23799
G00028MO	23965
G00028MO	24199
G00028MO	25145
G00028MO	25215
G00028MO	26661
G00028MO	27360
G00028MO	2771
G00028MO	28836
G00028MO	29737
G00028MO	31029
G00028MO	33015
G00028MO	33051
G00028MO	33077
G00028MO	33080
G00028MO	33502
G00028MO	33836
G00028MO	33837
G00028MO	33865
G00028MO	36418
G00028MO	37954
G00028MO	37998
G00028MO	39264
G00028MO	40510
G00028MO	4322
G00028MO	4324
G00028MO	4414
G00028MO	44671
G00028MO	46277
G00028MO	48164
G00028MO	4894
G00028MO	49526
G00028MO	5230
G00028MO	5935
G00028MO	5936
G00028MO	5939
G00028MO	5940
G00028MO	5942
G00028MO	5943
G00028MO	5945
G00028MO	5948
