G70994MS	9606	GLYDS000142
G92050GC	11108	GLYDS000335
G02815KT	11108	GLYDS000335
G41247ZX	11108	GLYDS000335
G31852PQ	11108	GLYDS000335
G62765YT	11108	GLYDS000335
G80920RR	11108	GLYDS000335
G83460ZZ	11108	GLYDS000335
G58087IP	11108	GLYDS000335
G59324HL	11108	GLYDS000335
G28681TP	11108	GLYDS000335
G57317CE	11108	GLYDS000335
G80475RE	11108	GLYDS000335
G20956ZV	11108	GLYDS000335
G25987BV	11108	GLYDS000335
G88067KZ	9606	GlyConnect	3239
G10651WD	9606	GlyConnect	223
G41882MT	9606	GlyConnect	223
G90784AP	9606	GlyConnect	1442
G48488CO	9606	GlyConnect	384
G53450AF	9606	GlyConnect	384
G12396GB	9606	GlyConnect	1976
G23295TF	9606	GlyConnect	334
G31685JQ	9606	GlyConnect	334
G94435QH	9606	GlyConnect	1019
G76163CP	9606	GlyConnect	3
G78059CC	9606	GlyConnect	1860
G23863VK	9606	GlyConnect	205
G11041DA	9606	GlyConnect	2481
G84452RH	9606	GlyConnect	676
G15956KF	9606	GlyConnect	2835
G59742GY	9606	GlyConnect	603
G39188ZX	9606	GlyConnect	603
G86753CK	9606	GlyConnect	1696
G39595FH	9606	GlyConnect	468
G04501FH	9606	GlyConnect	468
G54845IR	9606	GlyConnect	941
G16370GQ	9606	GlyConnect	941
G21200QC	9606	GlyConnect	340
G53276NK	9606	GlyConnect	2174
G48414YA	9606	GlyConnect	712
G00033MO	9606	GlyConnect	3318
G32550BI	9606	GlyConnect	495
G81976CN	9606	GlyConnect	1038
G66419SM	9606	GlyConnect	1038
G47681UP	9606	GlyConnect	388
G64973KT	9606	GlyConnect	3251
G45827GY	9606	GlyConnect	660
G63628AV	9606	GlyConnect	660
G77550KK	9606	GlyConnect	2819
G25278BX	9606	GlyConnect	337
G22140GZ	9606	GlyConnect	3471
G50045TK	9606	GlyConnect	9
G20030CU	9606	GlyConnect	944
G47748JZ	9606	GlyConnect	944
G75698JE	9606	GlyConnect	551
G14260UH	9606	GlyConnect	551
G80858MF	9606	GlyConnect	2967
G49874UX	9606	GlyConnect	742
G70757IC	9606	GlyConnect	742
G85767HW	9606	GlyConnect	1295
G03382KH	9606	GlyConnect	637
G98873GM	9606	GlyConnect	637
G23294PN	9606	GlyConnect	89
G91558YX	9606	GlyConnect	89
G82463GQ	9606	GlyConnect	628
G75850OP	9606	GlyConnect	1357
G06356OH	9606	GlyConnect	393
G84467IZ	9606	GlyConnect	1378
G38462TG	9606	GlyConnect	942
G20631AT	9606	GlyConnect	942
G76294TY	9606	GlyConnect	475
G98748DG	9606	GlyConnect	475
G26775OX	9606	GlyConnect	831
G83161QT	9606	GlyConnect	654
G63794QO	9606	GlyConnect	695
G05724UK	9606	GlyConnect	695
G09724ZC	9606	GlyConnect	313
G15569GG	9606	GlyConnect	313
G66538GV	9606	GlyConnect	652
G00395TQ	9606	GlyConnect	1879
G03670RH	9606	GlyConnect	1573
G00743WU	9606	GlyConnect	360
G92709EO	9606	GlyConnect	3054
G55383ZG	9606	GlyConnect	160
G11637WL	9606	GlyConnect	566
G84820NF	9606	GlyConnect	762
G65562ZE	9606	GlyConnect	978
G54505OS	9606	GlyConnect	683
G74722FL	9606	GlyConnect	683
G60890ZT	9606	GlyConnect	3423
G40544US	9606	GlyConnect	172
G36191CD	9606	GlyConnect	3233
G36436SB	9606	GlyConnect	2721
G31544HA	9606	GlyConnect	486
G21290RB	9606	GlyConnect	54
G54639VI	9606	GlyConnect	178
G45981GB	9606	GlyConnect	344
G39643OJ	9606	GlyConnect	344
G10256JP	9606	GlyConnect	538
G06100EH	9606	GlyConnect	538
G79982IL	9606	GlyConnect	3043
G59872UP	9606	GlyConnect	2759
G94854LT	9606	GlyConnect	202
G90983OS	9606	GlyConnect	202
G73319KU	9606	GlyConnect	3418
G27562KD	9606	GlyConnect	3387
G47992RQ	9606	GlyConnect	201
G97968CT	9606	GlyConnect	1087
G21196UL	9606	GlyConnect	1087
G41981MA	9606	GlyConnect	1399
G57888GL	9606	GlyConnect	454
G64305XQ	9606	GlyConnect	1301
G51287LK	9606	GlyConnect	138
G17751ZM	9606	GlyConnect	3195
G90901EO	9606	GlyConnect	2629
G04689DA	9606	GlyConnect	88
G93284HQ	9606	GlyConnect	1217
G77079RV	9606	GlyConnect	1701
G05897GU	9606	GlyConnect	569
G80735WD	9606	GlyConnect	569
G91365ZQ	9606	GlyConnect	3200
G64206XB	9606	GlyConnect	131
G03622KA	9606	GlyConnect	131
G81295CK	9606	GlyConnect	648
G51020FB	9606	GlyConnect	648
G01614ZM	9606	GlyConnect	2641
G81006GJ	9606	GlyConnect	461
G02014WF	9606	GlyConnect	461
G96719MC	9606	GlyConnect	3478
G58056YT	9606	GlyConnect	1694
G24859TW	9606	GlyConnect	257
G76610HM	9606	GlyConnect	2316
G55126WZ	9606	GlyConnect	1923
G49632WD	9606	GlyConnect	3391
G29931IJ	9606	GlyConnect	221
G83632OV	9606	GlyConnect	2476
G49854OS	9606	GlyConnect	2020
G00979XR	9606	GlyConnect	179
G36523TZ	9606	GlyConnect	2423
G88948CY	9606	GlyConnect	583
G72797UR	9606	GlyConnect	583
G25520XG	9606	GlyConnect	2933
G71165VR	9606	GlyConnect	35
G91636VS	9606	GlyConnect	35
G63110FE	9606	GlyConnect	3059
G29857RC	9606	GlyConnect	3539
G20425TQ	9606	GlyConnect	240
G41929NX	9606	GlyConnect	240
G59277TZ	9606	GlyConnect	2919
G50757KG	9606	GlyConnect	192
G46406BL	9606	GlyConnect	1345
G75983OB	9606	GlyConnect	186
G19499ZH	9606	GlyConnect	186
G91775YA	9606	GlyConnect	2771
G45841FE	9606	GlyConnect	279
G06110VR	9606	GlyConnect	11
G22768VO	9606	GlyConnect	11
G68668TB	9606	GlyConnect	3516
G59229NY	9606	GlyConnect	325
G21643DJ	9606	GlyConnect	325
G49582PC	9606	GlyConnect	491
G86357DX	9606	GlyConnect	1468
G97101NC	9606	GlyConnect	3435
G94514IB	9606	GlyConnect	524
G90386IR	9606	GlyConnect	1080
G76675AB	9606	GlyConnect	1080
G98719SR	9606	GlyConnect	1918
G70101JE	9606	GlyConnect	649
G58667NI	9606	GlyConnect	1819
G46687AB	9606	GlyConnect	350
G65219TP	9606	GlyConnect	350
G61244WO	9606	GlyConnect	3186
G86795LJ	9606	GlyConnect	564
G53985AY	9606	GlyConnect	3181
G46422KL	9606	GlyConnect	86
G07262RR	9606	GlyConnect	86
G21672LC	9606	GlyConnect	521
G18618EA	9606	GlyConnect	521
G63334FZ	9606	GlyConnect	346
G57321FI	9606	GlyConnect	2305
G70783BY	9606	GlyConnect	272
G74621DY	9606	GlyConnect	2105
G07133YY	9606	GlyConnect	136
G33418YX	9606	GlyConnect	2952
G00035MO	9606	GlyConnect	2294
G71838YU	9606	GlyConnect	541
G78106KK	9606	GlyConnect	3587
G18938DW	9606	GlyConnect	443
G80700YJ	9606	GlyConnect	3146
G51140AE	9606	GlyConnect	1462
G00065MO	9606	GlyConnect	2804
G52126RR	9606	GlyConnect	3216
G52934AK	9606	GlyConnect	427
G52527GH	9606	GlyConnect	427
G15173TI	9606	GlyConnect	1362
G59986YN	9606	GlyConnect	705
G11647UD	9606	GlyConnect	705
G40737EA	9606	GlyConnect	1825
G10508JF	9606	GlyConnect	504
G33138MM	9606	GlyConnect	3184
G72291OX	9606	GlyConnect	32
G50619VO	9606	GlyConnect	1247
G56682BC	9606	GlyConnect	3490
G61582HZ	9606	GlyConnect	743
G53962WT	9606	GlyConnect	345
G00406II	9606	GlyConnect	345
G27893KR	9606	GlyConnect	3524
G47012YE	9606	GlyConnect	113
G17689DH	9606	GlyConnect	1077
G21070BH	9606	GlyConnect	1077
G22310AV	9606	GlyConnect	448
G79809MM	9606	GlyConnect	3268
G66504LK	9606	GlyConnect	903
G16546ZZ	9606	GlyConnect	228
G03340FG	9606	GlyConnect	305
G04672QB	9606	GlyConnect	305
G75120WS	9606	GlyConnect	185
G69237TO	9606	GlyConnect	1057
G49889OJ	9606	GlyConnect	1057
G23453IV	9606	GlyConnect	452
G82811EP	9606	GlyConnect	1746
G09285QR	9606	GlyConnect	31
G81272FZ	9606	GlyConnect	31
G69411IG	9606	GlyConnect	3030
G21845NG	9606	GlyConnect	1190
G15945ON	9606	GlyConnect	746
G20218ZS	9606	GlyConnect	1557
G75727PF	9606	GlyConnect	2902
G00031MO	9606	GlyConnect	1947
G75256KV	9606	GlyConnect	1031
G01304XG	9606	GlyConnect	1031
G47573PO	9606	GlyConnect	773
G25637MV	9606	GlyConnect	773
G60230HH	9606	GlyConnect	2472
G81533KY	9606	GlyConnect	2807
G36995QY	9606	GlyConnect	137
G31639NG	9606	GlyConnect	191
G68873DS	9606	GlyConnect	191
G10924UK	9606	GlyConnect	2658
G73028DK	9606	GlyConnect	472
G19075PM	9606	GlyConnect	472
G44444MB	9606	GlyConnect	404
G87015RU	9606	GlyConnect	404
G12398HZ	9606	GlyConnect	910
G28439XZ	9606	GlyConnect	713
G29880MM	9606	GlyConnect	713
G26935KA	9606	GlyConnect	3327
G94788LD	9606	GlyConnect	527
G59471TH	9606	GlyConnect	2818
G31936TA	9606	GlyConnect	749
G09095HL	9606	GlyConnect	749
G80966KZ	9606	GlyConnect	2039
G95898GD	9606	GlyConnect	2552
G70375MX	9606	GlyConnect	209
G64160PL	9606	GlyConnect	361
G25350TT	9606	GlyConnect	361
G93683YO	9606	GlyConnect	206
G81282CC	9606	GlyConnect	2069
G97765TT	9606	GlyConnect	2874
G70822IO	9606	GlyConnect	639
G14998UC	9606	GlyConnect	902
G26403SG	9606	GlyConnect	383
G25381UC	9606	GlyConnect	1208
G46748BU	9606	GlyConnect	2586
G26145IL	9606	GlyConnect	1311
G55220VL	9606	GlyConnect	1443
G91152KU	9606	GlyConnect	440
G25835MT	9606	GlyConnect	2050
G10082ZS	9606	GlyConnect	170
G24835MQ	9606	GlyConnect	170
G58481XO	9606	GlyConnect	1017
G72667IM	9606	GlyConnect	489
G84783XD	9606	GlyConnect	3453
G00039MO	9606	GlyConnect	500
G44276EF	9606	GlyConnect	1201
G89993FE	9606	GlyConnect	419
G08371VN	9606	GlyConnect	2941
G31838XA	9606	GlyConnect	956
G53752TA	9606	GlyConnect	2537
G45560HM	9606	GlyConnect	2177
G76763LN	9606	GlyConnect	1415
G22355FZ	9606	GlyConnect	167
G88908BO	9606	GlyConnect	167
G39213VZ	9606	GlyConnect	3258
G14127XU	9606	GlyConnect	2433
G91473PK	9606	GlyConnect	678
G07483YN	9606	GlyConnect	678
G34499SX	9606	GlyConnect	1405
G37022BP	9606	GlyConnect	1433
G06330RB	9606	GlyConnect	45
G25559RS	9606	GlyConnect	3277
G99375FM	9606	GlyConnect	234
