G00008BG	Hex6dHex1
G00060PV	Hex6dHex3
G00088CJ	Hex3S11
G00124SJ	HexNAc8Hex9dHex5NeuAc1
G00131HY	HexNAc4Hex3Pent1
G00165TI	HexNAc3Hex2dHex1Pent1
G00194GV	HexNAc1dHex1
G00253JL	HexNAc5dHex6NeuGc2
G00301DS	HexNAc10Hex11dHex6NeuAc1
G00325DV	HexNAc1dHex2NeuAc1NeuGc2
G00337GM	HexNAc8Hex10dHex1
G00350YU	HexNAc5dHex7
G00363DR	HexNAc7dHex1
G00381JG	HexNAc2dHex3
G00549RY	HexNAc4dHex4
G00640ZR	Pent13
G00672TX	HexNAc1NeuGc1P1
G00835DO	Hex4Pent2
G00841YH	HexNAc2Hex4NeuAc3
G00912UN	HexNAc4Hex5NeuAc2
G00976HG	HexNAc6Hex8dHex2NeuAc2
G01008DI	HexNAc5Hex7dHex3NeuAc1
G01099DA	HexNAc2Hex3dHex5NeuAc2
G01122ZY	HexNAc2dHex4NeuAc1
G01370OA	Hex10dHex2HexA2
G01379XE	HexNAc6dHex5NeuAc1NeuGc2
G01414AQ	HexNAc4Hex5Pent1
G01550VZ	HexNAc4Hex5S1
G01608SO	HexNAc7Hex12
G01633XH	HexNAc3Hex3dHex4
G01650EU	HexNAc3Hex6NeuAc1
G01651WG	HexNAc11Hex12dHex2NeuAc2
G01664MY	HexNAc1Hex1S1HexA1
G01747XY	HexNAc6Hex11dHex5
G01769OH	Hex3NeuAc2
G01879YS	HexNAc1Hex2dHex1NeuAc1
G01937VC	HexNAc2Hex7P1
G01975BP	Hex1S3HexA1
G02032XT	HexNAc5dHex4NeuAc1NeuGc2P1
G02033QO	HexNAc3Hex1NeuAc7
G02042GC	HexNAc7Hex1dHex1NeuAc9
G02057QV	HexNAc5Hex6NeuAc2NeuGc1
G02097TE	HexNAc8Hex8dHex4NeuAc1
G02129MQ	HexNAc4Hex5dHex3Pent1
G02164FU	Hex3dHex1P1
G02184KC	HexNAc11Hex1dHex6
G02230ZA	HexNAc3dHex1NeuAc1
G02247VY	HexNAc4Hex2dHex3S2
G02287BL	HexNAc6Hex7dHex2
G02294LM	HexNAc6Hex1NeuAc8
G02438LG	dHex1
G02447BS	HexNAc6Hex7dHex2NeuAc1
G02698KJ	HexNAc4dHex4NeuAc1NeuGc2
G02730EU	HexNAc7Hex7dHex4NeuAc3
G02809YH	HexNAc3Hex2dHex1
G02815KT	HexNAc2Hex5
G02849KH	HexNAc3Hex1NeuAc7P1
G02860WV	HexNAc2Hex6dHex1
G02886BB	HexNAc4Hex6
G02899SC	HexNAc6Hex9dHex1NeuAc3
G02927LR	HexNAc7Hex1dHex4NeuAc10
G02959MK	HexNAc6dHex6NeuAc2NeuGc3
G02995RG	HexNAc7Hex9dHex5NeuAc2
G03007DW	dHex2NeuAc1
G03040XS	HexNAc3Hex2dHex1NeuAc4
G03208PT	HexNAc6Hex9dHex3
G03238UC	HexNAc2Hex6P1
G03296KG	HexNAc1dHex2NeuAc2NeuGc1
G03318MS	HexNAc10dHex10NeuAc1
G03343NG	HexNAc6Hex6dHex1NeuAc2NeuGc1
G03399MV	HexA4
G03535JP	HexNAc4Hex1dHex3NeuAc2
G03574QJ	HexNAc3Hex6dHex1
G03596YS	HexNAc5Hex6dHex2NeuAc1
G03599PQ	HexNAc2Hex3NeuAc2S1
G03646SE	HexNAc1Hex1S3
G03659YV	HexNAc8Hex9dHex3NeuAc2
G03843HJ	HexNAc7Hex7dHex2NeuAc2
G03930BU	HexNAc3Hex4dHex3
G03939LB	Hex1dHex1Pent1HexA1
G03962UW	HexNAc6Hex9dHex1NeuAc1NeuGc1
