GlyTouCanAccession	Resource	EntryID
G00000CV	glycosmos	G00000CV
G00000RJ	glycosmos	G00000RJ
G00001LE	glycosmos	G00001LE
G00001NT	glycosmos	G00001NT
G00001OG	glycosmos	G00001OG
G00001QT	glycosmos	G00001QT
G00001UD	glycosmos	G00001UD
G00001WB	glycosmos	G00001WB
G00002CF	glycosmos	G00002CF
G00002XH	glycosmos	G00002XH
G00003VQ	glycosmos	G00003VQ
G00004LW	glycosmos	G00004LW
G00004NM	glycosmos	G00004NM
G00004OY	glycosmos	G00004OY
G00004QQ	glycosmos	G00004QQ
G00005DE	glycosmos	G00005DE
G00005IV	glycosmos	G00005IV
G00006HE	glycosmos	G00006HE
G00006KL	glycosmos	G00006KL
G00006PX	glycosmos	G00006PX
G00006RP	glycosmos	G00006RP
G00006SB	glycosmos	G00006SB
G00008BG	glycosmos	G00008BG
G00008SX	glycosmos	G00008SX
G00009BX	glycosmos	G00009BX
G00009CI	glycosmos	G00009CI
G00009HC	glycosmos	G00009HC
G00010XO	glycosmos	G00010XO
G00012JB	glycosmos	G00012JB
G00012MO	glycosmos	G00012MO
G00012RZ	glycosmos	G00012RZ
G00013MO	glycosmos	G00013MO
G00014MO	glycosmos	G00014MO
G00015MO	glycosmos	G00015MO
G00016JM	glycosmos	G00016JM
G00016MO	glycosmos	G00016MO
G00017DE	glycosmos	G00017DE
G00017IP	glycosmos	G00017IP
G00017MO	glycosmos	G00017MO
G00018HK	glycosmos	G00018HK
G00018MO	glycosmos	G00018MO
G00018XX	glycosmos	G00018XX
G00019BE	glycosmos	G00019BE
G00019MO	glycosmos	G00019MO
G00019RN	glycosmos	G00019RN
G00019UX	glycosmos	G00019UX
G00020HN	glycosmos	G00020HN
G00020KY	glycosmos	G00020KY
G00020MO	glycosmos	G00020MO
G00021HP	glycosmos	G00021HP
G00021MO	glycosmos	G00021MO
G00021QP	glycosmos	G00021QP
G00021UN	glycosmos	G00021UN
G00021XE	glycosmos	G00021XE
G00021YS	glycosmos	G00021YS
G00022MO	glycosmos	G00022MO
G00022QM	glycosmos	G00022QM
G00023EZ	glycosmos	G00023EZ
G00023LR	glycosmos	G00023LR
G00023MO	glycosmos	G00023MO
G00023PO	glycosmos	G00023PO
G00024EC	glycosmos	G00024EC
G00024IQ	glycosmos	G00024IQ
G00024MO	glycosmos	G00024MO
G00025AJ	glycosmos	G00025AJ
G00025HU	glycosmos	G00025HU
G00025LQ	glycosmos	G00025LQ
G00025MO	glycosmos	G00025MO
G00025UZ	glycosmos	G00025UZ
G00025XS	glycosmos	G00025XS
G00025YC	glycosmos	G00025YC
G00026KW	glycosmos	G00026KW
G00026MO	glycosmos	G00026MO
G00027DD	glycosmos	G00027DD
G00027JG	glycosmos	G00027JG
G00027MO	glycosmos	G00027MO
G00027PJ	glycosmos	G00027PJ
G00027SX	glycosmos	G00027SX
G00028MO	glycosmos	G00028MO
G00028NO	glycosmos	G00028NO
G00028NV	glycosmos	G00028NV
G00028QS	glycosmos	G00028QS
G00028ZX	glycosmos	G00028ZX
G00029FA	glycosmos	G00029FA
G00029MO	glycosmos	G00029MO
G00029RT	glycosmos	G00029RT
G00029YH	glycosmos	G00029YH
G00030EM	glycosmos	G00030EM
G00030HB	glycosmos	G00030HB
G00030MO	glycosmos	G00030MO
G00030SF	glycosmos	G00030SF
G00030VN	glycosmos	G00030VN
G00031FL	glycosmos	G00031FL
G00031MO	glycosmos	G00031MO
G00031TQ	glycosmos	G00031TQ
G00032AL	glycosmos	G00032AL
G00032MO	glycosmos	G00032MO
G00033MO	glycosmos	G00033MO
G00033UB	glycosmos	G00033UB
G00034MO	glycosmos	G00034MO
G00034ND	glycosmos	G00034ND
G00034RW	glycosmos	G00034RW
G00034RX	glycosmos	G00034RX
G00034UE	glycosmos	G00034UE
G00034UM	glycosmos	G00034UM
G00034WH	glycosmos	G00034WH
G00034WX	glycosmos	G00034WX
G00034XP	glycosmos	G00034XP
G00034XV	glycosmos	G00034XV
G00035EL	glycosmos	G00035EL
G00035KS	glycosmos	G00035KS
G00035MO	glycosmos	G00035MO
G00035VF	glycosmos	G00035VF
G00036MM	glycosmos	G00036MM
G00036MO	glycosmos	G00036MO
G00037CZ	glycosmos	G00037CZ
G00037EO	glycosmos	G00037EO
G00037MO	glycosmos	G00037MO
G00037VO	glycosmos	G00037VO
G00038GA	glycosmos	G00038GA
G00038JC	glycosmos	G00038JC
G00038MO	glycosmos	G00038MO
G00038QS	glycosmos	G00038QS
G00039MO	glycosmos	G00039MO
G00040BZ	glycosmos	G00040BZ
G00040ME	glycosmos	G00040ME
G00040MO	glycosmos	G00040MO
