GlyTouCanAccession	MotifAccession	Label	IsReducingEnd
G13495RN	G00026MO	N-Glycan core basic	true
G13495RN	G00030MO	N-Glycan complex	true
G13495RN	G00055MO	Lactosamine motif	false
G13495RN	G00065MO	VIM	false
G13515ZY	G00026MO	N-Glycan core basic	true
G13515ZY	G00030MO	N-Glycan complex	true
G13515ZY	G00057MO	LacDiNAc	false
G13528WO	G00057MO	LacDiNAc	false
G13537KO	G00026MO	N-Glycan core basic	true
G13537KO	G00030MO	N-Glycan complex	true
G13537KO	G00051MO	Lewis X	false
G13537KO	G00055MO	Lactosamine motif	false
G13537KO	G00058MO	Polylactosamine	false
G13541NC	G00026MO	N-Glycan core basic	true
G13541NC	G00030MO	N-Glycan complex	true
G13541NC	G00055MO	Lactosamine motif	false
G13563KX	G00026MO	N-Glycan core basic	true
G13563KX	G00030MO	N-Glycan complex	true
G13578GY	G00055MO	Lactosamine motif	false
G13578GY	G00065MO	VIM	false
G13580OP	G00026MO	N-Glycan core basic	true
G13580OP	G00030MO	N-Glycan complex	true
G13580OP	G00055MO	Lactosamine motif	false
G13580OP	G00056MO	Neo Lactosamine	false
G13583BZ	G00026MO	N-Glycan core basic	true
G13583BZ	G00030MO	N-Glycan complex	true
G13583BZ	G00055MO	Lactosamine motif	false
G13585JF	G00026MO	N-Glycan core basic	true
G13585JF	G00030MO	N-Glycan complex	true
G13585JF	G00055MO	Lactosamine motif	false
G13585JF	G00065MO	VIM	false
G13585VS	G00047MO	Lewis A	false
G13585VS	G00053MO	Sialyl Lewis A	false
G13585VS	G00055MO	Lactosamine motif	false
G13585VS	G00056MO	Neo Lactosamine	false
G13585VS	G00069MO	Glycosphingolipid Lacto series	true
G13591VJ	G00055MO	Lactosamine motif	false
G13592VY	G00026MO	N-Glycan core basic	true
G13592VY	G00046MO	Galalpha1-3Gal epitope	false
G13592VY	G00055MO	Lactosamine motif	false
G13610SN	G00032MO	O-Glycan core 1 fuzzy	true
G13610SN	G00034MO	O-Glycan core 2 fuzzy	true
G13610SN	G00042MO	O-Glycan core 6 Fuzzy	true
G13610SN	G00055MO	Lactosamine motif	false
G13610SN	G00056MO	Neo Lactosamine	false
G13614FV	G00026MO	N-Glycan core basic	true
G13616KY	G00055MO	Lactosamine motif	false
G13626XX	G00055MO	Lactosamine motif	false
G13626XX	G00056MO	Neo Lactosamine	false
G13630UH	G00055MO	Lactosamine motif	false
G13630UH	G00070MO	Glycosphingolipid Neo-lacto series	true
G13631VW	G00026MO	N-Glycan core basic	true
G13631VW	G00030MO	N-Glycan complex	true
G13631VW	G00055MO	Lactosamine motif	false
G13636IT	G00055MO	Lactosamine motif	false
G13636IT	G00068MO	Blood group H	false
G13636IT	G00070MO	Glycosphingolipid Neo-lacto series	true
G13646GG	G00026MO	N-Glycan core basic	true
G13646GG	G00030MO	N-Glycan complex	true
G13646GG	G00051MO	Lewis X	false
G13646GG	G00055MO	Lactosamine motif	false
G13657KC	G00026MO	N-Glycan core basic	true
G13657KC	G00030MO	N-Glycan complex	true
G13657KC	G00055MO	Lactosamine motif	false
G13657KC	G00058MO	Polylactosamine	false
G13659RH	G00026MO	N-Glycan core basic	true
G13659RH	G00030MO	N-Glycan complex	true
G13659RH	G00056MO	Neo Lactosamine	false
G13661YX	G00026MO	N-Glycan core basic	true
G13672YG	G00026MO	N-Glycan core basic	true
G13672YG	G00030MO	N-Glycan complex	true
G13672YG	G00055MO	Lactosamine motif	false
G13672YG	G00068MO	Blood group H	false
G13680ZF	G00055MO	Lactosamine motif	false
G13687TQ	G00026MO	N-Glycan core basic	true
G13687TQ	G00030MO	N-Glycan complex	true
G13688QP	G00051MO	Lewis X	false
G13688QP	G00055MO	Lactosamine motif	false
G13688QP	G00058MO	Polylactosamine	false
G13695SV	G00031MO	O-Glycan core 1	true
G13695SV	G00032MO	O-Glycan core 1 fuzzy	true
G13695SV	G00033MO	O-Glycan core 2	true
G13695SV	G00034MO	O-Glycan core 2 fuzzy	true
G13695SV	G00041MO	O-Glycan core 6	true
G13695SV	G00042MO	O-Glycan core 6 Fuzzy	true
G13695SV	G00055MO	Lactosamine motif	false
G13695SV	G00068MO	Blood group H	false
G13720TX	G00026MO	N-Glycan core basic	true
G13720TX	G00030MO	N-Glycan complex	true
G13720TX	G00055MO	Lactosamine motif	false
G13720TX	G00058MO	Polylactosamine	false
G13732OQ	G00055MO	Lactosamine motif	false
G13732OQ	G00056MO	Neo Lactosamine	false
G13732OQ	G00070MO	Glycosphingolipid Neo-lacto series	true
G13744OG	G00026MO	N-Glycan core basic	true
G13744OG	G00030MO	N-Glycan complex	true
G13744OG	G00055MO	Lactosamine motif	false
G13744OG	G00058MO	Polylactosamine	false
G13746SQ	G00026MO	N-Glycan core basic	true
G13746SQ	G00028MO	N-Glycan high mannose	true
G13751NN	G00026MO	N-Glycan core basic	true
G13751NN	G00030MO	N-Glycan complex	true
G13751NN	G00046MO	Galalpha1-3Gal epitope	false
G13751NN	G00055MO	Lactosamine motif	false
G13753JW	G00026MO	N-Glycan core basic	true
G13753JW	G00029MO	N-Glycan hybrid	true
G13757MF	G00051MO	Lewis X	false
G13757MF	G00055MO	Lactosamine motif	false
G13773HT	G00055MO	Lactosamine motif	false
G13782TA	G00026MO	N-Glycan core basic	true
G13782TA	G00030MO	N-Glycan complex	true
G13782TA	G00055MO	Lactosamine motif	false
G13782TA	G00057MO	LacDiNAc	false
G13800FQ	G00027MO	N-Glycan truncated motif. First GlcpNAC cut off	true
G13800FQ	G00055MO	Lactosamine motif	false
G13814UH	G00031MO	O-Glycan core 1	true
G13814UH	G00032MO	O-Glycan core 1 fuzzy	true
G13814UH	G00033MO	O-Glycan core 2	true
G13814UH	G00034MO	O-Glycan core 2 fuzzy	true
G13814UH	G00041MO	O-Glycan core 6	true
G13814UH	G00042MO	O-Glycan core 6 Fuzzy	true
G13814UH	G00055MO	Lactosamine motif	false
G13824WQ	G00035MO	O-Glycan core 3	true
G13824WQ	G00036MO	O-Glycan core 3 fuzzy	true
G13824WQ	G00056MO	Neo Lactosamine	false
G13836YR	G00026MO	N-Glycan core basic	true
G13836YR	G00030MO	N-Glycan complex	true
G13836YR	G00057MO	LacDiNAc	false
G13842GX	G00016MO	Glycosphingolipid Gala series	true
G13849JB	G00026MO	N-Glycan core basic	true
G13849JB	G00030MO	N-Glycan complex	true
G13849JB	G00055MO	Lactosamine motif	false
G13849YJ	G00026MO	N-Glycan core basic	true
G13849YJ	G00029MO	N-Glycan hybrid	true
G13858YJ	G00032MO	O-Glycan core 1 fuzzy	true
G13858YJ	G00034MO	O-Glycan core 2 fuzzy	true
G13858YJ	G00042MO	O-Glycan core 6 Fuzzy	true
G13858YJ	G00055MO	Lactosamine motif	false
G13863XN	G00031MO	O-Glycan core 1	true
G13863XN	G00032MO	O-Glycan core 1 fuzzy	true
G13863XN	G00033MO	O-Glycan core 2	true
G13863XN	G00034MO	O-Glycan core 2 fuzzy	true
G13863XN	G00041MO	O-Glycan core 6	true
G13863XN	G00042MO	O-Glycan core 6 Fuzzy	true
G13863XN	G00047MO	Lewis A	false
G13863XN	G00048MO	Lewis B	false
G13863XN	G00055MO	Lactosamine motif	false
G13863XN	G00056MO	Neo Lactosamine	false
G13863XN	G00058MO	Polylactosamine	false
G13863XN	G00068MO	Blood group H	false
G13890JV	G00032MO	O-Glycan core 1 fuzzy	true
G13890JV	G00034MO	O-Glycan core 2 fuzzy	true
G13890JV	G00042MO	O-Glycan core 6 Fuzzy	true
G13890JV	G00055MO	Lactosamine motif	false
G13894RO	G00051MO	Lewis X	false
G13894RO	G00052MO	Lewis Y	false
G13894RO	G00055MO	Lactosamine motif	false
G13894RO	G00058MO	Polylactosamine	false
G13894RO	G00068MO	Blood group H	false
G13897ZB	G00026MO	N-Glycan core basic	true
G13897ZB	G00028MO	N-Glycan high mannose	true
G13909GK	G00055MO	Lactosamine motif	false
G13909GK	G00058MO	Polylactosamine	false
G13910LY	G00066MO	Blood group A	false
G13910LY	G00068MO	Blood group H	false
