GlyTouCanAccession	MotifAccession	Label	Alignment
G00009BX	GGM.000001	Type 2 LN	Substructure
G00009BX	GGM.000002	Type 2 LN2	Substructure
G00009BX	GGM.000036	Blood group H (type 2)	Substructure
G00012MO	GGM.000015	a-Gal antigen	Substructure
G00012MO	GGM.000071	Isoglobotetraosylceramide	Whole-Glycan
G00012MO	GGM.000083	Cytolipin R	Whole-Glycan
G00012RZ	GGM.000001	Type 2 LN	Substructure
G00012RZ	GGM.000018	Lewis x	Substructure
G00012RZ	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00012RZ	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00014MO	GGM.000016	LacdiNAc	Substructure
G00017IP	GGM.000016	LacdiNAc	Substructure
G00017IP	GGM.000049	4'-sulfated LDN	Substructure
G00025HU	GGM.000001	Type 2 LN	Substructure
G00025HU	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00025YC	GGM.000001	Type 2 LN	Substructure
G00027JG	GGM.000001	Type 2 LN	Substructure
G00027JG	GGM.000036	Blood group H (type 2)	Substructure
G00030HB	GGM.000001	Type 2 LN	Substructure
G00030HB	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00031MO	GGM.000009	T antigen	Whole-Glycan
G00032MO	GGM.000009	T antigen	Whole-Glycan
G00034UM	GGM.000001	Type 2 LN	Substructure
G00034UM	GGM.000002	Type 2 LN2	Substructure
G00034UM	GGM.000005	Type 1 LN	Substructure
G00041IL	GGM.000005	Type 1 LN	Substructure
G00045DM	GGM.000001	Type 2 LN	Substructure
G00045DM	GGM.000005	Type 1 LN	Substructure
G00045DM	GGM.000036	Blood group H (type 2)	Substructure
G00045DM	GGM.000042	Blood group H (type 1)	Substructure
G00046MO	GGM.000015	a-Gal antigen	Substructure
G00047MO	GGM.000005	Type 1 LN	Substructure
G00047MO	GGM.000020	Lewis a	Substructure
G00048MO	GGM.000005	Type 1 LN	Substructure
G00048MO	GGM.000020	Lewis a	Substructure
G00048MO	GGM.000021	Lewis b	Substructure
G00048MO	GGM.000042	Blood group H (type 1)	Substructure
G00049MO	GGM.000005	Type 1 LN	Substructure
G00050MO	GGM.000005	Type 1 LN	Substructure
G00050MO	GGM.000042	Blood group H (type 1)	Substructure
G00051MO	GGM.000001	Type 2 LN	Substructure
G00051MO	GGM.000018	Lewis x	Substructure
G00052MO	GGM.000001	Type 2 LN	Substructure
G00052MO	GGM.000018	Lewis x	Substructure
G00052MO	GGM.000019	Lewis y	Substructure
G00052MO	GGM.000036	Blood group H (type 2)	Substructure
G00052MO	GGM.000045	Blood group H (type 2) - Lewis y	Substructure
G00053MO	GGM.000005	Type 1 LN	Substructure
G00053MO	GGM.000020	Lewis a	Substructure
G00053MO	GGM.000024	Sialyl Lewis a	Nonreducing-End
G00054MO	GGM.000001	Type 2 LN	Substructure
G00054MO	GGM.000018	Lewis x	Substructure
G00054MO	GGM.000022	Sialyl Lewis x	Nonreducing-End
G00054MO	GGM.000034	3-Sialyl-LN (type 2)	Nonreducing-End
G00055MO	GGM.000001	Type 2 LN	Substructure
