NCBI TaxID	Scientific Name	Common Name	Rank	Aggr	GlyTouCan	GlyCosmos	GlyConnect	GlyGen	Total
2	Bacteria		superkingdom	as annotated	0	13	0	4	13
7	Azorhizobium caulinodans		species	as annotated	0	1	0	0	1
21	Phenylobacterium immobile		species	as annotated	0	2	0	0	2
22	Shewanella		genus	as annotated	0	1	0	0	1
24	Shewanella putrefaciens		species	as annotated	0	8	0	0	8
34	Myxococcus xanthus		species	as annotated	0	3	0	0	3
147	Spirochaeta aurantia		species	as annotated	2	2	0	0	2
172	Leptospira biflexa		species	as annotated	0	1	0	0	1
191	Azospirillum		genus	as annotated	0	3	0	0	3
192	Azospirillum brasilense		species	as annotated	0	11	0	0	11
193	Azospirillum lipoferum		species	as annotated	0	6	0	0	6
194	Campylobacter		genus	as annotated	0	1	0	0	1
195	Campylobacter coli		species	as annotated	1	5	0	1	5
196	Campylobacter fetus		species	as annotated	0	2	0	0	2
197	Campylobacter jejuni		species	as annotated	13	113	0	15	113
201	Campylobacter lari		species	as annotated	0	11	0	0	11
210	Helicobacter pylori		species	as annotated	48	135	0	60	135
217	Helicobacter mustelae		species	as annotated	1	1	0	1	1
226	Alteromonas		genus	as annotated	0	20	0	0	20
227	Pseudoalteromonas carrageenovora		species	as annotated	1	6	0	0	6
228	Pseudoalteromonas haloplanktis		species	as annotated	0	7	0	0	7
232	Alteromonas sp.		species	as annotated	0	4	0	0	4
234	Brucella		genus	as annotated	6	6	0	0	6
235	Brucella abortus		species	as annotated	6	12	0	0	12
237	Flavobacterium		genus	as annotated	0	1	0	0	1
238	Elizabethkingia meningoseptica		species	as annotated	0	1	0	0	1
262	Francisella		genus	as annotated	0	3	0	0	3
263	Francisella tularensis		species	as annotated	8	11	0	1	11
264	Francisella tularensis subsp. novicida		subspecies	as annotated	1	1	0	0	1
271	Thermus aquaticus		species	as annotated	0	1	0	0	1
279	Xanthobacter		genus	as annotated	0	5	0	0	5
286	Pseudomonas	RNA similarity group I	genus	as annotated	6	111	0	1	111
287	Pseudomonas aeruginosa		species	as annotated	43	290	0	3	290
288	Pseudoalteromonas atlantica		species	as annotated	1	3	0	0	3
292	Burkholderia cepacia		species	as annotated	19	56	0	1	56
293	Brevundimonas diminuta		species	as annotated	0	2	0	0	2
294	Pseudomonas fluorescens		species	as annotated	8	32	0	0	32
296	Pseudomonas fragi		species	as annotated	0	1	0	0	1
298	Pseudomonas marginalis		species	as annotated	2	7	0	0	7
300	Ectopseudomonas mendocina		species	as annotated	0	2	0	1	2
303	Pseudomonas putida		species	as annotated	4	5	0	0	5
305	Ralstonia solanacearum		species	as annotated	0	23	0	0	23
306	Pseudomonas sp.		species	as annotated	0	10	0	0	10
316	Stutzerimonas stutzeri		species	as annotated	0	5	0	0	5
317	Pseudomonas syringae		species	as annotated	28	108	0	3	108
318	Pseudomonas savastanoi pv. glycinea			as annotated	2	2	0	0	2
319	Pseudomonas savastanoi pv. phaseolicola			as annotated	8	8	0	0	8
321	Pseudomonas syringae pv. syringae			as annotated	3	17	0	0	17
322	Pseudomonas amygdali pv. tabaci			as annotated	3	3	0	0	3
323	Pseudomonas syringae pv. tomato			as annotated	1	9	0	0	9
329	Ralstonia pickettii		species	as annotated	2	2	0	0	2
338	Xanthomonas		genus	as annotated	8	21	0	0	21
339	Xanthomonas campestris		species	as annotated	20	48	0	1	48
340	Xanthomonas campestris pv. campestris			as annotated	0	7	0	0	7
350	Zoogloea ramigera		species	as annotated	0	1	0	0	1
352	Azotobacter		genus	as annotated	0	2	0	0	2
353	Azotobacter chroococcum		species	as annotated	0	2	0	0	2
354	Azotobacter vinelandii		species	as annotated	7	12	0	0	12
357	Agrobacterium		genus	as annotated	0	8	0	0	8
358	Agrobacterium tumefaciens		species	as annotated	4	32	0	1	32
359	Rhizobium rhizogenes		species	as annotated	2	5	0	0	5
374	Bradyrhizobium		genus	as annotated	3	4	0	0	4
375	Bradyrhizobium japonicum		species	as annotated	11	34	0	2	34
379	Rhizobium		genus	as annotated	0	27	0	1	27
380	Sinorhizobium fredii		species	as annotated	0	16	0	1	16
381	Mesorhizobium loti		species	as annotated	1	8	0	0	8
382	Sinorhizobium meliloti		species	as annotated	2	49	0	3	49
384	Rhizobium leguminosarum		species	as annotated	18	71	0	1	71
385	Rhizobium leguminosarum bv. phaseoli			as annotated	8	8	0	0	8
386	Rhizobium leguminosarum bv. trifolii			as annotated	2	6	0	0	6
387	Rhizobium leguminosarum bv. viciae			as annotated	14	14	0	0	14
391	Rhizobium sp.		species	as annotated	2	3	0	0	3
394	Sinorhizobium fredii NGR234		strain	as annotated	7	7	0	0	7
396	Rhizobium phaseoli		species	as annotated	1	11	0	0	11
398	Rhizobium tropici		species	as annotated	3	10	0	0	10
434	Acetobacter		genus	as annotated	0	39	0	0	39
435	Acetobacter aceti		species	as annotated	0	1	0	0	1
437	Acidomonas methanolica		species	as annotated	0	7	0	0	7
440	Acetobacter sp.		species	as annotated	0	2	0	0	2
446	Legionella pneumophila		species	as annotated	1	17	0	0	17
453	Legionella feeleii		species	as annotated	0	1	0	0	1
469	Acinetobacter		genus	as annotated	0	1	0	0	1
470	Acinetobacter baumannii		species	as annotated	1	36	0	1	36
471	Acinetobacter calcoaceticus		species	as annotated	0	7	0	1	7
472	Acinetobacter sp.		species	as annotated	0	11	0	0	11
476	Moraxella bovis		species	as annotated	0	1	0	1	1
478	Moraxella nonliquefaciens		species	as annotated	2	4	0	1	4
480	Moraxella catarrhalis		species	as annotated	3	55	0	2	55
482	Neisseria		genus	as annotated	6	6	0	0	6
485	Neisseria gonorrhoeae		species	as annotated	20	69	1	15	70
487	Neisseria meningitidis		species	as annotated	47	220	1	18	221
504	Kingella kingae		species	as annotated	1	2	0	0	2
507	Alcaligenes		genus	as annotated	0	11	0	0	11
511	Alcaligenes faecalis		species	as annotated	2	6	0	3	6
512	Alcaligenes sp.		species	as annotated	2	10	0	0	10
517	Bordetella		genus	as annotated	0	1	0	0	1
518	Bordetella bronchiseptica		species	as annotated	8	10	0	0	10
519	Bordetella parapertussis		species	as annotated	6	6	0	0	6
520	Bordetella pertussis		species	as annotated	10	23	0	0	23
521	Bordetella avium		species	as annotated	1	2	0	0	2
528	Ochrobactrum		genus	as annotated	0	3	0	0	3
529	Brucella anthropi		species	as annotated	1	1	0	0	1
536	Chromobacterium violaceum		species	as annotated	2	4	0	1	4
542	Zymomonas mobilis		species	as annotated	1	1	0	0	1
543	Enterobacteriaceae		family	as annotated	2	11	0	0	11
544	Citrobacter		genus	as annotated	4	27	0	0	27
546	Citrobacter freundii		species	as annotated	2	25	0	0	25
547	Enterobacter		genus	as annotated	0	13	0	0	13
548	Klebsiella aerogenes		species	as annotated	0	2	0	0	2
549	Pantoea agglomerans		species	as annotated	0	3	0	0	3
550	Enterobacter cloacae		species	as annotated	0	2	0	0	2
551	Erwinia		genus	as annotated	0	46	0	1	46
552	Erwinia amylovora		species	as annotated	0	3	0	0	3
554	Pectobacterium carotovorum		species	as annotated	0	1	0	0	1
556	Dickeya chrysanthemi		species	as annotated	0	8	0	0	8
558	Erwinia sp.		species	as annotated	1	1	0	0	1
561	Escherichia		genus	as annotated	0	7	0	0	7
562	Escherichia coli	E. coli	species	as annotated	65	590	0	90	590
565	Atlantibacter hermannii		species	as annotated	4	5	0	0	5
569	Hafnia alvei		species	as annotated	7	95	0	0	95
570	Klebsiella		genus	as annotated	3	154	0	1	154
571	Klebsiella oxytoca		species	as annotated	0	2	0	0	2
573	Klebsiella pneumoniae		species	as annotated	30	135	0	2	135
574	Klebsiella pneumoniae subsp. ozaenae		subspecies	as annotated	0	1	0	0	1
576	Klebsiella sp.		species	as annotated	0	108	0	13	108
577	Raoultella terrigena		species	as annotated	1	5	0	0	5
583	Proteus		genus	as annotated	4	8	0	0	8
584	Proteus mirabilis		species	as annotated	1	135	0	0	135
585	Proteus vulgaris		species	as annotated	1	68	0	0	68
588	Providencia stuartii		species	as annotated	0	10	0	0	10
590	Salmonella		genus	as annotated	45	223	0	22	223
599	Salmonella sp.		species	as annotated	0	31	0	2	31
600	Salmonella enterica subsp. enterica serovar Thompson			as annotated	0	4	0	1	4
615	Serratia marcescens		species	as annotated	2	75	0	2	75
620	Shigella		genus	as annotated	7	9	0	4	9
621	Shigella boydii		species	as annotated	0	50	0	1	50
622	Shigella dysenteriae		species	as annotated	4	60	0	8	60
623	Shigella flexneri		species	as annotated	45	116	0	21	116
624	Shigella sonnei		species	as annotated	8	26	0	0	26
629	Yersinia		genus	as annotated	3	4	0	0	4
630	Yersinia enterocolitica		species	as annotated	3	40	0	0	40
631	Yersinia intermedia		species	as annotated	0	2	0	0	2
632	Yersinia pestis		species	as annotated	12	45	0	0	45
633	Yersinia pseudotuberculosis		species	as annotated	2	46	0	0	46
636	Edwardsiella tarda		species	as annotated	0	5	0	0	5
642	Aeromonas		genus	as annotated	0	7	0	0	7
644	Aeromonas hydrophila		species	as annotated	7	28	0	2	28
645	Aeromonas salmonicida		species	as annotated	5	17	0	0	17
646	Aeromonas sobria		species	as annotated	0	1	0	0	1
648	Aeromonas caviae		species	as annotated	1	3	0	0	3
662	Vibrio		genus	as annotated	2	9	0	2	9
666	Vibrio cholerae		species	as annotated	3	61	0	2	61
670	Vibrio parahaemolyticus		species	as annotated	0	12	0	0	12
672	Vibrio vulnificus		species	as annotated	0	10	0	0	10
674	Vibrio mimicus		species	as annotated	0	4	0	0	4
676	Vibrio fluvialis		species	as annotated	1	8	0	0	8
678	Vibrio sp.		species	as annotated	0	1	0	0	1
703	Plesiomonas shigelloides		species	as annotated	6	19	0	0	19
713	Actinobacillus		genus	as annotated	0	9	0	0	9
714	Aggregatibacter actinomycetemcomitans		species	as annotated	0	9	0	0	9
715	Actinobacillus pleuropneumoniae		species	as annotated	2	37	0	2	37
716	Actinobacillus suis		species	as annotated	3	7	0	0	7
724	Haemophilus		genus	as annotated	1	45	0	3	45
727	Haemophilus influenzae		species	as annotated	18	120	0	5	120
729	Haemophilus parainfluenzae		species	as annotated	0	3	0	0	3
730	[Haemophilus] ducreyi		species	as annotated	0	41	0	0	41
731	Histophilus somni		species	as annotated	0	6	0	0	6
745	Pasteurella		genus	as annotated	0	9	0	1	9
747	Pasteurella multocida		species	as annotated	7	19	0	5	19
777	Coxiella burnetii		species	as annotated	0	1	0	0	1
810	Chlamydia		genus	as annotated	13	26	0	0	26
813	Chlamydia trachomatis		species	as annotated	7	13	0	0	13
816	Bacteroides		genus	as annotated	0	10	0	2	10
817	Bacteroides fragilis		species	as annotated	3	16	0	2	16
821	Phocaeicola vulgatus		species	as annotated	0	1	0	0	1
830	Butyrivibrio		genus	as annotated	0	1	0	1	1
831	Butyrivibrio fibrisolvens		species	as annotated	0	2	0	0	2
833	Fibrobacter succinogenes		species	as annotated	0	3	0	0	3
837	Porphyromonas gingivalis		species	as annotated	0	2	0	1	2
851	Fusobacterium nucleatum		species	as annotated	0	1	0	1	1
864	Pectinatus		genus	as annotated	0	1	0	0	1
865	Pectinatus frisingensis		species	as annotated	2	18	0	0	18
919	Thiobacillus		genus	as annotated	0	1	0	0	1
920	Acidithiobacillus ferrooxidans		species	as annotated	0	1	0	0	1
924	Thiobacillus sp.		species	as annotated	0	1	0	0	1
959	Bdellovibrio bacteriovorus		species	as annotated	0	1	0	0	1
992	Flexibacter		genus	as annotated	0	1	0	0	1
996	Flavobacterium columnare		species	as annotated	0	1	0	0	1
1060	Rhodobacter		genus	as annotated	0	2	0	0	2
1061	Rhodobacter capsulatus		species	as annotated	0	1	0	1	1
