HexNAc(2)Hex(3)Pent(1) % 1024.359475, G72731KV
HexNAc(2)Hex(3)dHex(1)Pent(1) % 1170.417383, G42032FN
HexNAc(3)Hex(3)dHex(1)Pent(1) % 1373.496756, G84164DF
HexNAc(4)Hex(3)Sulpho(1) % 1378.432776, G67486RJ
HexNAc(2)Hex(6) % 1378.475686, G41247ZX
HexNAc(4)Hex(3)dHex(1)Sulpho(1) % 1524.490684, G54168YD
HexNAc(2)Hex(6)dHex(1) % 1524.533595, G02860WV
HexNAc(4)Hex(4)Sulpho(1) % 1540.485599, G92119WG
HexNAc(2)Hex(7) % 1540.528510, G31852PQ
HexNAc(4)Hex(3)dHex(1)Pent(1) % 1576.576129, G81920JR
HexNAc(5)Hex(3)Sulpho(1) % 1581.512148, G63273GB
HexNAc(4)Hex(5) % 1622.581608, G10486CT
HexNAc(3)Hex(6)Phospho(1) % 1661.521390, G15205QB
HexNAc(1)Hex(9) % 1661.554784, G45703RF
HexNAc(5)Hex(4) % 1663.608157, G72790NZ
HexNAc(2)Hex(6)NeuAc(1) % 1669.571103, G13381VV
HexNAc(4)Hex(4)dHex(1)Sulpho(1) % 1686.543508, G86270PX
HexNAc(4)Hex(4)dHex(1)Phospho(1) % 1686.553024, G27342PV
HexNAc(2)Hex(7)dHex(1) % 1686.586419, G14191MJ
HexNAc(3)Hex(4)dHex(1)NeuAc(1) % 1694.602737, G72791KH
HexNAc(3)Hex(4)dHex(3) % 1695.623138, G03930BU
HexNAc(2)Hex(8) % 1702.581333, G62765YT
HexNAc(5)Hex(3)dHex(1)Sulpho(1) % 1727.570057, G69121UK
HexNAc(3)Hex(6)dHex(1) % 1727.612968, G03574QJ
HexNAc(4)Hex(3)dHex(1)NeuAc(1) % 1735.629286, G36923NX
HexNAc(5)Hex(4)Sulpho(1) % 1743.564972, G39411LN
HexNAc(6)Hex(3)Sulpho(1) % 1784.591521, G89430VM
HexNAc(5)Hex(4)dHex(1) % 1809.666066, G68318VE
HexNAc(1)Hex(10) % 1823.607608, G04681UD
HexNAc(4)Hex(5)dHex(1)Sulpho(1) % 1848.596331, G63236GA
HexNAc(6)Hex(3)Sulpho(2) % 1864.548335, G42817NX
HexNAc(2)Hex(9) % 1864.634157, G80920RR
HexNAc(6)Hex(4) % 1866.687530, G25079LO
HexNAc(3)Hex(6)dHex(2) % 1873.670877, G50372IH
HexNAc(4)Hex(3)NeuAc(2) % 1880.666794, G46503DX
HexNAc(5)Hex(4)dHex(1)Sulpho(1) % 1889.622880, G73943YH
HexNAc(7)Hex(3) % 1907.714079, G73430PD
HexNAc(4)Hex(5)dHex(1)Sulpho(2) % 1928.553146, G53874PO
HexNAc(6)Hex(3)dHex(1)Sulpho(1) % 1930.649430, G11145KS
HexNAc(4)Hex(7) % 1946.687255, G49018RC
HexNAc(5)Hex(4)NeuAc(1) % 1954.703574, G86182NS
HexNAc(5)Hex(4)dHex(1)Sulpho(2) % 1969.579695, G62273EM
HexNAc(5)Hex(5)dHex(1) % 1971.718889, G85740DB
HexNAc(3)Hex(8)Phospho(1) % 1985.627037, G78923UG
HexNAc(5)Hex(6) % 1987.713804, G60033FS
HexNAc(4)Hex(5)NeuAc(1)Sulpho(1) % 1993.633839, G61261ID
HexNAc(6)Hex(3)NeuAc(1) % 1995.730123, G63276XU
HexNAc(6)Hex(3)dHex(2) % 1996.750524, G59540CB
HexNAc(6)Hex(3)dHex(1)Sulpho(2) % 2010.606244, G71640LP
HexNAc(6)Hex(4)dHex(1) % 2012.745438, G56610MH
