GlyTouCanAccession	CarbbankAccession
G00017MO	8715
G00017MO	10851
G00017MO	11380
G00017MO	12265
G00017MO	16769
G00017MO	16999
G00017MO	22404
G00017MO	24729
G00025AJ	4535
G00025AJ	8232
G00025AJ	16663
G00025AJ	39243
G00031MO	98
G00031MO	99
G00031MO	100
G00031MO	2225
G00031MO	2226
G00031MO	2227
G00031MO	2228
G00031MO	2229
G00031MO	2230
G00031MO	2231
G00031MO	2232
G00031MO	2234
G00031MO	2235
G00031MO	2236
G00031MO	2237
G00031MO	2238
G00031MO	2239
G00031MO	2240
G00031MO	2241
G00031MO	2242
G00031MO	2243
G00031MO	3235
G00031MO	3236
G00031MO	3239
G00031MO	3240
G00031MO	3245
G00031MO	3255
G00031MO	3406
G00031MO	3795
G00031MO	3803
G00031MO	3842
G00031MO	3846
G00031MO	3903
G00031MO	4685
G00031MO	5035
G00031MO	5038
G00031MO	5203
G00031MO	5232
G00031MO	5434
G00031MO	5887
G00031MO	14321
G00031MO	20223
G00031MO	20981
G00031MO	25363
G00031MO	25729
G00031MO	25730
G00031MO	28182
G00031MO	29012
G00031MO	29046
G00031MO	29175
G00031MO	29393
G00031MO	29521
G00031MO	29709
G00031MO	30501
G00031MO	30734
G00031MO	30735
G00031MO	30848
G00031MO	30849
G00031MO	30850
G00031MO	30917
G00031MO	32646
G00031MO	33002
G00031MO	33022
G00031MO	33211
G00031MO	33469
G00031MO	33576
G00031MO	33832
G00031MO	33848
G00031MO	33851
G00031MO	33878
G00031MO	33952
G00031MO	34693
G00031MO	34766
G00031MO	34823
G00031MO	34829
G00031MO	34830
G00031MO	34986
G00031MO	34995
G00031MO	35029
G00031MO	35050
G00031MO	35069
G00031MO	35107
G00031MO	35108
G00031MO	35805
G00031MO	35833
G00031MO	35991
G00031MO	36264
G00031MO	36818
G00031MO	36826
G00031MO	36863
G00031MO	37676
G00031MO	37768
G00031MO	37770
G00031MO	38102
G00031MO	38263
G00031MO	38587
G00031MO	38640
G00031MO	38672
G00031MO	38687
G00031MO	40630
G00031MO	40825
G00031MO	40957
G00031MO	41263
G00031MO	41866
G00031MO	42208
G00031MO	42209
G00031MO	42740
G00031MO	42797
G00031MO	42875
G00031MO	43908
G00031MO	43915
G00031MO	43921
G00031MO	43923
G00031MO	43951
G00031MO	44029
G00031MO	44376
G00031MO	44505
G00031MO	44775
G00031MO	45972
G00031MO	45973
G00031MO	45974
G00031MO	45975
G00031MO	45976
G00031MO	45977
G00031MO	45978
G00031MO	45979
G00031MO	45980
G00031MO	45981
G00031MO	46056
G00031MO	46438
G00031MO	46466
G00031MO	46562
G00031MO	47015
G00031MO	47100
G00031MO	47186
G00031MO	47327
G00031MO	47600
G00031MO	47770
G00031MO	48244
G00031MO	48247
G00031MO	48891
G00031MO	49121
G00031MO	49283
G00031MO	49507
G00031MO	50477
G00031MO	50865
G00033MO	2452
G00033MO	2453
G00033MO	3486
G00033MO	3487
G00033MO	13751
G00033MO	16601
G00033MO	23753
G00033MO	30426
G00033MO	30851
G00033MO	33633
G00033MO	34767
G00033MO	35109
G00033MO	35110
G00033MO	36265
G00033MO	38265
G00033MO	38269
G00033MO	38650
G00033MO	42743
G00033MO	46429
G00033MO	47878
G00034MO	5653;9374;14460;21911;22811;29071;29118;31739;37818;49603
G00035MO	3347
G00035MO	30844
G00035MO	33470
G00035MO	38651
G00035MO	42738
