GlyTouCanAccession	CFGAccession
G00031MO	carbOlink_20077_D000
G00031MO	carbOlink_20078_D000
G00031MO	carbOlink_20079_D000
G00031MO	carbSynthe_0068_D000
G00031MO	carbSynthe_0434_D000
G00031MO	carbSynthe_0627_D000
G00033MO	carbSynthe_0124_D000
G00033MO	carbSynthe_0624_D000
G00033MO	carbSynthe_0901_D000
G00035MO	carbSynthe_0851_D000
G00037MO	carbSynthe_0079_D000
G00037MO	carbSynthe_0690_D000
G00039MO	carbSynthe_0072_D000
G00047MO	carbNlink_42357_D000
G00047MO	carbNlink_47192_D000
G00047MO	carbSynthe_0888_D000
G00047MO	carbSynthe_0889_D000
G00048MO	carbSynthe_0023_D000
G00048MO	carbSynthe_0664_D000
G00049MO	carbGlipid_21021_D000
G00049MO	carbSynthe_0148_D000
G00049MO	carbSynthe_0633_D000
G00049MO	carbSynthe_0929_D000
G00050MO	carbSynthe_0027_D000
G00050MO	carbSynthe_0829_D000
G00050MO	carbSynthe_0830_D000
G00052MO	carbSynthe_0087_D000
G00052MO	carbSynthe_0523_D000
G00052MO	carbSynthe_0524_D000
G00052MO	carbSynthe_0671_D000
G00052MO	carbSynthe_0672_D000
G00053MO	carbSynthe_0726_D000
G00053MO	carbSynthe_464_D000
G00054MO	carbPDB_00002_D000
G00054MO	carbSynthe_0107_D000
G00054MO	carbSynthe_0559_D000
G00054MO	carbSynthe_0560_D000
G00054MO	carbSynthe_0733_D000
G00054MO	carbSynthe_0734_D000
G00054MO	carbSynthe_487_D000
G00055MO	carbPDB_00001_D000
G00055MO	carbSynthe_0020_D000
G00055MO	carbSynthe_0095_D000
G00055MO	carbSynthe_0168_D000
G00055MO	carbSynthe_0641_D000
G00055MO	carbSynthe_0642_D000
G00056MO	carbSynthe_0018_D000
G00056MO	carbSynthe_0165_D000
G00056MO	carbSynthe_0166_D000
G00056MO	carbSynthe_0631_D000
G00056MO	carbSynthe_0632_D000
G00057MO	carbSynthe_0021_D000
G00057MO	carbSynthe_0097_D000
G00057MO	carbSynthe_0169_D000
G00057MO	carbSynthe_0223_D000
G00057MO	carbSynthe_0659_D000
G00057MO	carbSynthe_0660_D000
G00059MO	carbGlipid_20042_D000
G00059MO	carbSynthe_0029_D000
G00059MO	carbSynthe_0174_D000
G00059MO	carbSynthe_0613_D000
G00061MO	carbGlipid_20235_D000
G00061MO	carbSynthe_0786_D000
G00065MO	carbSynthe_0037_D000
G00065MO	carbSynthe_0156_D000
G00065MO	carbSynthe_0185_D000
G00065MO	carbSynthe_0244_D000
G00065MO	carbSynthe_0739_D000
G00065MO	carbSynthe_0740_D000
G00066MO	carbSynthe_0080_D000
G00066MO	carbSynthe_0081_D000
G00066MO	carbSynthe_0651_D000
G00068MO	carbSynthe_0073_D000
G00068MO	carbSynthe_0663_D000
G00076PK	carbSynthe_0030_D000
G00076PK	carbSynthe_0175_D000
G00076PK	carbSynthe_0614_D000
G00076PK	carbSynthe_0615_D000
G00279YF	carbNlink_20273_D000
G00361YF	carbNlink_42155_D000
G00430ZK	carbOlink_20565_D000
G00432WV	carbNlink_40046_D000
G00432WV	carbNlink_40343_D000
G00432WV	carbNlink_40487_D000
G00469BS	carbNlink_30178_A
G00492CQ	carbNlink_20942_D000
G00492CQ	carbNlink_21003_D000
G00503EE	carbNlink_40087_D000
G00503EE	carbNlink_40388_D000
G00582VL	carbNlink_44016_D000
G00606LX	carbNlink_31722_A
G00619DD	carbSynthe_0045_D000
G00619DD	carbSynthe_0098_D000
G00619DD	carbSynthe_0707_D000
G00619DD	carbSynthe_0930_D000
G00675GF	carbOlink_21210_D000
G00695JO	carbNlink_21071_D000
G00706QN	carbNlink_20352_D000
G00901NZ	carbOlink_20800_D000
G00972DY	carbNlink_40551_D000
G00982QD	carbNlink_46065_D000
G00995HW	carbNlink_44188_D000
G00998NI	carbNlink_20139_D000
G00998NI	carbNlink_20684_D000
G00998NI	carbNlink_40333_D000
G00998NI	carbNlink_41206_D000
G00998NI	carbNlink_45552_D000
G01001RL	carbNlink_32435_A
G01034MJ	carbNlink_41153_D000
G01169EW	carbNlink_30288_A
G01187XC	carbNlink_40731_D000
G01187XC	carbNlink_42128_D000
G01187XC	carbNlink_42955_D000
G01200BW	carbGlipid_20744_D000
G01223AA	carbNlink_21484_P
G01260RY	carbNlink_42085_D000
G01299ER	carbNlink_20495_D000
G01299ER	carbNlink_45257_D000
G01300OI	carbNlink_21117_D000
G01310VF	carbNlink_44727_D000
G01323LL	carbNlink_20979_D000
G01361CV	carbNlink_20642_D000
G01361CV	carbNlink_40667_D000
G01361CV	carbNlink_41208_D000
G01361CV	carbNlink_41985_D000
G01406RR	carbNlink_44385_D000
G01414CL	carbNlink_20281_D000
G01450RG	carbOlink_20789_D000
