GlyTouCanAccession	ChEBIAccession
G00024MO	CHEBI:146032
G00025AJ	CHEBI:146034
G00025MO	CHEBI:156790
G00027MO	CHEBI:91279
G00030VN	CHEBI:234090
G00031MO	CHEBI:60241
G00031MO	CHEBI:61820
G00031MO	CHEBI:62464
G00031MO	CHEBI:62465
G00033MO	CHEBI:133982
G00033MO	CHEBI:62158
G00035MO	CHEBI:71344
G00035MO	CHEBI:87260
G00035MO	CHEBI:87261
G00037MO	CHEBI:71341
G00039MO	CHEBI:145577
G00039MO	CHEBI:63230
G00039MO	CHEBI:73987
G00039MO	CHEBI:74036
G00041IL	CHEBI:157398
G00041MO	CHEBI:71411
G00043MO	CHEBI:146036
G00047MO	CHEBI:62265
G00048MO	CHEBI:59441
G00049MO	CHEBI:53481
G00050MO	CHEBI:65276
G00051MO	CHEBI:59294
G00051MO	CHEBI:77188
G00052MO	CHEBI:195560
G00052MO	CHEBI:59045
G00052MO	CHEBI:59047
G00053MO	CHEBI:62681
G00054MO	CHEBI:71622
G00055MO	CHEBI:133507
G00055MO	CHEBI:16153
G00055MO	CHEBI:62124
G00056MO	CHEBI:133506
G00056MO	CHEBI:53548
G00056MO	CHEBI:61246
G00057MO	CHEBI:68448
G00058MO	CHEBI:62134
G00058MO	CHEBI:71203
G00059MO	CHEBI:133816
G00059MO	CHEBI:63014
G00059MO	CHEBI:63027
G00059MO	CHEBI:63521
G00059MO	CHEBI:68485
G00059MO	CHEBI:75188
G00059MO	CHEBI:84687
G00059MO	CHEBI:84690
G00059MO	CHEBI:84692
G00059MO	CHEBI:84694
G00059MO	CHEBI:84695
G00059MO	CHEBI:84696
G00059MO	CHEBI:84999
G00060MO	CHEBI:146038
G00061MO	CHEBI:132968
G00061MO	CHEBI:145578
G00061MO	CHEBI:52988
G00061MO	CHEBI:84125
G00062MO	CHEBI:146040
G00063MO	CHEBI:146042
G00064MO	CHEBI:146044
G00065MO	CHEBI:71612
G00066MO	CHEBI:61012
G00067MO	CHEBI:146046
G00068MO	CHEBI:17512
G00068MO	CHEBI:61529
G00076PK	CHEBI:61832
G00076PK	CHEBI:63026
G00076PK	CHEBI:63028
G00091RT	CHEBI:71478
G00094SE	CHEBI:156692
G00112IO	CHEBI:146050
G00120QS	CHEBI:146052
G00123JF	CHEBI:46432
G00123JF	CHEBI:5865
G00123JF	CHEBI:65112
G00123JF	CHEBI:81199
G00140XB	CHEBI:146055
G00152LK	CHEBI:146056
G00153LJ	CHEBI:146058
G00157WT	CHEBI:157147
G00175GT	CHEBI:146060
G00176HZ	CHEBI:146062
G00194ZL	CHEBI:146064
G00199JR	CHEBI:146066
G00219VH	CHEBI:156640
G00231WL	CHEBI:146031
G00247PL	CHEBI:146033
G00272VU	CHEBI:146035
G00279YF	CHEBI:146037
