GlyTouCanAccession	Enzyme_UniProtAccession	Enzyme_GeneName	Enzyme_GeneID	Enzyme_TaxonomyID
G00176HZ	Q921Q3	Alg1	208211	10090
G00176HZ	Q9D8C3	Alg13	67574	10090
G00176HZ	Q9D081	Alg14	66789	10090
G00176HZ	Q9DBE8	Alg2	56737	10090
G00176HZ	P42867	Dpagt1	13478	10090
G00176HZ	Q9WTS2	Fut8	53618	10090
G00176HZ	Q8BML3	Glt28d2	320302	10090
G00176HZ	P27808	Mgat1	17308	10090
G00176HZ	Q921V5	Mgat2	217664	10090
G00176HZ	Q812G0	Mgat4a	269181	10090
G00176HZ	Q812F8	Mgat4b	103534	10090
G00176HZ	Q9D306	Mgat4c	67569	10090
G00176HZ	Q8R4G6	Mgat5	107895	10090
G00176HZ	Q765H6	Mgat5b	268510	10090
G00176HZ	Q9BT22	ALG1	56052	9606
G00176HZ	Q9NP73	ALG13	79868	9606
G00176HZ	Q96F25	ALG14	199857	9606
G00176HZ	Q9H553	ALG2	85365	9606
G00176HZ	Q9H3H5	DPAGT1	1798	9606
G00176HZ	Q9BYC5	FUT8	2530	9606
G00176HZ	P26572	MGAT1	4245	9606
G00176HZ	Q10469	MGAT2	4247	9606
G00176HZ	Q9UM21	MGAT4A	11320	9606
G00176HZ	Q9UQ53	MGAT4B	11282	9606
G00176HZ	Q9UBM8	MGAT4C	25834	9606
G00176HZ	Q09328	MGAT5	4249	9606
G00176HZ	Q3V5L5	MGAT5B	146664	9606
G00272VU	Q921Q3	Alg1	208211	10090
G00272VU	Q9D8C3	Alg13	67574	10090
G00272VU	Q9D081	Alg14	66789	10090
G00272VU	Q9DBE8	Alg2	56737	10090
G00272VU	P15535	B4galt1	14595	10090
G00272VU	Q9Z2Y2	B4galt2	53418	10090
G00272VU	Q91YY2	B4galt3	57370	10090
G00272VU	P42867	Dpagt1	13478	10090
G00272VU	Q11127	Fut4	14345	10090
G00272VU	Q9WTS2	Fut8	53618	10090
G00272VU	O88819	Fut9	14348	10090
G00272VU	Q8BML3	Glt28d2	320302	10090
G00272VU	Q812G0	Mgat4a	269181	10090
G00272VU	Q812F8	Mgat4b	103534	10090
G00272VU	Q9D306	Mgat4c	67569	10090
G00272VU	Q9BT22	ALG1	56052	9606
G00272VU	Q9NP73	ALG13	79868	9606
G00272VU	Q96F25	ALG14	199857	9606
G00272VU	Q9H553	ALG2	85365	9606
G00272VU	P15291	B4GALT1	2683	9606
G00272VU	O60909	B4GALT2	8704	9606
G00272VU	O60512	B4GALT3	8703	9606
G00272VU	Q9H3H5	DPAGT1	1798	9606
G00272VU	P21217	FUT3	2525	9606
G00272VU	P22083	FUT4	2526	9606
G00272VU	Q11128	FUT5	2527	9606
G00272VU	P51993	FUT6	2528	9606
G00272VU	Q9BYC5	FUT8	2530	9606
G00272VU	Q9Y231	FUT9	10690	9606
G00272VU	Q9UM21	MGAT4A	11320	9606
G00272VU	Q9UQ53	MGAT4B	11282	9606
G00272VU	Q9UBM8	MGAT4C	25834	9606
G00320ZP	Q921Q3	Alg1	208211	10090
G00320ZP	Q9D8C3	Alg13	67574	10090
G00320ZP	Q9D081	Alg14	66789	10090
G00320ZP	Q9DBE8	Alg2	56737	10090
G00320ZP	O54905	B3gal2	26878	10090
G00320ZP	Q9JI67	B3galt5	96961	10090
G00320ZP	P42867	Dpagt1	13478	10090
G00320ZP	Q8BML3	Glt28d2	320302	10090
G00320ZP	P27808	Mgat1	17308	10090
G00320ZP	Q921V5	Mgat2	217664	10090
G00320ZP	P97325	St3gal3	20441	10090
G00320ZP	Q91Y74	St3gal4	20443	10090
G00320ZP	Q8VIB3	St3gal6	54613	10090
G00320ZP	Q9BT22	ALG1	56052	9606
G00320ZP	Q9NP73	ALG13	79868	9606
G00320ZP	Q96F25	ALG14	199857	9606
G00320ZP	Q9H553	ALG2	85365	9606
G00320ZP	O43825	B3GALT2	8707	9606
G00320ZP	Q9Y2C3	B3GALT5	10317	9606
G00320ZP	Q9H3H5	DPAGT1	1798	9606
G00320ZP	P26572	MGAT1	4245	9606
G00320ZP	Q10469	MGAT2	4247	9606
G00320ZP	Q11203	ST3GAL3	6487	9606
G00320ZP	Q11206	ST3GAL4	6484	9606
G00320ZP	Q9Y274	ST3GAL6	10402	9606
G00395TQ	Q921Q3	Alg1	208211	10090
G00395TQ	Q9D8C3	Alg13	67574	10090
G00395TQ	Q9D081	Alg14	66789	10090
G00395TQ	Q9DBE8	Alg2	56737	10090
G00395TQ	P42867	Dpagt1	13478	10090
G00395TQ	Q9WTS2	Fut8	53618	10090
G00395TQ	Q8BML3	Glt28d2	320302	10090
G00395TQ	Q9BT22	ALG1	56052	9606
G00395TQ	Q9NP73	ALG13	79868	9606
G00395TQ	Q96F25	ALG14	199857	9606
G00395TQ	Q9H553	ALG2	85365	9606
G00395TQ	Q9H3H5	DPAGT1	1798	9606
G00395TQ	Q9BYC5	FUT8	2530	9606
G00413UF	Q921Q3	Alg1	208211	10090
G00413UF	Q9D8C3	Alg13	67574	10090
G00413UF	Q9D081	Alg14	66789	10090
G00413UF	Q9DBE8	Alg2	56737	10090
G00413UF	P15535	B4galt1	14595	10090
G00413UF	Q9Z2Y2	B4galt2	53418	10090
G00413UF	Q91YY2	B4galt3	57370	10090
G00413UF	P42867	Dpagt1	13478	10090
G00413UF	Q8BML3	Glt28d2	320302	10090
G00413UF	P27808	Mgat1	17308	10090
G00413UF	Q921V5	Mgat2	217664	10090
G00413UF	Q812G0	Mgat4a	269181	10090
G00413UF	Q812F8	Mgat4b	103534	10090
G00413UF	Q9D306	Mgat4c	67569	10090
G00413UF	Q64685	St6gal1	20440	10090
G00413UF	Q76K27	St6gal2	240119	10090
G00413UF	Q9BT22	ALG1	56052	9606
G00413UF	Q9NP73	ALG13	79868	9606
G00413UF	Q96F25	ALG14	199857	9606
G00413UF	Q9H553	ALG2	85365	9606
G00413UF	P15291	B4GALT1	2683	9606
G00413UF	O60909	B4GALT2	8704	9606
G00413UF	O60512	B4GALT3	8703	9606
