GlyTouCanAccession	GlycomeDBID	GlycOID
G00009BX	9130	
G00012MO	3063	
G00012RZ	36696	
G00015MO	6685	
G00016MO	3814	
G00017MO	2033	
G00018MO	1673	
G00024MO	102	
G00025AJ	2021	
G00025MO	2337	
G00025YC	29557	
G00026MO	954	
G00027JG	13355	
G00027MO	5970	
G00028MO	565	
G00031MO	475	GOG922
G00032MO	47	
G00033MO	802	GOG978
G00034MO	3671	
G00034WH	2173	
G00035MO	483	GOG923
G00036MO	8234	
G00037MO	3125	GOG1239
G00038MO	8235	
G00039MO	484	GOG924
G00040MO	6967	
G00041MO	2484	GOG1236
G00042MO	6042	
G00043MO	485	GOG925
G00044MO	8236	
G00045MO	6939	
G00046MO	519	
G00047MO	1862	
G00048MO	315	
G00049MO	126	GOG983
G00050MO	545	GOG1063
G00051MO	48	
G00052MO	314	
G00053MO	130	
G00054MO	129	
G00055MO	228	
G00056HH	39511	
G00056MO	307	
G00057MO	8321	
G00058MO	2364	
G00059MO	120	
G00060BT	10134	
G00061MO	588	
G00063MO	4701	
G00065MO	231	
G00066MO	313	
G00068MO	306	
G00069MO	965	
G00070MO	966	
G00071MO	1222	
G00076PK	3004	
G00089VH	7734	
G00090SL	1654	
G00091RT	1216	
G00112IO	11415	
G00120QS	22908	
G00123JF	9680	
G00140XB	19536	
G00140YZ	35873	
G00141ZD	7043	
G00152LK	14761	
G00153LJ	287	
G00167VE	36071	
G00171RJ	32945	
G00175GT	17933	
G00176HZ	3768	GOG58
G00194ZL	23281	
G00199JR	33155	
G00212ZT	1973	
G00219DO	36072	
G00221CZ	40593	
G00230CO	35658	
G00231WL	39769	
G00247JV	40535	
G00247PL	39406	
G00272VU	8001	
G00279YF	20511	
G00283TT	23025	
G00287UD	2427	
G00294BL	16493	
G00298HY	991	
G00304VG	35270	
G00306VT	24906	
G00320ZP	7958	
G00325UK	30165	
G00328CG	40690	
G00328HB	12098	
G00335DM	13603	
G00335JE	40854	
G00349CA	1074	
G00361YF	32306	
G00362UY	1548	
G00370EI	2047	
G00383KP	40333	
G00383YF	5375	
G00394CR	24515	
G00395FS	882	
G00395TQ	180	
G00396IE	39486	
G00407UJ	18729	
G00412SV	40356	
G00413UF	2383	GOG163
G00423RQ	35389	
G00428HK	1948	
G00430ZK	20018	
G00432WV	17662	
G00433KW	18387	
G00435KX	22083	
G00438EF	30003	
G00451UT	32815	
G00454PR	1199	
G00457KD	5699	
G00459HM	10705	
G00461ZN	23722	
G00467QU	33186	
G00468KU	40115	
G00469BS	24774	
G00470UO	1503	
G00480KJ	14929	
G00482HJ	2425	
G00483IX	24867	
G00492CQ	21137	
G00503EE	19000	
G00504PK	40514	
G00504PZ	1114	
G00510MX	2860	
G00520NI	19671	
G00523YW	31281	
G00531ZU	39962	
G00536FZ	13382	GOG272
G00542QA	37542	
G00544JF	39797	
G00545NQ	40379	
G00547ZN	8259	
G00558IW	21727	
G00560KG	41107	
G00568LN	15299	
G00582VL	20193	
G00591PZ	40935	
G00594AV	40619	
G00594CD	17723	
G00601UG	20174	
G00606LX	22047	
G00619DD	725	
G00631XZ	24836	
G00633GI	35879	
G00646SN	9804	
G00647RA	9954	GOG1161
G00662IB	2911	
G00666EC	2492	
G00667RI	21340	
G00670OT	36620	
G00672PE	9659	
