glytoucan_acc	glytoucan_type	glycan_mass	glycan_permass	base_composition	composition	topology	monosaccharides
G00002CF	Topology	956.29687423	1236.60987563	G28882EF	G35219UR	G00002CF	4
G00009BX	Saccharide	894.33286578	1118.5832669	G93579XB	G40076YB	G97996TJ	5
G00012MO	Saccharide	707.248407805	903.467508785	G08590QR	G53509NM	G15216HY	4
G00012RZ	Saccharide	2734.99351197	3379.71341519	G28989NC	G74930DK	G01087FD	15
G00013MO	Saccharide	666.2218587	862.44095968	G90306QO	G65968NT	G24521PI	4
G00016MO	Saccharide	342.1162117	454.24141226	G90627TW	G90960QG	G61666PA	2
G00017MO	Saccharide	776.23348603	972.45258701	G33623LN	G67281OF	G81929CN	4
G00024MO	Saccharide	504.1690352	658.34118597	G39365VM	G72116MB	G63977XF	3
G00025AJ	Saccharide	490.18977064	644.36192141	G83791CV	G55291BP	G68137QB	3
G00025MO	Saccharide	666.2218587	862.44095968	G90306QO	G88288TV	G92495JT	4
G00025YC	Saccharide	1989.7294541	2466.26155647	G85740DB	G64730RH	G90713ZK	11
G00026MO	Saccharide	910.32778041	1148.5938316	G28681TP	G71678CK	G21458SP	5
G00027JG	Saccharide	1040.39077465	1292.67247591	G51210WZ	G72933YZ	G17734NH	6
G00027MO	Saccharide	707.248407805	903.467508785	G08590QR	G87067NW	G89827NJ	4
G00028MO	Saccharide	1234.43342741	1556.79337902	G02815KT	G89929IA	G16127HW	7
G00029MO	Saccharide	1275.45997651	1597.81992812	G57776ZU	G04263GM	G37692XE	7
G00030MO	Saccharide	1316.48652562	1638.84647723	G35029YA	G15843XU	G26402SO	7
G00031MO	Saccharide	383.142760805	495.267961365	G43417UB	G23052ZQ	G67200RM	2
G00032MO	Saccharide	383.142760805	495.267961365	G43417UB	G23052ZQ	G14660IB	
G00033MO	Saccharide	586.22213341	740.39428418	G58001LT	G59848RU	G31881UK	3
G00034MO	Saccharide	586.22213341	740.39428418	G58001LT	G59848RU	G27304YE	3
G00034WH	Saccharide	990.3275057	1270.6405071	G32030CB	G00803PJ	G72079HR	6
G00035MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G86947FH	2
G00036MO	Saccharide	424.16930991	536.29451047	G27391WQ	G94131HY	G68646SF	2
G00037MO	Saccharide	627.248682515	781.420833285	G40740AD	G20174EZ	G35689CT	3
G00038MO	Saccharide	627.248682515	781.420833285	G40740AD	G20174EZ	G60735SE	3
G00039MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G23854HB	2
G00040MO	Saccharide	424.16930991	536.29451047	G27391WQ	G58852GK	G43482PE	2
G00041IL	Saccharide	877.317550045	1101.56795117	G85811SG	G11785HS	G41445CB	4
