GlyTouCanAccession	GlyConnectAccession	GlyConnectAccessionType
G00027MO	1555	GlyConnectStructure
G00031MO	1947	GlyConnectStructure
G00031MO	9262	GlyConnectStructure
G00033MO	3318	GlyConnectStructure
G00035MO	2294	GlyConnectStructure
G00037MO	925	GlyConnectStructure
G00039MO	500	GlyConnectStructure
G00041IL	763	GlyConnectStructure
G00041MO	690	GlyConnectStructure
G00043MO	119	GlyConnectStructure
G00065MO	2804	GlyConnectStructure
G00094SE	2238	GlyConnectStructure
G00133UK	548	GlyConnectStructure
G00155YT	1542	GlyConnectStructure
G00176HZ	359	GlyConnectStructure
G00219VH	2620	GlyConnectStructure
G00227RN	1772	GlyConnectStructure
G00231IQ	1279	GlyConnectStructure
G00249IY	2511	GlyConnectStructure
G00249XF	1775	GlyConnectStructure
G00249XF	232	GlyConnectStructure
G00272VU	1535	GlyConnectStructure
G00272VU	3195	GlyConnectStructure
G00281HB	2477	GlyConnectStructure
G00320ZP	2336	GlyConnectStructure
G00371DJ	16	GlyConnectStructure
G00395TQ	1879	GlyConnectStructure
G00406II	345	GlyConnectComposition
G00406II	345	GlyConnectComposition
G00420UH	931	GlyConnectComposition
G00420UH	931	GlyConnectComposition
G00423TL	2252	GlyConnectStructure
G00433UK	1062	GlyConnectComposition
G00433UK	1062	GlyConnectComposition
G00468NI	1419	GlyConnectStructure
G00551JZ	3166	GlyConnectStructure
G00598SQ	3630	GlyConnectStructure
G00662IB	611	GlyConnectStructure
G00662UH	1643	GlyConnectStructure
G00666EC	2402	GlyConnectStructure
G00670OT	888	GlyConnectStructure
G00728SN	118	GlyConnectStructure
G00743WU	360	GlyConnectStructure
G00754TS	2579	GlyConnectStructure
G00776MW	559	GlyConnectComposition
G00776MW	559	GlyConnectComposition
G00797ZX	2827	GlyConnectStructure
G00800WJ	2590	GlyConnectStructure
G00814BW	2037	GlyConnectStructure
G00875VP	473	GlyConnectStructure
G00951UF	2745	GlyConnectStructure
G00978GW	3358	GlyConnectStructure
G00979XR	179	GlyConnectStructure
G00982CE	1987	GlyConnectStructure
G00986YT	3303	GlyConnectStructure
G01079KY	3050	GlyConnectStructure
G01120GS	1372	GlyConnectStructure
G01181WH	1753	GlyConnectStructure
G01187XC	3238	GlyConnectStructure
G01243KR	2909	GlyConnectStructure
G01268DU	2646	GlyConnectStructure
G01304XG	1031	GlyConnectStructure
G01316HN	1700	GlyConnectStructure
G01316HN	378	GlyConnectStructure
G01338AS	2153	GlyConnectStructure
G01351CD	2441	GlyConnectStructure
G01378OV	1136	GlyConnectStructure
G01457KB	2782	GlyConnectStructure
G01473WV	3404	GlyConnectStructure
G01543ZX	3590	GlyConnectStructure
G01546PE	542	GlyConnectStructure
G01577DB	3245	GlyConnectStructure
G01577DB	6806	GlyConnectStructure
G01600VV	2873	GlyConnectStructure
G01614ZM	2641	GlyConnectStructure
G01625GQ	818	GlyConnectStructure
G01629KW	848	GlyConnectComposition
G01629KW	848	GlyConnectComposition
G01650PH	3099	GlyConnectStructure
G01669LU	1627	GlyConnectStructure
G01744JD	2141	GlyConnectStructure
G01769FS	2997	GlyConnectStructure
G01856RL	3007	GlyConnectStructure
G01935FK	751	GlyConnectStructure
G01954BU	631	GlyConnectStructure
G02014WF	461	GlyConnectStructure
G02029PW	1867	GlyConnectStructure
G02030ZB	439	GlyConnectComposition
G02030ZB	439	GlyConnectComposition
G02032MW	134	GlyConnectStructure
G02230VA	2595	GlyConnectStructure
G02256MB	38	GlyConnectStructure
G02290KA	3554	GlyConnectStructure
G02311IE	1439	GlyConnectStructure
G02315DX	392	GlyConnectComposition
G02315DX	392	GlyConnectComposition
G02368JK	39	GlyConnectStructure
G02393LQ	3021	GlyConnectStructure
G02397SF	539	GlyConnectStructure
G02522JF	1905	GlyConnectStructure
G02561FC	1870	GlyConnectStructure
G02611WU	802	GlyConnectStructure
G02620FP	757	GlyConnectComposition
G02620FP	757	GlyConnectComposition
G02622IU	213	GlyConnectStructure
G02628JF	232	GlyConnectComposition
