GlyTouCanAccession	GlycoShapeAccession
G00009BX	G00009BX
G00012MO	G00012MO
G00026MO	G00026MO
G00028MO	G00028MO
G00031MO	G00031MO
G00032MO	G00032MO
G00033MO	G00033MO
G00034MO	G00034MO
G00035MO	G00035MO
G00036MO	G00036MO
G00037MO	G00037MO
G00038MO	G00038MO
G00039MO	G00039MO
G00040MO	G00040MO
G00041MO	G00041MO
G00042MO	G00042MO
G00043MO	G00043MO
G00044MO	G00044MO
G00046MO	G00046MO
G00048MO	G00048MO
G00049MO	G00049MO
G00050MO	G00050MO
G00051MO	G00051MO
G00052MO	G00052MO
G00053MO	G00053MO
G00054MO	G00054MO
G00055MO	G00055MO
G00056MO	G00056MO
G00057MO	G00057MO
G00058MO	G00058MO
G00059MO	G00059MO
G00061MO	G00061MO
G00065MO	G00065MO
G00066MO	G00066MO
G00068MO	G00068MO
G00069MO	G00069MO
G00070MO	G00070MO
G00071MO	G00071MO
G00076PK	G00076PK
G00091RT	G00091RT
G00234MX	G00234MX
G00294TN	G00294TN
G00298HY	G00298HY
G00330GX	G00330GX
G00348IY	G00348IY
G00362UY	G00362UY
G00395TQ	G00395TQ
G00432WW	G00432WW
G00454PR	G00454PR
G00458CW	G00458CW
G00496OX	G00496OX
G00506NQ	G00506NQ
G00590OY	G00590OY
G00619DD	G00619DD
G00659GQ	G00659GQ
G00669WU	G00669WU
G00672PE	G00672PE
G00721IC	G00721IC
G00883ZT	G00883ZT
G00891MP	G00891MP
G00900AZ	G00900AZ
G00924FH	G00924FH
G01002UX	G01002UX
G01040ZV	G01040ZV
G01111PL	G01111PL
G01125EE	G01125EE
G01265XZ	G01265XZ
G01269WV	G01269WV
G01347XI	G01347XI
G01457KB	G01457KB
G01534TU	G01534TU
G01571OF	G01571OF
G01614ZM	G01614ZM
G01633SK	G01633SK
G01701XV	G01701XV
G01706RV	G01706RV
G01714NT	G01714NT
G01716PR	G01716PR
G01758EA	G01758EA
G01759NM	G01759NM
G01767JJ	G01767JJ
G01854VF	G01854VF
G01935FK	G01935FK
G01999JH	G01999JH
G02080UT	G02080UT
G02273DT	G02273DT
G02278OY	G02278OY
G02407HJ	G02407HJ
G02609KH	G02609KH
G02657AK	G02657AK
G02657CQ	G02657CQ
G02684WR	G02684WR
G02747VH	G02747VH
G02776UX	G02776UX
G02890GO	G02890GO
G02964AX	G02964AX
G02998EX	G02998EX
G03044ED	G03044ED
G03067VG	G03067VG
G03071KV	G03071KV
G03091JW	G03091JW
G03093CG	G03093CG
G03144EF	G03144EF
G03177DI	G03177DI
G03198VN	G03198VN
G03213SR	G03213SR
G03277YI	G03277YI
G03346FO	G03346FO
G03499BP	G03499BP
G03506YN	G03506YN
G03520RT	G03520RT
G03562FD	G03562FD
G03593VH	G03593VH
G03595ET	G03595ET
G03600YM	G03600YM
G03618AD	G03618AD
G03692FN	G03692FN
G03744SM	G03744SM
G03758EG	G03758EG
G03829ED	G03829ED
G03852KN	G03852KN
G03855LZ	G03855LZ
G04020TN	G04020TN
G04118VH	G04118VH
G04196SD	G04196SD
G04216GB	G04216GB
G04267XF	G04267XF
G04353BC	G04353BC
G04387LP	G04387LP
G04414GO	G04414GO
G04433GV	G04433GV
G04477MN	G04477MN
G04497XO	G04497XO
G04506OA	G04506OA
G04527KW	G04527KW
G04536JV	G04536JV
G04576KS	G04576KS
G04624DG	G04624DG
G04658QB	G04658QB
G04690JX	G04690JX
G04706FE	G04706FE
G04734NA	G04734NA
G04801PW	G04801PW
G04816EV	G04816EV
G04818NV	G04818NV
G04847LU	G04847LU
G04897YL	G04897YL
G04921DS	G04921DS
G04949TM	G04949TM
G05026ZL	G05026ZL
G05095BA	G05095BA
G05252XR	G05252XR
G05285GQ	G05285GQ
G05336WP	G05336WP
G05356QG	G05356QG
G05384EB	G05384EB
G05395QK	G05395QK
G05504UI	G05504UI
G05543BI	G05543BI
G05564UH	G05564UH
G05596LB	G05596LB
G05644LC	G05644LC
G05901XB	G05901XB
G05908GN	G05908GN
G05970FR	G05970FR
G06043RU	G06043RU
G06171MB	G06171MB
G06239NA	G06239NA
G06368SM	G06368SM
G06445NF	G06445NF
G06615QC	G06615QC
G06661NM	G06661NM
G06718AD	G06718AD
G06755AP	G06755AP
G06873PC	G06873PC
G06898ZN	G06898ZN
G06953DR	G06953DR
G06979ME	G06979ME
G07045AZ	G07045AZ
G07194HK	G07194HK
G07218NO	G07218NO
G07265MJ	G07265MJ
G07278EM	G07278EM
G07360NF	G07360NF
G07392QY	G07392QY
G07447EL	G07447EL
G07483YN	G07483YN
G07505DF	G07505DF
G07617FP	G07617FP
G07670VS	G07670VS
G07675NG	G07675NG
G07696MJ	G07696MJ
G07786FJ	G07786FJ
G07786UX	G07786UX
G07787KV	G07787KV
G07800DZ	G07800DZ
G07835SR	G07835SR
G07907HC	G07907HC
G07978HT	G07978HT
G07982LO	G07982LO
G07995VK	G07995VK
G08002FG	G08002FG
G08076GV	G08076GV
G08214IK	G08214IK
G08244QK	G08244QK
G08380SA	G08380SA
G08467JA	G08467JA
G08479WZ	G08479WZ
G08485PW	G08485PW
G08520NM	G08520NM
G08648UJ	G08648UJ
G08863NS	G08863NS
G08872UM	G08872UM
G08882LF	G08882LF
G08892TX	G08892TX
G08961VV	G08961VV
G09106ES	G09106ES
G09127IA	G09127IA
G09236AJ	G09236AJ
G09245VW	G09245VW
G09263FO	G09263FO
G09276TA	G09276TA
G09326PI	G09326PI
G09446VC	G09446VC
G09482NW	G09482NW
G09494DM	G09494DM
G09507TI	G09507TI
G09511OW	G09511OW
G09552LA	G09552LA
G09557SC	G09557SC
G09575SG	G09575SG
G09672TL	G09672TL
G09724ZC	G09724ZC
G10016UC	G10016UC
G10112UU	G10112UU
G10158SF	G10158SF
G10219AA	G10219AA
G10236SI	G10236SI
G10292TC	G10292TC
G10325PN	G10325PN
G10377CG	G10377CG
G10488WF	G10488WF
G10497UB	G10497UB
G10536EY	G10536EY
G11012NG	G11012NG
G11013SD	G11013SD
G11034PZ	G11034PZ
G11041DA	G11041DA
G11042HO	G11042HO
G11065GA	G11065GA
G11102NL	G11102NL
G11173HB	G11173HB
G11177IB	G11177IB
G11269GG	G11269GG
G11286JG	G11286JG
G11353QQ	G11353QQ
G11365AH	G11365AH
G11460AB	G11460AB
G11482PS	G11482PS
G11535IB	G11535IB
G11541AS	G11541AS
G11546AX	G11546AX
G11589YK	G11589YK
G11613BV	G11613BV
G11679HJ	G11679HJ
G11687NW	G11687NW
G11882UK	G11882UK
G11932OH	G11932OH
G12107VP	G12107VP
G12122TT	G12122TT
G12132AZ	G12132AZ
G12201VG	G12201VG
G12295TB	G12295TB
G12393CD	G12393CD
G12396GB	G12396GB
G12426VA	G12426VA
G12593TX	G12593TX
G12614YL	G12614YL
G12637NN	G12637NN
G12788PX	G12788PX
G12878WE	G12878WE
G12885FH	G12885FH
G12893IS	G12893IS
G12902SM	G12902SM
G13047JW	G13047JW
G13113SB	G13113SB
G13181ZZ	G13181ZZ
G13393XR	G13393XR
G13524RK	G13524RK
G13577LP	G13577LP
G13985ZF	G13985ZF
G14047PA	G14047PA
G14052TA	G14052TA
G14139BU	G14139BU
G14188TW	G14188TW
G14190WK	G14190WK
G14375KO	G14375KO
G14383IU	G14383IU
G14632ZD	G14632ZD
G14651IZ	G14651IZ
G14787DY	G14787DY
G14843DJ	G14843DJ
G14844CX	G14844CX
G14853GY	G14853GY
G14876IZ	G14876IZ
G14882GG	G14882GG
G14900XK	G14900XK
G14920YO	G14920YO
G14969CU	G14969CU
G15003XX	G15003XX
G15103WJ	G15103WJ
G15235WP	G15235WP
G15257LR	G15257LR
G15268QU	G15268QU
G15403UF	G15403UF
G15407YE	G15407YE
G15541SE	G15541SE
G15611BA	G15611BA
G15626ED	G15626ED
G15717HW	G15717HW
G15783GA	G15783GA
G15807NZ	G15807NZ
G16119YF	G16119YF
G16258KS	G16258KS
G16274HY	G16274HY
G16404NW	G16404NW
G16404YH	G16404YH
G16438UK	G16438UK
G16476DW	G16476DW
G16552HD	G16552HD
G16579HJ	G16579HJ
G16588UI	G16588UI
G16636QX	G16636QX
G16637HE	G16637HE
G16744RC	G16744RC
G16759KR	G16759KR
G16777TF	G16777TF
G16794FO	G16794FO
G17024OR	G17024OR
G17133DO	G17133DO
G17329HU	G17329HU
G17425GC	G17425GC
G17452MS	G17452MS
G17473NR	G17473NR
G17475KI	G17475KI
G17480GI	G17480GI
G17526EP	G17526EP
G17594CH	G17594CH
G17601US	G17601US
G17658XE	G17658XE
G17689DH	G17689DH
G17744LA	G17744LA
G17800XL	G17800XL
G17863YV	G17863YV
G17882EL	G17882EL
G17931AG	G17931AG
G17940ZL	G17940ZL
