accession	replacewith
G04620DQ	-
G05897AW	-
G07120FK	-
G08682XY	-
G09228NL	-
G10694RB	-
G10842KO	-
G12422YW	-
G12615JR	-
G14218ZG	-
G15383ZE	-
G17362AH	-
G19658HD	-
G20656CW	-
G23211TW	-
G24172ZD	-
G24453JY	-
G25309LP	-
G27719EQ	G73602OZ
G28497SE	-
G29675VZ	-
G29870JG	-
G30770II	-
G33737SV	-
G33917WA	-
G33954QP	-
G34608VE	-
G35365SB	-
G35720GD	-
G35735OB	-
G36579ZX	-
G38426SE	-
G39674DD	-
G41649KB	-
G42118FT	G27620XW
G42217SL	-
G43099JW	-
G45924NL	-
G45994XM	-
G46336TC	-
G46945UL	-
G47178KU	-
G47504CN	-
G47911OL	-
G48302UE	-
G48787LE	-
G51341RH	-
G51635HP	G02938HM
G51967EO	-
G54162CJ	-
G54922KI	-
G55419VV	-
G56783VE	-
G56838SE	-
G58441QA	-
G60557MN	-
G62577MD	-
G62828TZ	-
G63164AC	-
G63247UK	-
G63389BN	-
G64225LV	-
G64685ZC	G73663PS
G66875SM	-
G67797SG	-
G67806KQ	-
G70097EJ	-
G71470LY	-
G74458LK	-
G75048LT	-
G75439ZY	-
G76084WO	-
G76320TN	-
G77539VE	-
G77907OV	-
G78169LI	-
G81060WW	-
G81957KU	-
G82907WG	-
G83284BH	-
G90063KT	G12273JT
G91127OX	-
G92195EH	G20191HY
G92708UM	-
G95567CI	-
G96701LV	-
G97192JF	-
G97470TL	-
G98889VY	-
G99125KQ	-
