accession	monosaccharide
G00002CF	Gal
G00002CF	Glc
G00002CF	Hex
G00002CF	NeuGc
G00002CF	Sia
G00009BX	Fuc
G00009BX	Gal
G00009BX	GlcNAc
G00009BX	Hex
G00009BX	HexNAc
G00009BX	dHex
G00012MO	Gal
G00012MO	GalNAc
G00012MO	Glc
G00012MO	Hex
G00012MO	HexNAc
G00012RZ	Fuc
G00012RZ	Gal
G00012RZ	GlcNAc
G00012RZ	Hex
G00012RZ	HexNAc
G00012RZ	Man
G00012RZ	NeuAc
G00012RZ	Sia
G00012RZ	dHex
G00013MO	Gal
G00013MO	Glc
G00013MO	Hex
G00014MO	GalNAc
G00014MO	Glc
G00014MO	GlcNAc
G00014MO	Hex
G00014MO	HexNAc
G00014MO	Man
G00015MO	Glc
G00015MO	GlcNAc
G00015MO	Hex
G00015MO	HexNAc
G00015MO	Man
G00016MO	Gal
G00016MO	Hex
G00017MO	GlcA
G00017MO	GlcNAc
G00017MO	HexA
G00017MO	HexNAc
G00018MO	GalNAc
G00018MO	GlcA
G00018MO	HexA
G00018MO	HexNAc
G00018MO	S
G00019MO	GalNAc
G00019MO	HexA
G00019MO	HexNAc
G00019MO	IdoA
G00019MO	S
G00020MO	Gal
G00020MO	GlcNAc
G00020MO	Hex
G00020MO	HexNAc
G00020MO	S
G00021MO	HexA
G00021MO	IdoA
G00021MO	Xxx
G00022MO	GlcN
G00022MO	HexN
G00022MO	Xxx
G00023MO	GlcNAc
G00023MO	HexNAc
G00023MO	Xxx
G00024MO	Glc
G00024MO	Hex
G00025AJ	Fuc
G00025AJ	Gal
G00025AJ	Glc
G00025AJ	Glc+aldi
G00025AJ	Hex
G00025AJ	Hex+aldi
G00025AJ	aldi
G00025AJ	dHex
G00025MO	Glc
G00025MO	Hex
G00025YC	Fuc
G00025YC	Gal
G00025YC	GlcNAc
G00025YC	Hex
G00025YC	HexNAc
G00025YC	Man
G00025YC	dHex
G00026MO	GlcNAc
G00026MO	Hex
G00026MO	HexNAc
G00026MO	Man
G00027JG	Fuc
G00027JG	Gal
G00027JG	GalNAc
G00027JG	GlcNAc
G00027JG	Hex
G00027JG	HexNAc
G00027JG	dHex
G00027MO	GlcNAc
G00027MO	Hex
G00027MO	HexNAc
G00027MO	Man
G00028MO	GlcNAc
G00028MO	Hex
G00028MO	HexNAc
G00028MO	Man
G00029MO	GlcNAc
G00029MO	Hex
G00029MO	HexNAc
G00029MO	Man
G00030HB	Fuc
G00030HB	Gal
G00030HB	GlcNAc
G00030HB	Hex
G00030HB	HexNAc
G00030HB	Man
G00030HB	NeuAc
G00030HB	Sia
G00030HB	dHex
G00030MO	GlcNAc
G00030MO	Hex
G00030MO	HexNAc
G00030MO	Man
G00031MO	Gal
G00031MO	GalNAc
G00031MO	Hex
G00031MO	HexNAc
G00032MO	Gal
G00032MO	GalNAc
G00032MO	Hex
G00032MO	HexNAc
G00033MO	Gal
G00033MO	GalNAc
G00033MO	GlcNAc
G00033MO	Hex
G00033MO	HexNAc
G00034MO	Gal
G00034MO	GalNAc
G00034MO	GlcNAc
G00034MO	Hex
G00034MO	HexNAc
G00034WH	Glc
G00034WH	Hex
G00035MO	GalNAc
G00035MO	GlcNAc
G00035MO	HexNAc
G00036MO	GalNAc
G00036MO	GlcNAc
G00036MO	HexNAc
G00037MO	GalNAc
G00037MO	GlcNAc
G00037MO	HexNAc
G00038MO	GalNAc
G00038MO	GlcNAc
G00038MO	HexNAc
G00039MO	GalNAc
G00039MO	HexNAc
G00040MO	GalNAc
G00040MO	HexNAc
G00041IL	Gal
G00041IL	GalNAc
G00041IL	GlcNAc
G00041IL	Hex
G00041IL	HexNAc
G00041IL	NeuAc
G00041IL	Sia
G00041MO	GalNAc
G00041MO	GlcNAc
G00041MO	HexNAc
G00042MO	GalNAc
G00042MO	GlcNAc
G00042MO	HexNAc
G00043MO	GalNAc
G00043MO	HexNAc
G00044MO	GalNAc
G00044MO	HexNAc
G00045MO	GlcN
G00045MO	Hex
G00045MO	HexN
G00045MO	Man
G00046MO	Gal
G00046MO	Hex
G00047MO	Fuc
G00047MO	Gal
G00047MO	GlcNAc
G00047MO	Hex
G00047MO	HexNAc
G00047MO	dHex
G00048MO	Fuc
G00048MO	Gal
G00048MO	GlcNAc
G00048MO	Hex
G00048MO	HexNAc
G00048MO	dHex
G00049MO	Gal
G00049MO	Glc
G00049MO	GlcNAc
G00049MO	Hex
G00049MO	HexNAc
G00050MO	Fuc
G00050MO	Gal
G00050MO	Glc
G00050MO	GlcNAc
G00050MO	Hex
G00050MO	HexNAc
G00050MO	dHex
G00051MO	Fuc
G00051MO	Gal
G00051MO	GlcNAc
G00051MO	Hex
G00051MO	HexNAc
G00051MO	dHex
G00052MO	Fuc
G00052MO	Gal
G00052MO	GlcNAc
G00052MO	Hex
