GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G00002CF	1512	aadee83c	cfg	extended
G00009BX	1544	f8342f36	cfg	extended
G00012MO	1445	8d848e96	cfg	extended
G00012RZ	6045	9bc0fd70	cfg	extended
G00013MO	1416	df53899e	cfg	extended
G00014MO	1471	5b2cfe29	cfg	extended
G00015MO	1493	cf298f02	cfg	extended
G00016MO	1052	40bc0792	cfg	extended
G00017MO	920	e7adb14f	cfg	extended
G00018MO	1036	4ce90cc1	cfg	extended
G00019MO	1047	c469a7f2	cfg	extended
G00020MO	1329	878ecebb	cfg	extended
G00021MO	1222	87761211	cfg	extended
G00022MO	1799	b8f453a7	cfg	extended
G00023MO	750	c42ef6e6	cfg	extended
G00024MO	1038	cc0e5eb0	cfg	extended
G00025AJ	1543	73b5fc86	cfg	extended
G00025MO	1099	8b425010	cfg	extended
G00025YC	4430	5d0b917d	cfg	extended
G00026MO	1750	0534b532	cfg	extended
G00027JG	2376	f1cbe38f	cfg	extended
G00027MO	1674	d2ce131d	cfg	extended
G00028MO	2096	85f3f863	cfg	extended
G00029MO	2087	d2b7012a	cfg	extended
G00030MO	2067	526abf67	cfg	extended
G00031MO	1017	973520d3	cfg	extended
G00032MO	1020	ffdd92f8	cfg	extended
G00033MO	1324	b90dea40	cfg	extended
G00034MO	1333	c50d4ed0	cfg	extended
G00034WH	1229	2c0c26a5	cfg	extended
G00035MO	588	1edf4562	cfg	extended
G00036MO	595	648b87f1	cfg	extended
G00037MO	897	66979358	cfg	extended
G00038MO	905	181f2dc1	cfg	extended
G00039MO	568	327449ba	cfg	extended
G00040MO	582	12fb6bb8	cfg	extended
G00041IL	1576	ed31e3bb	cfg	extended
G00041MO	593	e169b7f7	cfg	extended
G00042MO	603	8c285c60	cfg	extended
G00043MO	577	d0f8d5f4	cfg	extended
G00044MO	591	f10798ee	cfg	extended
G00045MO	1338	31767f7e	cfg	extended
G00046MO	1052	4ec5d86a	cfg	extended
G00047MO	1351	6fc179c5	cfg	extended
G00048MO	1664	d08d53fa	cfg	extended
G00049MO	1466	92c04039	cfg	extended
G00050MO	1815	9a774648	cfg	extended
G00051MO	1366	0e342640	cfg	extended
G00052MO	1499	700d7f61	cfg	extended
G00053MO	1585	cd232b63	cfg	extended
G00054MO	1607	226fbdfc	cfg	extended
G00055MO	1033	240798b2	cfg	extended
G00056HH	4460	0ce10f03	cfg	extended
G00056MO	1028	7cde837b	cfg	extended
G00057LF	2118	e093b90f	cfg	extended
G00057MO	596	434dcc92	cfg	extended
G00058MO	1175	c1dc1bdc	cfg	extended
G00058XR	1098	8aa9d69b	cfg	extended
G00059MO	1330	d2b9a34f	cfg	extended
G00060BT	1853	daf1378d	cfg	extended
G00060MO	1571	8984975e	cfg	extended
G00061MO	1435	f9b5853c	cfg	extended
G00062MO	1756	26863f28	cfg	extended
G00063MO	1949	6afa95fe	cfg	extended
G00064MO	1536	cae0418b	cfg	extended
G00065MO	1269	9874157f	cfg	extended
G00066MO	1339	5a67506e	cfg	extended
G00066WY	1484	76310284	cfg	extended
G00067MO	1389	b00d7e51	cfg	extended
G00068MO	1198	225a4879	cfg	extended
G00069MO	1478	3b3d21a4	cfg	extended
G00070MO	1471	edb604db	cfg	extended
G00071MO	1482	090804b4	cfg	extended
G00072MO	1413	8bd61e1e	cfg	extended
G00076PK	1148	b47ac62c	cfg	extended
G00082CQ	1651	591315f2	cfg	extended
G00089VH	3127	5d781388	cfg	extended
G00090SL	1031	eb1eb494	cfg	extended
G00091RT	1715	adb0b86d	cfg	extended
G00094SE	2065	53b3b943	cfg	extended
G00105XF	4028	18db83d7	cfg	extended
G00106LE	1599	ed529d92	cfg	extended
G00112IO	1920	c34e33b4	cfg	extended
G00116QX	1487	0e5f5bbb	cfg	extended
G00120QS	1285	598e47c6	cfg	extended
G00123JF	884	1c08ed75	cfg	extended
G00133UK	1551	550a258b	cfg	extended
G00140XB	1312	f62ef48d	cfg	extended
G00140YZ	2221	e0ce64db	cfg	extended
G00141ZD	1704	2e4bb082	cfg	extended
G00152LK	1241	eea40a72	cfg	extended
G00153LJ	1060	c45e7e31	cfg	extended
G00155YT	5548	0cad125f	cfg	extended
G00157WT	4041	ea9e7644	cfg	extended
G00167VE	4222	bb0f6790	cfg	extended
G00171RJ	5935	b920d6e9	cfg	extended
G00175GT	1533	2b5158c1	cfg	extended
G00176HZ	3622	0d55947a	cfg	extended
G00185NL	2191	a76276f5	cfg	extended
G00186OS	3867	87368df0	cfg	extended
G00194GV	1022	a4a295fb	cfg	extended
G00194ZL	1225	1cb9c8b5	cfg	extended
G00199JR	1823	d7f3796c	cfg	extended
G00204EX	1966	69903b9a	cfg	extended
G00207YQ	3642	a1aa3c27	cfg	extended
G00211WY	4123	7ee21581	cfg	extended
G00212ZT	2946	b0a765f5	cfg	extended
G00219DO	2779	d7c2fe92	cfg	extended
G00219VH	580	7f4069f7	cfg	extended
G00221CZ	4725	6e2c6472	cfg	extended
G00227RN	5284	496447de	cfg	extended
G00229TF	1830	f8ffe12b	cfg	extended
G00229VQ	1543	0f3f6830	cfg	extended
G00230CO	3763	3bafe2aa	cfg	extended
G00230IL	2683	06173258	cfg	extended
G00231IQ	4324	14caa790	cfg	extended
G00231WL	7330	63f8a171	cfg	extended
G00232ED	1609	26cc4f4b	cfg	extended
G00247JV	4072	2d4e0dc6	cfg	extended
G00247PL	3624	887dc0a6	cfg	extended
G00249IY	4420	3ac2ff22	cfg	extended
G00249XR	2571	ec022d8d	cfg	extended
G00257UQ	3029	1e55a84f	cfg	extended
G00258QK	2416	97b5d2cf	cfg	extended
G00272VU	2500	0ef4df8b	cfg	extended
G00277SO	2468	614256bf	cfg	extended
G00279YF	3297	9177b742	cfg	extended
G00281HB	3381	09236a04	cfg	extended
G00283TT	1103	76a5d45d	cfg	extended
G00284SJ	2350	14683b7e	cfg	extended
G00287UD	1897	15107323	cfg	extended
G00288QM	1888	a3f910d9	cfg	extended
G00293HN	853	d63087ed	cfg	extended
G00294BL	1437	8729ca81	cfg	extended
G00294TN	1482	89ab955b	cfg	extended
G00298HY	1350	fdac8b7c	cfg	extended
G00304VG	1074	93c4fe2d	cfg	extended
G00306VT	1381	11901e2c	cfg	extended
G00311MF	1112	d51db5fc	cfg	extended
G00313OR	983	a77781b7	cfg	extended
G00318AV	4039	9079c02f	cfg	extended
G00320ZP	4611	0976b97b	cfg	extended
G00325UK	5879	7cd0fc60	cfg	extended
G00328CG	4213	c02757c0	cfg	extended
G00328HB	2096	85f3f863	cfg	extended
G00331XG	4530	74cc4e2f	cfg	extended
G00335DM	2035	ebc1c949	cfg	extended
G00335JE	2590	40a6e157	cfg	extended
G00336XG	2517	0047ff1c	cfg	extended
G00349CA	3708	5e344b54	cfg	extended
G00361YF	3238	98fd2bd2	cfg	extended
G00362UY	792	4bc12630	cfg	extended
G00370EI	1762	179ad623	cfg	extended
G00371DJ	1430	ddd4e3eb	cfg	extended
G00376RB	2898	864bd0a1	cfg	extended
G00379PJ	1662	b80dc436	cfg	extended
G00381YD	2317	720944c2	cfg	extended
G00383KP	2529	265eb385	cfg	extended
