GlyTouCanAccession	Image-Size	Image-CRC	Image-Notation	Image-Style
G00002CF	1408	7112a54f	cfg	compact
G00009BX	1308	14ac0fe0	cfg	compact
G00012MO	1246	66d513b7	cfg	compact
G00012RZ	4456	4cf2dbb1	cfg	compact
G00013MO	1214	281f2499	cfg	compact
G00016MO	926	e4680626	cfg	compact
G00017MO	755	45c5a6d3	cfg	compact
G00018MO	845	811cbd93	cfg	compact
G00020MO	1140	dc3a84cb	cfg	compact
G00024MO	913	b75977c5	cfg	compact
G00025AJ	1296	6b0a7d46	cfg	compact
G00025MO	976	a3caf1f1	cfg	compact
G00025YC	3104	22674c41	cfg	compact
G00026MO	1483	c4b4b84c	cfg	compact
G00027JG	1695	b80942b2	cfg	compact
G00027MO	1452	d19bbee9	cfg	compact
G00028MO	1675	d5ccd8e8	cfg	compact
G00029MO	1570	7fc4205f	cfg	compact
G00030MO	1543	4d42bad9	cfg	compact
G00031MO	909	660ca632	cfg	compact
G00032MO	909	660ca632	cfg	compact
G00033MO	1146	c744f442	cfg	compact
G00034MO	1146	c744f442	cfg	compact
G00034WH	1009	4687e78c	cfg	compact
G00035MO	470	856f5639	cfg	compact
G00036MO	470	856f5639	cfg	compact
G00037MO	733	c05cb4c7	cfg	compact
G00038MO	733	c05cb4c7	cfg	compact
G00039MO	469	bb6192b0	cfg	compact
G00040MO	469	bb6192b0	cfg	compact
G00041IL	1397	e7b51a45	cfg	compact
G00041MO	470	856f5639	cfg	compact
G00042MO	470	856f5639	cfg	compact
G00043MO	469	bb6192b0	cfg	compact
G00044MO	469	bb6192b0	cfg	compact
G00046MO	926	e4680626	cfg	compact
G00047MO	1176	ebba78ec	cfg	compact
G00048MO	1403	7bb4ca8c	cfg	compact
G00049MO	1315	59cf365e	cfg	compact
G00050MO	1577	8a6b2ef1	cfg	compact
G00051MO	1136	fccbde28	cfg	compact
G00052MO	1224	19f7d4b4	cfg	compact
G00053MO	1364	67be8026	cfg	compact
G00054MO	1374	d3f9d31e	cfg	compact
G00055MO	914	849f84f0	cfg	compact
G00056HH	3210	35648c2d	cfg	compact
G00056MO	914	849f84f0	cfg	compact
G00057LF	1783	7dfc0c80	cfg	compact
G00057MO	468	180a9221	cfg	compact
G00058MO	1046	19ddab20	cfg	compact
G00058XR	931	13a892bf	cfg	compact
G00059MO	1180	1b4ca86e	cfg	compact
G00060BT	1511	713a2e83	cfg	compact
G00060MO	1334	1b0867f7	cfg	compact
G00061MO	1246	66d513b7	cfg	compact
G00062MO	1528	c13b1665	cfg	compact
G00063MO	1621	db5c5acd	cfg	compact
G00064MO	1277	03288f57	cfg	compact
G00065MO	1117	3ad93f7c	cfg	compact
G00066MO	1123	6de73c2c	cfg	compact
G00066WY	1313	94e9039e	cfg	compact
G00067MO	1152	1ae4c5af	cfg	compact
G00068MO	1057	eb58b5aa	cfg	compact
G00069MO	1315	59cf365e	cfg	compact
G00070MO	1315	59cf365e	cfg	compact
G00071MO	1317	a83a41ff	cfg	compact
G00072MO	1246	66d513b7	cfg	compact
G00076PK	993	b8f160fa	cfg	compact
G00089VH	2520	516408ac	cfg	compact
G00091RT	1438	04338ce0	cfg	compact
G00094SE	1619	ca4dd919	cfg	compact
G00105XF	2804	a327548c	cfg	compact
G00106LE	1391	1f15057c	cfg	compact
G00112IO	1480	7c55e9bd	cfg	compact
G00116QX	1202	4860e2ff	cfg	compact
G00120QS	1046	ae834c42	cfg	compact
G00140XB	1176	96ea9d8f	cfg	compact
G00140YZ	1751	0bddaeda	cfg	compact
G00141ZD	1528	eddb9542	cfg	compact
G00152LK	1009	4687e78c	cfg	compact
G00153LJ	930	c8f83d0a	cfg	compact
G00155YT	3997	4b8cc37d	cfg	compact
G00157WT	3078	dc596973	cfg	compact
G00167VE	2921	e8a0a618	cfg	compact
G00175GT	1315	dadcfb1a	cfg	compact
G00176HZ	2220	d9580a45	cfg	compact
G00185NL	1807	63543e8e	cfg	compact
G00186OS	2555	6d2c9140	cfg	compact
G00194GV	824	d69131c2	cfg	compact
G00194ZL	1078	e98c6ebb	cfg	compact
G00199JR	1511	713a2e83	cfg	compact
G00204EX	1752	db89839d	cfg	compact
G00207YQ	3010	34c92843	cfg	compact
G00211WY	2789	749b8723	cfg	compact
G00212ZT	2171	f8607ee8	cfg	compact
G00219DO	2174	bdaeaae9	cfg	compact
G00219VH	470	856f5639	cfg	compact
G00221CZ	3843	2fd329b3	cfg	compact
G00227RN	3729	f913a33c	cfg	compact
G00229TF	1518	a22226c5	cfg	compact
G00229VQ	1341	198c10b9	cfg	compact
G00230CO	2155	357f8ac9	cfg	compact
G00230IL	1830	29f9404b	cfg	compact
G00231WL	5234	792290ed	cfg	compact
G00232ED	1288	37f9ea33	cfg	compact
G00247JV	2546	8b29b90e	cfg	compact
G00247PL	2810	e53d832c	cfg	compact
G00249IY	3125	676a8bf4	cfg	compact
G00257UQ	2351	f1e18ed4	cfg	compact
G00272VU	1973	da2787f4	cfg	compact
G00277SO	1723	18e79693	cfg	compact
G00279YF	2078	739cc235	cfg	compact
G00281HB	2541	221e0c86	cfg	compact
G00283TT	916	b6f1b346	cfg	compact
G00284SJ	1925	89c89e72	cfg	compact
G00287UD	1481	718be6f7	cfg	compact
G00288QM	1671	16fd71bb	cfg	compact
G00294BL	1202	d2fdb78d	cfg	compact
G00294TN	1261	afbe8f0d	cfg	compact
G00298HY	1159	ea69a46a	cfg	compact
G00306VT	1162	d5640a90	cfg	compact
G00311MF	1020	65d6f1d4	cfg	compact
G00313OR	851	b59738f2	cfg	compact
G00318AV	2815	4cc665a3	cfg	compact
G00320ZP	3196	97840108	cfg	compact
G00328CG	2931	dd9d2513	cfg	compact
G00328HB	1675	d5ccd8e8	cfg	compact
G00331XG	3278	9f5f2ede	cfg	compact
G00335DM	1633	99189e0c	cfg	compact
G00335JE	1970	c17be34c	cfg	compact
G00336XG	1865	d72708cf	cfg	compact
G00361YF	1878	49a1e790	cfg	compact
G00362UY	691	d02d01df	cfg	compact
G00370EI	1543	27d0f19e	cfg	compact
G00371DJ	1164	4ad7de45	cfg	compact
G00376RB	2268	6c2b9d10	cfg	compact
G00379PJ	1471	210c7cb1	cfg	compact
G00381YD	1992	ad5aa4f5	cfg	compact
G00383YF	3119	a76b98a0	cfg	compact
G00390GQ	1168	04a5188d	cfg	compact
G00395FS	913	b75977c5	cfg	compact
G00395TQ	1293	ba26e9cf	cfg	compact
G00396DP	1797	a7d5dab3	cfg	compact
G00396IE	2461	58d9e0b3	cfg	compact
G00399LG	468	180a9221	cfg	compact
G00401IE	930	c8f83d0a	cfg	compact
G00407UJ	1317	a83a41ff	cfg	compact
G00412SV	2256	90e12335	cfg	compact
G00413UF	3399	7424b130	cfg	compact
G00428HK	2109	b2a71139	cfg	compact
G00430ZK	2369	a315d72a	cfg	compact
G00432WV	3717	85bd16ee	cfg	compact
G00433KW	1958	09e3485f	cfg	compact
G00435KX	1258	60d8e5d5	cfg	compact
G00449DS	1610	4d4d3cde	cfg	compact
G00450EO	3147	4c1617b5	cfg	compact
G00451UT	5515	a12c7f08	cfg	compact
G00454PR	1129	bc817149	cfg	compact
G00457KD	1176	ebba78ec	cfg	compact
G00459BD	1855	57b0b426	cfg	compact
G00459HM	1511	ac6cac8b	cfg	compact
G00461RR	1862	3ef32a63	cfg	compact
G00461ZN	913	b75977c5	cfg	compact
G00463XD	2260	bc4525e4	cfg	compact
G00467QU	1594	49c2b624	cfg	compact
G00468KU	1650	4cae9fbd	cfg	compact
G00468NI	1540	af7ea959	cfg	compact
G00469BS	1415	c594ca16	cfg	compact
G00470UO	2949	9aac49b8	cfg	compact
G00480KJ	2664	ab8931e0	cfg	compact
G00482HJ	1404	d9dfc3c1	cfg	compact
G00483IX	1214	281f2499	cfg	compact
G00487XO	2690	36e3bd29	cfg	compact
G00488OU	3541	3956bfeb	cfg	compact
G00492CQ	1759	4be53667	cfg	compact
G00503EE	3565	5fc2d21e	cfg	compact
G00504PK	3475	e90ec288	cfg	compact
G00504PZ	2592	62f547e1	cfg	compact
G00510MX	1492	a8926869	cfg	compact
G00511LE	2096	90c1812d	cfg	compact
G00514XC	4991	8d8230c5	cfg	compact
G00520NI	2178	1e620dd9	cfg	compact
G00523PT	1169	4f5f4701	cfg	compact
G00523YW	4541	53845702	cfg	compact
G00527ZE	1296	8db3beed	cfg	compact
G00531ZU	3293	097930bb	cfg	compact
G00536FZ	3565	5fc2d21e	cfg	compact
G00542QA	1821	aaf07096	cfg	compact
G00544JF	2238	0991e9db	cfg	compact
G00545NQ	2869	3c473ffc	cfg	compact
G00547ZN	1071	9f24ce08	cfg	compact
G00551JZ	3210	35648c2d	cfg	compact
G00553AN	3277	78f53ed9	cfg	compact
