GlyTouCanAccession	Image-Size	Image-Notation	Image-Style	Image-Format
G00002CF	1590	snfg	extended	png
G00002CF	7633	snfg	extended	svg
G00009BX	1819	snfg	extended	png
G00009BX	9222	snfg	extended	svg
G00012MO	1614	snfg	extended	png
G00012MO	7650	snfg	extended	svg
G00012RZ	6266	snfg	extended	png
G00012RZ	26256	snfg	extended	svg
G00013MO	1475	snfg	extended	png
G00013MO	7715	snfg	extended	svg
G00014MO	1651	snfg	extended	png
G00014MO	7590	snfg	extended	svg
G00015MO	1629	snfg	extended	png
G00015MO	7647	snfg	extended	svg
G00016MO	1107	snfg	extended	png
G00016MO	4305	snfg	extended	svg
G00017IP	2624	snfg	extended	png
G00017IP	13007	snfg	extended	svg
G00017MO	1200	snfg	extended	png
G00017MO	7507	snfg	extended	svg
G00018MO	1385	snfg	extended	png
G00018MO	8358	snfg	extended	svg
G00019MO	1360	snfg	extended	png
G00019MO	8715	snfg	extended	svg
G00020MO	1512	snfg	extended	png
G00020MO	8442	snfg	extended	svg
G00021MO	1628	snfg	extended	png
G00021MO	9986	snfg	extended	svg
G00022MO	1698	snfg	extended	png
G00022MO	7798	snfg	extended	svg
G00023MO	1546	snfg	extended	png
G00023MO	8340	snfg	extended	svg
G00024MO	1113	snfg	extended	png
G00024MO	6013	snfg	extended	svg
G00025AJ	1588	snfg	extended	png
G00025AJ	5581	snfg	extended	svg
G00025HU	4059	snfg	extended	png
G00025HU	19370	snfg	extended	svg
G00025MO	1242	snfg	extended	png
G00025MO	7715	snfg	extended	svg
G00025YC	4594	snfg	extended	png
G00025YC	19533	snfg	extended	svg
G00026MO	2044	snfg	extended	png
G00026MO	9265	snfg	extended	svg
G00027JG	2807	snfg	extended	png
G00027JG	10857	snfg	extended	svg
G00027MO	1866	snfg	extended	png
G00027MO	7631	snfg	extended	svg
G00028MO	2573	snfg	extended	png
G00028MO	12700	snfg	extended	svg
G00029MO	2473	snfg	extended	png
G00029MO	12624	snfg	extended	svg
G00030HB	5347	snfg	extended	png
G00030HB	26196	snfg	extended	svg
G00030MO	2473	snfg	extended	png
G00030MO	12561	snfg	extended	svg
G00030SF	1250	snfg	extended	png
G00030SF	6363	snfg	extended	svg
G00031MO	1103	snfg	extended	png
G00031MO	4248	snfg	extended	svg
G00032MO	1102	snfg	extended	png
G00032MO	4248	snfg	extended	svg
G00033MO	1571	snfg	extended	png
G00033MO	5872	snfg	extended	svg
G00034MO	1576	snfg	extended	png
G00034MO	5872	snfg	extended	svg
G00034WH	1385	snfg	extended	png
G00034WH	11116	snfg	extended	svg
G00034WX	2364	snfg	extended	png
G00034WX	7460	snfg	extended	svg
G00035MO	828	snfg	extended	png
G00035MO	4183	snfg	extended	svg
G00036MO	817	snfg	extended	png
G00036MO	4183	snfg	extended	svg
G00037MO	1236	snfg	extended	png
G00037MO	5810	snfg	extended	svg
G00038JC	1989	snfg	extended	png
G00038JC	7572	snfg	extended	svg
G00038MO	1239	snfg	extended	png
G00038MO	5810	snfg	extended	svg
G00039MO	781	snfg	extended	png
G00039MO	4182	snfg	extended	svg
G00040MO	813	snfg	extended	png
G00040MO	4182	snfg	extended	svg
G00041IL	1820	snfg	extended	png
G00041IL	7546	snfg	extended	svg
G00041MO	846	snfg	extended	png
G00041MO	4183	snfg	extended	svg
G00042MO	838	snfg	extended	png
G00042MO	4183	snfg	extended	svg
G00043MO	805	snfg	extended	png
G00043MO	4182	snfg	extended	svg
G00044MO	830	snfg	extended	png
G00044MO	4182	snfg	extended	svg
G00045MO	1427	snfg	extended	png
G00045MO	7634	snfg	extended	svg
G00046MO	1108	snfg	extended	png
G00046MO	4306	snfg	extended	svg
G00047MO	1573	snfg	extended	png
G00047MO	5885	snfg	extended	svg
G00048MO	2058	snfg	extended	png
G00048MO	7523	snfg	extended	svg
