GlyTouCanAccession	KEGGAccession
G00031MO	G00024
G00031MO	G12692
G00033MO	G00025
G00035MO	G00028
G00037MO	G00029
G00039MO	G00030
G00047MO	G00250
G00049MO	G00037
G00050MO	G00044
G00055MO	G10629
G00059MO	G00093
G00061MO	G00094
G00065MO	G10634
G00066MO	G10638
G00068MO	G10869
G00176HZ	G10832
G00272VU	G05052
G00279YF	G04991
G00320ZP	G07400
G00370EI	G04905
G00395TQ	G10653
G00413UF	G04883
G00430ZK	G04240
G00432WV	G00695
G00469BS	G12185
G00492CQ	G05887
G00503EE	G02729
G00582VL	G04498
G00606LX	G07128
G00619DD	G11302
G00619DD	G11303
G00662IB	G02784
G00797ZX	G04950
G00830CM	G11948
G00851XQ	G00084
G00883DO	G04641
G00901NZ	G02987
G00972DY	G02243
G00979XR	G00212
G00982QD	G05265
G00995HW	G03969
G00998NI	G00260
G01169EW	G04760
G01187XC	G00243
G01200BW	G05373
G01260RY	G04267
G01296LJ	G01147
G01299ER	G06210
G01310VF	G06335
G01361CV	G00331
G01361CV	G11698
G01406RR	G03883
G01414CL	G04716
G01450RG	G00739
G01489UZ	G12025
G01595SM	G12335
G01613KN	G02657
G01614ZM	G00027
G01670UQ	G00393
G01713HS	G00795
G01760ZU	G10870
G01767JJ	G00062
G01856RL	G10788
G02029PW	G10662
G02122FK	G03676
G02152MS	G03766
G02182MJ	G01087
G02251YG	G03982
G02310VX	G12022
G02470WS	G11893
G02562EQ	G04841
G02594WS	G01186
G02657AK	G00114
G02760XH	G05330
G02799CL	G05116
G02837JA	G04068
G03004PD	G04070
G03067VG	G00088
G03075ZE	G10848
G03106MF	G00675
G03164NE	G04589
G03177HU	G11763
G03207XQ	G03869
G03247RO	G07886
G03250GT	G03018
G03277UZ	G01143
G03277YI	G00125
G03361KC	G00332
G03414KZ	G01874
G03506YN	G01833
G03564IA	G00082
G03603IS	G05823
G03605AV	G04191
G03652TR	G00315
G03652TR	G12061
G03681UF	G04037
G03727RK	G04421
G03740OH	G04368
G03750RD	G11343
G03764XL	G04153
G03820FM	G10150
G03834RX	G04680
G03951MJ	G06789
G04014FP	G05030
G04014FP	G05442
G04048YA	G05727
G04099VY	G02834
G04216GB	G11015
G04220HB	G00576
G04368OY	G04949
G04423CA	G04432
G04445KN	G01346
G04462ZS	G00196
G04576KS	G11406
G04610NG	G01969
G04616ST	G00284
G04616ST	G11050
G04622LK	G04339
G04662JQ	G05061
G04751OE	G04394
G04791QM	G11407
G04817LD	G02781
G04820ZT	G02214
G05102JZ	G05516
G05108UT	G00410
G05108UT	G11711
G05108UT	G12702
G05128BK	G05243
G05128BK	G11535
G05187WH	G11966
G05188BU	G04031
G05212BT	G01187
G05319BS	G04227
G05384WR	G10472
G05402FG	G01963
G05478GN	G04328
G05561CF	G01154
G05724WC	G06302
G05811XG	G03304
G05890XZ	G03054
G05948HK	G02802
G05979QC	G02689
G05979RR	G02698
G06067KZ	G02830
G06209KS	G10740
G06210XB	G00313
G06215DG	G04273
G06239NA	G00036
G06290ZS	G04764
G06371NP	G05898
G06523WI	G04801
G06595MR	G01026
G06673TD	G02210
G06920GM	G00779
G07061BV	G02840
G07075ZE	G00081
G07136WT	G04482
G07169PS	G01689
G07209HW	G05862
G07292LK	G02671
G07293JT	G01049
G07301IS	G05272
G07328EF	G00354
G07368IA	G04121
G07380TS	G04734
G07392QY	G11102
G07483YN	G10770
G07490EK	G00521
G07666IB	G05212
G07699XI	G11071
G07703ST	G11862
G07842DQ	G03721
G07982RO	G10336
G07995VK	G00205
G08060JF	G04797
G08111FJ	G03904
G08161JQ	G04759
G08185DV	G11967
G08191RW	G03761
G08304AG	G01348
G08348BC	G05945
G08358DN	G03013
G08371CD	G00455
G08371CD	G10625
G08373SM	G01032
G08429SS	G10988
G08450OR	G03933
G08463CD	G05546
G08520NM	G00013
G08675PK	G11905
G08731KN	G00703
G08776GA	G04406
G09020HN	G03720
G09115OQ	G03715
G09125WG	G04255
G09130LO	G04857
G09319JK	G00591
G09322OS	G01321
G09349XQ	G03743
G09376MR	G00255
G09393NL	G02669
G09416DG	G10809
G09420NN	G02785
G09482NW	G10826
G09546QO	G10488
G09546QO	G12553
G09552LA	G00045
G09568JT	G00302
G09578TK	G02192
G09666WO	G04884
G09676KV	G02994
G09724ZC	G00231
G10106TL	G00735
G10108GZ	G06337
G10112QT	G12227
G10189EJ	G06352
G10203DW	G00253
G10219AA	G10818
G10228OD	G10977
G10292TC	G05087
G10417XF	G04591
G10425SO	G05128
G10461TS	G04573
G10470SE	G01796
G10503MP	G00390
G10529ZR	G04452
G10581YA	G07108
G10604KJ	G07279
G10627KR	G12009
G10666VQ	G04265
G10689ZT	G04622
G10712FZ	G04349
G10725II	G03896
G10756ZZ	G10804
G10816YX	G03172
G10818SM	G05543
G10845BX	G03717
G10925II	G04310
G11041DA	G10706
G11213NA	G04519
G11260XI	G05559
G11350UX	G03711
G11356UZ	G04390
G11457RF	G00222
G11460AB	G10920
G11479AN	G05695
G11482NO	G01912
G11509RN	G10850
G11535IB	G10993
G11637WL	G11069
G11658OG	G00842
G11696PX	G03661
G11700UP	G00615
G11837XH	G00345
G11876US	G08002
G11960UF	G00704
G12033AP	G12284
G12086GM	G05534
G12352RJ	G04587
G12378KS	G05462
G12398HZ	G10772
G12438YM	G05345
G12460DL	G00428
G12679LF	G04005
G12715AH	G04815
G12761QA	G01459
G13049QY	G05436
G13131FE	G08612
