GlyTouCanAccession	NativeFormula	PermethylatedFormula
G00002CF	C34H54N2O28	C52H90N2O28
G00008BG	C42H70O34	C62H110O34
G00008SX	C87H142N6O63	C125H218N6O63
G00009BX	C34H56N2O24	C48H84N2O24
G00012MO	C26H43NO20	C38H67NO20
G00012RZ	C105H172N6O75	C149H260N6O75
G00013MO	C24H40O20	C36H64O20
G00014MO	C28H46N2O20	C40H70N2O20
G00015MO	C26H43NO20	C38H67NO20
G00016MO	C12H20O10	C18H32O10
G00017IP	C50H82N4O38S	C70H122N4O38S
G00017MO	C28H42N2O22	C40H66N2O22
G00018MO	C28H42N2O28S2	C38H62N2O28S2
G00024MO	C18H30O15	C27H48O15
G00025AJ	C18H32O14	C27H50O14
G00025HU	C79H129N5O57	C113H197N5O57
G00025MO	C24H40O20	C36H64O20
G00025YC	C76H125N5O54	C108H189N5O54
G00026MO	C34H56N2O25	C49H86N2O25
G00027JG	C40H66N2O28	C56H98N2O28
G00027MO	C26H43NO20	C38H67NO20
G00028MO	C46H76N2O35	C67H118N2O35
G00029MO	C48H79N3O35	C69H121N3O35
G00030HB	C105H172N6O77	C151H264N6O77
G00030MO	C50H82N4O35	C71H124N4O35
G00030SF	C18H30O15	C27H48O15
G00030VN	C47H76N4O33	C67H116N4O33
G00031MO	C14H23NO10	C20H35NO10
G00032MO	C14H23NO10	C20H35NO10
G00033MO	C22H36N2O15	C31H54N2O15
G00033UB	C28H46N2O29S3	C37H64N2O29S3
G00034MO	C22H36N2O15	C31H54N2O15
G00034UM	C42H71N3O30	C61H109N3O30
G00034WH	C36H60O30	C54H96O30
G00034WX	C36H55N3O54S8	C49H81N3O54S8
G00035MO	C16H26N2O10	C22H38N2O10
G00036MM	C48H79N3O35	C69H121N3O35
G00036MO	C16H26N2O10	C22H38N2O10
G00037MO	C24H39N3O15	C33H57N3O15
G00038JC	C24H40O18	C34H60O18
G00038MO	C24H39N3O15	C33H57N3O15
G00039MO	C16H26N2O10	C22H38N2O10
G00040MO	C16H26N2O10	C22H38N2O10
G00041IL	C33H53N3O23	C47H81N3O23
G00041MO	C16H26N2O10	C22H38N2O10
G00042MO	C16H26N2O10	C22H38N2O10
G00043MO	C16H26N2O10	C22H38N2O10
G00044MO	C16H26N2O10	C22H38N2O10
G00045DM	C38H63NO29	C55H97NO29
G00045MO	C24H41NO19	C37H67NO19
G00046MO	C12H20O10	C18H32O10
G00047MO	C20H33NO14	C28H49NO14
G00048MO	C26H43NO18	C36H63NO18
G00049MO	C26H43NO20	C38H67NO20
G00050MO	C32H53NO24	C46H81NO24
G00051MO	C20H33NO14	C28H49NO14
G00051UX	C14H23NO10	C20H35NO10
G00052MO	C26H43NO18	C36H63NO18
G00053MO	C31H50N2O22	C44H76N2O22
G00054MO	C31H50N2O22	C44H76N2O22
G00055MO	C14H23NO10	C20H35NO10
G00056HH	C82H135N5O59	C117H205N5O59
G00056MO	C14H23NO10	C20H35NO10
G00056QW	C26H38N2O24S	C38H62N2O24S
G00056SP	C43H70N2O33	C63H110N2O33
G00057LF	C73H119N5O53	C105H183N5O53
G00057MO	C16H26N2O10	C22H38N2O10
G00058MO	C28H46N2O20	C40H70N2O20
G00058XR	C20H33NO18S	C28H49NO18S
G00059MO	C18H30O15	C27H48O15
G00060BT	C32H53NO25	C47H83NO25
G00060MO	C32H53NO25	C47H83NO25
G00061MO	C26H43NO20	C38H67NO20
G00062MO	C39H63N3O28	C56H97N3O28
G00063MO	C44H70N4O31	C63H108N4O31
G00064MO	C34H56N2O25	C49H86N2O25
G00065MO	C25H40N2O18	C36H62N2O18
G00066MO	C20H33NO14	C28H49NO14
G00066WY	C34H56N2O25	C49H86N2O25
G00067MO	C18H30O14	C26H46O14
G00068MO	C12H20O9	C17H30O9
G00069MO	C26H43NO20	C38H67NO20
G00069YC	C96H158N6O67	C135H236N6O67
G00070MO	C26H43NO20	C38H67NO20
G00071MO	C26H43NO20	C38H67NO20
G00072MO	C26H43NO20	C38H67NO20
G00073FK	C36H55N3O51S7	C50H83N3O51S7
G00073MO	C96H156N6O71	C139H242N6O71
G00073QP	C104H169N7O77	C151H263N7O77
G00076PK	C20H33NO15	C29H51NO15
G00078CA	C76H126N2O60	C112H198N2O60
G00079IK	C50H82N4O36	C73H128N4O36
G00082CQ	C23H34O20	C34H56O20
G00083FE	C94H155N5O67	C133H233N5O67
G00085FR	C74H122N4O54	C106H186N4O54
G00087BY	C81H132N6O60S	C114H198N6O60S
