accession	Hex	HexNAc	dHex	NeuAc	NeuGc	HexA	HexN	S	P	aldi	Xxx	Count
G00002CF	2	0	0	0	2	0	0	0	0	0	0	4
G00009BX	2	2	1	0	0	0	0	0	0	0	0	5
G00012MO	3	1	0	0	0	0	0	0	0	0	0	4
G00012RZ	6	5	3	1	0	0	0	0	0	0	0	15
G00013MO	4	0	0	0	0	0	0	0	0	0	0	4
G00014MO	2	2	0	0	0	0	0	0	0	0	0	4
G00015MO	3	1	0	0	0	0	0	0	0	0	0	4
G00016MO	2	0	0	0	0	0	0	0	0	0	0	2
G00017MO	0	2	0	0	0	2	0	0	0	0	0	4
G00018MO	0	2	0	0	0	2	0	2	0	0	0	4
G00019MO	0	2	0	0	0	2	0	2	0	0	0	4
G00020MO	2	2	0	0	0	0	0	2	0	0	0	4
G00021MO	0	0	0	0	0	1	0	0	0	0	3	4
G00022MO	0	0	0	0	0	0	2	0	0	0	6	8
G00023MO	0	2	0	0	0	0	0	0	0	0	2	4
G00024MO	3	0	0	0	0	0	0	0	0	0	0	3
G00025AJ	2	0	1	0	0	0	0	0	0	1	0	3
G00025MO	4	0	0	0	0	0	0	0	0	0	0	4
G00025YC	5	5	1	0	0	0	0	0	0	0	0	11
G00026MO	3	2	0	0	0	0	0	0	0	0	0	5
G00027JG	2	2	2	0	0	0	0	0	0	0	0	6
G00027MO	3	1	0	0	0	0	0	0	0	0	0	4
G00028MO	5	2	0	0	0	0	0	0	0	0	0	7
G00029MO	4	3	0	0	0	0	0	0	0	0	0	7
G00030MO	3	4	0	0	0	0	0	0	0	0	0	7
G00031MO	1	1	0	0	0	0	0	0	0	0	0	2
G00032MO	1	1	0	0	0	0	0	0	0	0	0	2
G00033MO	1	2	0	0	0	0	0	0	0	0	0	3
G00034MO	1	2	0	0	0	0	0	0	0	0	0	3
G00034WH	6	0	0	0	0	0	0	0	0	0	0	6
G00035MO	0	2	0	0	0	0	0	0	0	0	0	2
G00036MO	0	2	0	0	0	0	0	0	0	0	0	2
G00037MO	0	3	0	0	0	0	0	0	0	0	0	3
G00038MO	0	3	0	0	0	0	0	0	0	0	0	3
G00039MO	0	2	0	0	0	0	0	0	0	0	0	2
G00040MO	0	2	0	0	0	0	0	0	0	0	0	2
G00041IL	1	2	0	1	0	0	0	0	0	0	0	4
G00041MO	0	2	0	0	0	0	0	0	0	0	0	2
G00042MO	0	2	0	0	0	0	0	0	0	0	0	2
G00043MO	0	2	0	0	0	0	0	0	0	0	0	2
G00044MO	0	2	0	0	0	0	0	0	0	0	0	2
G00045MO	3	0	0	0	0	0	1	0	0	0	0	4
G00046MO	2	0	0	0	0	0	0	0	0	0	0	2
G00047MO	1	1	1	0	0	0	0	0	0	0	0	3
G00048MO	1	1	2	0	0	0	0	0	0	0	0	4
G00049MO	3	1	0	0	0	0	0	0	0	0	0	4
G00050MO	3	1	1	0	0	0	0	0	0	0	0	5
G00051MO	1	1	1	0	0	0	0	0	0	0	0	3
G00052MO	1	1	2	0	0	0	0	0	0	0	0	4
G00053MO	1	1	1	1	0	0	0	0	0	0	0	4
G00054MO	1	1	1	1	0	0	0	0	0	0	0	4
G00055MO	1	1	0	0	0	0	0	0	0	0	0	2
G00056HH	6	5	1	0	0	0	0	0	0	0	0	12
G00056MO	1	1	0	0	0	0	0	0	0	0	0	2
G00057LF	5	4	0	1	0	0	0	0	0	0	0	10
G00057MO	0	2	0	0	0	0	0	0	0	0	0	2
G00058MO	2	2	0	0	0	0	0	0	0	0	0	4
G00058XR	2	1	0	0	0	0	0	1	0	0	0	3
G00059MO	3	0	0	0	0	0	0	0	0	0	0	3
G00060BT	4	1	0	0	0	0	0	0	0	0	0	5
G00060MO	4	1	0	0	0	0	0	0	0	0	0	5
G00061MO	3	1	0	0	0	0	0	0	0	0	0	4
G00062MO	2	2	0	1	0	0	0	0	0	0	0	5
G00063MO	1	2	0	2	0	0	0	0	0	0	0	5
G00064MO	3	2	0	0	0	0	0	0	0	0	0	5
G00065MO	1	1	0	1	0	0	0	0	0	0	0	3
G00066MO	1	1	1	0	0	0	0	0	0	0	0	3
G00066WY	3	2	0	0	0	0	0	0	0	0	0	5
G00067MO	2	0	1	0	0	0	0	0	0	0	0	3
G00068MO	1	0	1	0	0	0	0	0	0	0	0	2
G00069MO	3	1	0	0	0	0	0	0	0	0	0	4
G00070MO	3	1	0	0	0	0	0	0	0	0	0	4
G00071MO	3	1	0	0	0	0	0	0	0	0	0	4
G00072MO	3	1	0	0	0	0	0	0	0	0	0	4
G00076PK	2	1	0	0	0	0	0	0	0	0	0	3
G00082CQ	2	0	0	0	0	0	0	0	0	0	2	4
G00087BY	4	5	1	1	0	0	0	1	0	0	0	11
G00089VH	5	3	0	2	0	0	0	0	0	0	0	10
G00090SL	2	0	0	0	0	0	0	0	0	1	0	2
G00091RT	5	0	0	0	0	0	0	0	0	0	0	5
G00094SE	2	4	1	0	0	0	0	0	0	0	0	7
G00105XF	5	4	0	1	0	0	0	0	0	0	0	10
G00106LE	1	1	1	1	0	0	0	1	0	0	0	4
G00112IO	3	5	0	0	0	0	0	0	0	1	0	8
G00116QX	1	2	0	2	0	0	0	0	0	1	0	5
G00120QS	2	2	0	0	0	0	0	0	0	0	0	4
G00123JF	0	0	0	0	0	0	0	0	0	0	1	1
G00133UK	2	0	0	0	1	0	0	0	0	0	0	3
G00140XB	2	0	0	0	0	0	0	0	0	0	0	2
G00140YZ	2	2	1	0	0	0	0	0	0	1	0	5
G00141ZD	3	0	0	0	0	0	0	0	0	0	0	3
G00152LK	6	0	0	0	0	0	0	0	0	0	0	6
G00153LJ	3	0	0	0	0	0	0	0	0	0	0	3
G00155YT	6	5	1	1	0	0	0	0	0	0	0	13
G00157WT	5	3	2	1	0	0	0	0	0	0	0	11
G00167VE	5	6	1	0	0	0	0	0	0	0	0	12
G00171RJ	6	5	1	3	0	0	0	0	0	0	0	15
G00175GT	2	2	0	0	0	0	0	0	0	0	0	4
