accession	monosaccharide	count
G00002CF	*	4
G00002CF	Gal	1
G00002CF	Glc	1
G00002CF	Hex	2
G00002CF	NeuGc	2
G00002CF	Sia	2
G00009BX	*	5
G00009BX	Fuc	1
G00009BX	Gal	2
G00009BX	GlcNAc	2
G00009BX	Hex	2
G00009BX	HexNAc	2
G00009BX	dHex	1
G00012MO	*	4
G00012MO	Gal	2
G00012MO	GalNAc	1
G00012MO	Glc	1
G00012MO	Hex	3
G00012MO	HexNAc	1
G00012RZ	*	15
G00012RZ	Fuc	3
G00012RZ	Gal	3
G00012RZ	GlcNAc	5
G00012RZ	Hex	6
G00012RZ	HexNAc	5
G00012RZ	Man	3
G00012RZ	NeuAc	1
G00012RZ	Sia	1
G00012RZ	dHex	3
G00013MO	*	4
G00013MO	Gal	3
G00013MO	Glc	1
G00013MO	Hex	4
G00014MO	*	4
G00014MO	GalNAc	1
G00014MO	Glc	1
G00014MO	GlcNAc	1
G00014MO	Hex	2
G00014MO	HexNAc	2
G00014MO	Man	1
G00015MO	*	4
G00015MO	Glc	1
G00015MO	GlcNAc	1
G00015MO	Hex	3
G00015MO	HexNAc	1
G00015MO	Man	2
G00016MO	*	2
G00016MO	Gal	2
G00016MO	Hex	2
G00017MO	*	4
G00017MO	GlcA	2
G00017MO	GlcNAc	2
G00017MO	HexA	2
G00017MO	HexNAc	2
G00018MO	*	4
G00018MO	GalNAc	2
G00018MO	GlcA	2
G00018MO	HexA	2
G00018MO	HexNAc	2
G00018MO	S	2
G00019MO	*	4
G00019MO	GalNAc	2
G00019MO	HexA	2
G00019MO	HexNAc	2
G00019MO	IdoA	2
G00019MO	S	2
G00020MO	*	4
G00020MO	Gal	2
G00020MO	GlcNAc	2
G00020MO	Hex	2
G00020MO	HexNAc	2
G00020MO	S	2
G00021MO	*	4
G00021MO	GlcNAc	2
G00021MO	HexA	2
G00021MO	HexNAc	2
G00021MO	IdoA	2
G00021MO	S	5
G00022MO	*	8
G00022MO	GlcN	2
G00022MO	HexN	2
G00022MO	Xxx	6
G00023MO	*	4
G00023MO	GlcNAc	2
G00023MO	HexNAc	2
G00023MO	Xxx	2
G00024MO	*	3
G00024MO	Glc	3
G00024MO	Hex	3
G00025AJ	*	3
G00025AJ	Fuc	1
G00025AJ	Gal	1
G00025AJ	Glc	1
G00025AJ	Glc+aldi	1
G00025AJ	Hex	2
G00025AJ	Hex+aldi	1
G00025AJ	aldi	1
G00025AJ	dHex	1
G00025MO	*	4
G00025MO	Glc	4
G00025MO	Hex	4
G00025YC	*	11
G00025YC	Fuc	1
G00025YC	Gal	2
G00025YC	GlcNAc	5
G00025YC	Hex	5
G00025YC	HexNAc	5
G00025YC	Man	3
G00025YC	dHex	1
G00026MO	*	5
G00026MO	GlcNAc	2
G00026MO	Hex	3
G00026MO	HexNAc	2
G00026MO	Man	3
G00027JG	*	6
G00027JG	Fuc	2
G00027JG	Gal	2
G00027JG	GalNAc	1
G00027JG	GlcNAc	1
G00027JG	Hex	2
G00027JG	HexNAc	2
G00027JG	dHex	2
G00027MO	*	4
G00027MO	GlcNAc	1
G00027MO	Hex	3
G00027MO	HexNAc	1
G00027MO	Man	3
G00028MO	*	7
G00028MO	GlcNAc	2
G00028MO	Hex	5
G00028MO	HexNAc	2
G00028MO	Man	5
G00029MO	*	7
G00029MO	GlcNAc	3
G00029MO	Hex	4
G00029MO	HexNAc	3
G00029MO	Man	4
G00030HB	*	15
G00030HB	Fuc	1
G00030HB	Gal	5
G00030HB	GlcNAc	5
G00030HB	Hex	8
G00030HB	HexNAc	5
G00030HB	Man	3
G00030HB	NeuAc	1
G00030HB	Sia	1
G00030HB	dHex	1
G00030MO	*	7
G00030MO	GlcNAc	4
G00030MO	Hex	3
G00030MO	HexNAc	4
G00030MO	Man	3
G00031MO	*	2
G00031MO	Gal	1
G00031MO	GalNAc	1
G00031MO	Hex	1
G00031MO	HexNAc	1
G00032MO	*	2
G00032MO	Gal	1
G00032MO	GalNAc	1
G00032MO	Hex	1
G00032MO	HexNAc	1
G00033MO	*	3
G00033MO	Gal	1
G00033MO	GalNAc	1
G00033MO	GlcNAc	1
G00033MO	Hex	1
G00033MO	HexNAc	2
G00034MO	*	3
G00034MO	Gal	1
G00034MO	GalNAc	1
G00034MO	GlcNAc	1
G00034MO	Hex	1
G00034MO	HexNAc	2
G00034WH	*	6
G00034WH	Glc	6
G00034WH	Hex	6
G00035MO	*	2
G00035MO	GalNAc	1
G00035MO	GlcNAc	1
G00035MO	HexNAc	2
G00036MO	*	2
G00036MO	GalNAc	1
G00036MO	GlcNAc	1
G00036MO	HexNAc	2
G00037MO	*	3
G00037MO	GalNAc	1
G00037MO	GlcNAc	2
G00037MO	HexNAc	3
G00038MO	*	3
G00038MO	GalNAc	1
G00038MO	GlcNAc	2
G00038MO	HexNAc	3
G00039MO	*	2
G00039MO	GalNAc	2
G00039MO	HexNAc	2
G00040MO	*	2
G00040MO	GalNAc	2
G00040MO	HexNAc	2
G00041IL	*	4
G00041IL	Gal	1
G00041IL	GalNAc	1
G00041IL	GlcNAc	1
G00041IL	Hex	1
G00041IL	HexNAc	2
G00041IL	NeuAc	1
G00041IL	Sia	1
G00041MO	*	2
G00041MO	GalNAc	1
G00041MO	GlcNAc	1
G00041MO	HexNAc	2
G00042MO	*	2
