GlyTouCanAccession	Name	Domain
G00031MO	T antigen	SemanticName
G00059MO	Pk antigen	SemanticName
G00061MO	Globoside	SemanticName
G00194GV	HexNAc(1)dHex(1)	Byonic
G00194GV	HexNAc1Hex0dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G00194GV	HexNAc1dHex1	ShortUniCarbKB
G00273SJ	H5N4F4	ShortComp
G00273SJ	HexNAc(4)Hex(5)Fuc(4)	Byonic
G00552RX	GP1ca	SemanticName
G00665JQ	H5N5F3S	ShortComp
G00665JQ	HexNAc(5)Hex(5)Fuc(3)NeuAc(1)	Byonic
G00841YH	H4N2S3	ShortComp
G00841YH	HexNAc(2)Hex(4)NeuAc(3)	Byonic
G00841YH	HexNAc2Hex4NeuAc3	ShortUniCarbKB
G00841YH	HexNAc2Hex4dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G00912UN	H5N4S2	ShortComp
G00912UN	HexNAc(4)Hex(5)NeuAc(2)	Byonic
G00912UN	HexNAc4Hex5NeuAc2	ShortUniCarbKB
G00912UN	HexNAc4Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G01160VV	H7N7F4	ShortComp
G01160VV	HexNAc(7)Hex(7)Fuc(4)	Byonic
G01194JA	H4N2F2	ShortComp
G01194JA	HexNAc(2)Hex(4)Fuc(2)	Byonic
G01485JJ	H3N6F	ShortComp
G01485JJ	HexNAc(6)Hex(3)Fuc(1)	Byonic
G01500QH	H15N14F6S2	ShortComp
G01500QH	HexNAc(14)Hex(15)Fuc(6)NeuAc(2)	Byonic
G01550VZ	HexNAc(4)Hex(5)Sulpho(1)	Byonic
G01550VZ	HexNAc4Hex5S1	ShortUniCarbKB
G01550VZ	HexNAc4Hex5dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0	UniCarbKB
G01614ZM	Di-sialyl T antigen	SemanticName
G01633XH	HexNAc(3)Hex(3)dHex(4)	Byonic
G01633XH	HexNAc3Hex3dHex4	ShortUniCarbKB
G01633XH	HexNAc3Hex3dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G01650EU	H6N3S	ShortComp
G01650EU	HexNAc(3)Hex(6)NeuAc(1)	Byonic
G01650EU	HexNAc3Hex6NeuAc1	ShortUniCarbKB
G01650EU	HexNAc3Hex6dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G01664MY	HexNAc1Hex1S1HexA1	ShortUniCarbKB
G01664MY	HexNAc1Hex1dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA1	UniCarbKB
G01678ZX	H7N7F2	ShortComp
G01678ZX	HexNAc(7)Hex(7)Fuc(2)	Byonic
G01769OH	H3S2	ShortComp
G01769OH	Hex(3)NeuAc(2)	Byonic
G01769OH	Hex3NeuAc2	ShortUniCarbKB
G01769OH	HexNAc0Hex3dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0	UniCarbKB
G01879YS	HexNAc(1)Hex(2)dHex(1)NeuAc(1)	Byonic
G01879YS	HexNAc1Hex2dHex1NeuAc1	ShortUniCarbKB
