GlyTouCanAccession	PubChem
G00002CF	GlyTouCan:G00002CF
G00002CF	SID491870160
G00008BG	GlyTouCan:G00008BG
G00008BG	SID491870161
G00008SX	GlyTouCan:G00008SX
G00008SX	SID518303695
G00009BX	GlyTouCan:G00009BX
G00009BX	SID491838106
G00012MO	GlyTouCan:G00012MO
G00012MO	SID491870200
G00012RZ	GlyTouCan:G00012RZ
G00012RZ	SID491870241
G00013MO	GlyTouCan:G00013MO
G00013MO	SID491870167
G00014MO	GlyTouCan:G00014MO
G00014MO	SID491870168
G00015MO	GlyTouCan:G00015MO
G00015MO	SID491870169
G00016MO	GlyTouCan:G00016MO
G00016MO	SID491870170
G00017IP	GlyTouCan:G00017IP
G00017IP	SID491928746
G00017MO	GlyTouCan:G00017MO
G00017MO	SID491870171
G00018MO	GlyTouCan:G00018MO
G00018MO	SID491870172
G00024MO	CID11375554
G00024MO	GlyTouCan:G00024MO
G00024MO	SID252288623
G00025AJ	CID91857678
G00025AJ	GlyTouCan:G00025AJ
G00025AJ	SID252290930
G00025HU	GlyTouCan:G00025HU
G00025HU	SID491928721
G00025MO	CID5288428
G00025MO	GlyTouCan:G00025MO
G00025MO	SID252293186
G00025YC	GlyTouCan:G00025YC
G00025YC	SID491838126
G00026MO	GlyTouCan:G00026MO
G00026MO	SID491838111
G00027JG	GlyTouCan:G00027JG
G00027JG	SID491838112
G00027MO	CID91859643
G00027MO	GlyTouCan:G00027MO
G00027MO	SID252293273
G00028MO	GlyTouCan:G00028MO
G00028MO	SID491838113
G00029MO	GlyTouCan:G00029MO
G00029MO	SID491838114
G00030HB	GlyTouCan:G00030HB
G00030HB	SID491870197
G00030MO	GlyTouCan:G00030MO
G00030MO	SID491838115
G00030SF	CID168356350
G00030SF	GlyTouCan:G00030SF
G00030SF	SID482377729
G00030VN	CID91849570
G00030VN	GlyTouCan:G00030VN
G00030VN	SID252281260
G00031MO	CID5288347
G00031MO	GlyTouCan:G00031MO
G00031MO	SID252294787
G00032MO	GlyTouCan:G00032MO
G00032MO	SID491870177
G00033MO	CID52921656
G00033MO	GlyTouCan:G00033MO
G00033MO	SID252289141
G00033UB	GlyTouCan:G00033UB
G00033UB	SID500103899
G00034MO	GlyTouCan:G00034MO
G00034MO	SID491870178
G00034UM	GlyTouCan:G00034UM
G00034UM	SID491838130
G00034WH	GlyTouCan:G00034WH
G00034WH	SID491870180
G00035MO	CID25061208
G00035MO	GlyTouCan:G00035MO
G00035MO	SID252285840
G00036MM	GlyTouCan:G00036MM
G00036MM	SID500103901
G00036MO	GlyTouCan:G00036MO
G00036MO	SID491870181
G00037MO	CID25229562
G00037MO	GlyTouCan:G00037MO
G00037MO	SID252279040
G00038JC	GlyTouCan:G00038JC
G00038JC	SID491928722
G00038MO	GlyTouCan:G00038MO
G00038MO	SID491870182
G00039MO	CID91853465
G00039MO	GlyTouCan:G00039MO
G00039MO	SID252285892
G00040MO	GlyTouCan:G00040MO
G00040MO	SID491838116
G00041IL	CID146017258
G00041IL	GlyTouCan:G00041IL
G00041IL	SID405039983
G00041MO	CID56611864
G00041MO	GlyTouCan:G00041MO
G00041MO	SID252296995
G00042MO	GlyTouCan:G00042MO
G00042MO	SID491838117
G00043MO	CID91846113
G00043MO	GlyTouCan:G00043MO
G00043MO	SID252277123
G00044MO	GlyTouCan:G00044MO
G00044MO	SID491838118
G00045DM	GlyTouCan:G00045DM
G00045DM	SID500103904
G00045MO	GlyTouCan:G00045MO
G00045MO	SID491838107
G00046MO	GlyTouCan:G00046MO
G00046MO	SID491838119
G00047MO	CID22806751
G00047MO	GlyTouCan:G00047MO
G00047MO	SID252282939
G00048MO	CID45480569
G00048MO	GlyTouCan:G00048MO
G00048MO	SID252279306
G00049MO	CID5279514
G00049MO	GlyTouCan:G00049MO
G00049MO	SID252287332
G00050MO	CID70678645
G00050MO	GlyTouCan:G00050MO
G00050MO	SID252285322
G00051MO	CID44611539
G00051MO	GlyTouCan:G00051MO
G00051MO	SID252296557
G00051UX	GlyTouCan:G00051UX
G00051UX	SID500103909
G00052MO	CID45266908
G00052MO	GlyTouCan:G00052MO
G00052MO	SID252284113
G00053MO	CID53356732
G00053MO	GlyTouCan:G00053MO
G00053MO	SID252276065
G00054MO	CID44456859
G00054MO	GlyTouCan:G00054MO
G00054MO	SID252277227
G00055MO	CID439271
G00055MO	GlyTouCan:G00055MO
G00055MO	SID252296420
G00056HH	GlyTouCan:G00056HH
G00056HH	SID491838121
G00056MO	CID10177989
G00056MO	GlyTouCan:G00056MO
G00056MO	SID252278809
G00056SP	GlyTouCan:G00056SP
G00056SP	SID500103913
G00057LF	GlyTouCan:G00057LF
G00057LF	SID491870232
G00057MO	CID44611452
G00057MO	GlyTouCan:G00057MO
G00057MO	SID252289075
G00058MO	CID25062237
G00058MO	GlyTouCan:G00058MO
G00058MO	SID252286874
G00058XR	GlyTouCan:G00058XR
G00058XR	SID491870209
G00059MO	CID5279515
G00059MO	GlyTouCan:G00059MO
G00059MO	SID252284581
G00060BT	GlyTouCan:G00060BT
G00060BT	SID491870186
G00060MO	CID91847704
G00060MO	GlyTouCan:G00060MO
G00060MO	SID252279056
G00061MO	CID5288889
G00061MO	GlyTouCan:G00061MO
G00061MO	SID252296009
G00062MO	CID91853425
G00062MO	GlyTouCan:G00062MO
G00062MO	SID252285844
G00063MO	CID91853411
G00063MO	GlyTouCan:G00063MO
G00063MO	SID252285826
G00064MO	CID91851548
G00064MO	GlyTouCan:G00064MO
G00064MO	SID252283591
G00065MO	CID44611401
G00065MO	GlyTouCan:G00065MO
G00065MO	SID252297063
G00066MO	CID49852448
G00066MO	GlyTouCan:G00066MO
G00066MO	SID252277739
G00066WY	GlyTouCan:G00066WY
G00066WY	SID491870213
G00067MO	CID91861847
G00067MO	GlyTouCan:G00067MO
G00067MO	SID252295919
G00068MO	CID5288275
G00068MO	GlyTouCan:G00068MO
G00068MO	SID252284680
G00069MO	GlyTouCan:G00069MO
G00069MO	SID491870201
G00069YC	GlyTouCan:G00069YC
G00069YC	SID491928758
G00070MO	GlyTouCan:G00070MO
G00070MO	SID491838122
G00071MO	GlyTouCan:G00071MO
G00071MO	SID491838123
G00072MO	GlyTouCan:G00072MO
G00072MO	SID491838124
G00073MO	GlyTouCan:G00073MO
G00073MO	SID491838144
G00073QP	GlyTouCan:G00073QP
G00073QP	SID500103916
G00076PK	CID9915394
G00076PK	GlyTouCan:G00076PK
G00076PK	SID252294294
G00078CA	GlyTouCan:G00078CA
G00078CA	SID500103918
G00079IK	GlyTouCan:G00079IK
G00079IK	SID491838133
G00083FE	GlyTouCan:G00083FE
G00083FE	SID500103921
G00085FR	GlyTouCan:G00085FR
G00085FR	SID518303696
G00087BY	GlyTouCan:G00087BY
G00087BY	SID491870221
G00089VH	GlyTouCan:G00089VH
G00089VH	SID491870202
G00091RT	CID5288738
