GlyTouCanAccession	PDB
G00024MO	2cl8
G00024MO	2w52
G00024MO	2w63
G00024MO	3n9k
G00024MO	4gzi
G00024MO	4gzj
G00025MO	1ece
G00025MO	1f9d
G00025MO	1j84
G00025MO	1uu6
G00025MO	1w2u
G00025MO	2bof
G00025MO	2bvw
G00025MO	2bwc
G00025MO	2rg0
G00025MO	2z1s
G00025MO	3ach
G00025MO	3amm
G00025MO	3f5j
G00025MO	3pfz
G00025MO	3qhm
G00025MO	3qhn
G00025MO	3qho
G00025MO	3sct
G00025MO	3scv
G00025MO	3scw
G00025MO	4a05
G00025MO	4afd
G00025MO	4b4f
G00025MO	4fg2
G00025MO	4hu0
G00025MO	5cel
G00025MO	6cel
G00031MO	1jot
G00031MO	1lti
G00031MO	1m26
G00031MO	1ugx
G00031MO	1y2v
G00031MO	1y2w
G00031MO	1y2x
G00031MO	2dva
G00031MO	3afk
G00031MO	3aya
G00031MO	3nk3
G00031MO	3qdt
G00031MO	3qdx
G00031MO	3qdy
G00031MO	3qum
G00031MO	4akc
G00035MO	2w1u
G00048MO	1led
G00048MO	4gwj
G00049MO	2z8f
G00050MO	2zl6
G00050MO	3sln
G00051MO	1uz8
G00051MO	2ox9
G00052MO	1gsl
G00052MO	2j1t
G00052MO	2wmg
G00052MO	3leg
G00052MO	3pa2
G00052MO	4gwi
G00054MO	1g1r
G00054MO	1g1t
G00054MO	2kmb
G00054MO	2r61
G00054MO	2z8l
G00055MO	1a3k
G00055MO	1gx4
G00055MO	1kjl
G00055MO	1v84
G00055MO	1vzx
G00055MO	2d6n
G00055MO	2vs3
G00055MO	2vs4
G00055MO	2wt0
G00055MO	2xrs
G00055MO	3ehn
G00056MO	2ll4
G00056MO	2z8d
G00056MO	4h04
G00057MO	1e6x
G00058MO	2d6o
G00058MO	2zhk
G00058MO	2zhl
G00058MO	2zhm
G00059MO	1bos
G00059MO	1c4q
G00059MO	1cqf
G00059MO	1d1i
G00059MO	1d1k
G00059MO	2bos
G00061MO	1j8r
G00065MO	1rvx
G00065MO	3m5h
G00065MO	3ubq
G00065MO	3vko
G00065MO	4dj7
G00065MO	4en7
G00065MO	4fmi
G00065MO	4gzw
G00066MO	2vng
G00066MO	2w7y
G00066MO	2wmi
G00066MO	2zl7
G00066MO	3d26
G00066MO	3pa1
G00066MO	3sld
G00066MO	4ah4
G00068MO	1lzi
G00068MO	1lzj
G00068MO	1qot
G00068MO	1wt1
G00068MO	1wt3
G00068MO	2riy
G00068MO	2rj1
G00068MO	2rj6
G00068MO	2rj8
G00068MO	2wmh
G00068MO	3i0e
G00068MO	3i0f
G00068MO	3i0j
G00068MO	3i0k
G00068MO	3q39
G00068MO	3v0m
G00068MO	3v0o
G00068MO	3v0p
G00068MO	3v0q
G00068MO	3zw2
G00068MO	3zwe
G00068MO	4ah5
G00091RT	1zlu
G00152LK	1w9w
G00395FS	1elj
G00395FS	1kck
G00395FS	1kcl
G00395FS	1pez
G00395FS	1pj9
G00395FS	1ua3
G00395FS	1uh4
G00395FS	1wo2
G00395FS	2d0f
G00395FS	2ggu
G00395FS	2mpr
G00395FS	3ckb
G00395FS	3fax
G00395TQ	1ykb
G00395TQ	2j1g
G00395TQ	2j3f
G00395TQ	2j3g
G00395TQ	2q86
G00395TQ	3dgc
G00395TQ	3t8x
G00395TQ	3zs0
G00568LN	1zu7
G00619DD	1cvn
G00619DD	1dgl
G00619DD	1jpc
G00619DD	1lq8
G00619DD	1ona
G00619DD	1q8v
G00619DD	1vbo
G00619DD	1vbp
G00619DD	2wra
G00619DD	3zvx
G00891MP	1kwy
G00891MP	1kwz
G00891MP	1kx0
G00891MP	1niv
G00891MP	1npl
G00891MP	1q8p
G00891MP	1qdo
G00891MP	1s1a
G00891MP	2arx
G00891MP	2gnd
G00891MP	2phf
G00891MP	2phx
G00891MP	2wr9
G00891MP	3a0e
G00891MP	3dzw
G00891MP	3miu
G00891MP	3p5d
G01361SX	1hjv
G01361SX	1k9t
G01361SX	1kqz
G01361SX	1kr0
G01361SX	1kr1
G01361SX	1lzc
G01361SX	1lze
G01361SX	1lzr
G01361SX	1lzs
G01361SX	1sf6
G01361SX	1sf7
G01361SX	2dt1
G01361SX	3b9d
G01361SX	3bkv
G01361SX	3ct0
G01361SX	3n18
G01361SX	3rgx
G01361SX	3rgz
G01361SX	3t21
G01361SX	4ay1
G01361SX	4dqj
G01361SX	4dyg
G01361SX	4ebz
G01361SX	4hjz
G01366WY	2bmz
G01447WV	1i1a
G01447WV	3ala
G01534TU	2gam
G01534TU	2tep
G01534TU	2wn2
G01534TU	2x2t
G01534TU	2z8e
G01534TU	3llz
G01534TU	4asl
G01614ZM	2cwg
G01760ZU	1bji
G01760ZU	1nca
G01760ZU	1ncb
G01760ZU	1ncc
G01760ZU	1ncd
G01760ZU	1nmc
G01760ZU	1nnc
G01760ZU	1xoe
G01760ZU	2qwi
G01760ZU	3d2d
G01760ZU	3d2h
G01760ZU	4ec3
G02162KR	3rsj
G02273DT	2e51
