GlyTouCanAccession	PubChemAccession
G00024MO	CID11375554
G00024MO	SID252288623
G00025AJ	CID91857678
G00025AJ	SID252290930
G00025MO	CID5288428
G00025MO	SID252293186
G00027MO	CID91859643
G00027MO	SID252293273
G00031MO	CID5288347
G00031MO	SID252294787
G00033MO	CID52921656
G00033MO	SID252289141
G00035MO	CID25061208
G00035MO	SID252285840
G00037MO	CID25229562
G00037MO	SID252279040
G00039MO	CID91853465
G00039MO	SID252285892
G00041MO	CID56611864
G00041MO	SID252296995
G00043MO	CID91846113
G00043MO	SID252277123
G00047MO	CID22806751
G00047MO	SID252282939
G00048MO	CID45480569
G00048MO	SID252279306
G00049MO	CID5279514
G00049MO	SID252287332
G00050MO	CID70678645
G00050MO	SID252285322
G00051MO	CID44611539
G00051MO	SID252296557
G00052MO	CID45266908
G00052MO	SID252284113
G00053MO	CID53356732
G00053MO	SID252276065
G00054MO	CID44456859
G00054MO	SID252277227
G00055MO	CID439271
G00055MO	SID252296420
G00056MO	CID10177989
G00056MO	SID252278809
G00057MO	CID44611452
G00057MO	SID252289075
G00058MO	CID25062237
G00058MO	SID252286874
G00059MO	CID5279515
G00059MO	SID252284581
G00060MO	CID91847704
G00060MO	SID252279056
G00061MO	CID5288889
G00061MO	SID252296009
G00062MO	CID91853425
G00062MO	SID252285844
G00063MO	CID91853411
G00063MO	SID252285826
G00064MO	CID91851548
G00064MO	SID252283591
G00065MO	CID44611401
G00065MO	SID252297063
G00066MO	CID49852448
G00066MO	SID252277739
G00067MO	CID91861847
G00067MO	SID252295919
G00068MO	CID5288275
G00068MO	SID252284680
G00076PK	CID9915394
G00076PK	SID252294294
G00091RT	CID5288738
G00091RT	SID252282782
G00112IO	CID91851800
G00112IO	SID252283898
G00120QS	CID91846337
G00120QS	SID252277397
G00140XB	CID91852120
G00140XB	SID252284282
G00152LK	CID5287768
G00152LK	SID252288265
G00153LJ	CID91852608
G00153LJ	SID252284869
G00175GT	CID91861163
G00175GT	SID252295111
G00176HZ	CID91847874
G00176HZ	SID252279257
G00194ZL	CID91862458
G00194ZL	SID252296670
G00199JR	CID91845333
G00199JR	SID252276208
G00231WL	CID91849816
G00231WL	SID252281530
G00247PL	CID71297668
G00247PL	SID252279192
G00272VU	CID91859859
G00272VU	SID252293533
G00279YF	CID91851031
G00279YF	SID252282987
G00287UD	CID91849825
G00287UD	SID252281541
G00294BL	CID91853036
G00294BL	SID252285376
G00306VT	CID91848222
G00306VT	SID252279677
G00320ZP	CID91848403
G00320ZP	SID252279888
G00335DM	CID91848952
G00335DM	SID252280533
G00361YF	CID91856256
G00361YF	SID252289237
G00370EI	CID91860459
G00370EI	SID252294266
G00395FS	CID6540298
G00395FS	SID252287757
G00395TQ	CID91850249
G00395TQ	SID252282053
G00407UJ	CID90475902
G00407UJ	SID252284066
G00413UF	CID91850486
G00413UF	SID252282338
G00428HK	CID91861324
G00428HK	SID252295303
G00430ZK	CID91861203
G00430ZK	SID252295157
G00432WV	CID71297859
G00432WV	SID252292095
G00433KW	CID71297916
G00433KW	SID252276295
G00435KX	CID91848046
G00435KX	SID252279454
G00457KD	CID91851905
G00457KD	SID252284024
G00461ZN	CID91850313
G00461ZN	SID252282125
G00467QU	CID91845446
G00467QU	SID252276342
G00469BS	CID91850901
G00469BS	SID252282826
G00480KJ	CID91849565
G00480KJ	SID252281255
G00482HJ	CID91852469
G00482HJ	SID252284702
G00483IX	CID91847553
G00483IX	SID252278868
G00492CQ	CID71297419
G00492CQ	SID252283921
G00503EE	CID91847573
G00503EE	SID252278894
G00504PZ	CID91854073
G00504PZ	SID252286606
G00520NI	CID71298458
G00520NI	SID252293871
G00531ZU	CID71297737
G00531ZU	SID252291114
G00536FZ	CID91861420
G00536FZ	SID252295419
G00547ZN	CID91847572
G00547ZN	SID252278893
G00558IW	CID91861779
G00558IW	SID252295840
G00560KG	CID91851713
G00560KG	SID252283788
G00568LN	CID91848953
G00568LN	SID252280534
G00582VL	CID91845362
G00582VL	SID252276240
G00594CD	CID91855082
G00594CD	SID252287829
G00601UG	CID50991837
G00601UG	SID252276926
G00606LX	CID71297975
G00606LX	SID252287607
G00619DD	CID5288745
G00619DD	SID252287034
G00631XZ	CID91858635
G00631XZ	SID252292078
G00646SN	CID91859077
G00646SN	SID252292609
G00662IB	CID91848936
G00662IB	SID252280516
G00666EC	CID91850586
G00666EC	SID252282461
G00667RI	CID91858048
G00667RI	SID252291370
G00674TY	CID91845611
G00674TY	SID252276528
G00691LW	CID91861747
G00691LW	SID252295802
G00695JO	CID91862515
G00695JO	SID252296740
G00702NP	CID91846157
G00702NP	SID252277172
G00705XW	CID91856538
G00705XW	SID252289582
G00706AL	CID91849921
G00706AL	SID252281667
G00706QN	CID71297427
G00706QN	SID252294164
G00709ZM	CID9927988
G00709ZM	SID252295199
G00728SN	CID91862213
G00728SN	SID252296372
G00729SA	CID91849935
G00729SA	SID252281684
G00741NZ	CID91848092
G00741NZ	SID252279515
G00743WU	CID91849248
G00743WU	SID252280881
G00760ZJ	CID91861377
G00760ZJ	SID252295366
G00797ZX	CID91850549
G00797ZX	SID252282412
G00805TZ	CID91854789
G00805TZ	SID252287476
G00826SV	CID91856851
G00826SV	SID252289944
G00850LT	CID91861957
G00850LT	SID252296053
G00851XQ	CID91858948
G00851XQ	SID252292457
G00876GU	CID91857250
G00876GU	SID252290416
G00883DO	CID91854929
G00883DO	SID252287646
G00888JR	CID91857638
G00888JR	SID252290882
G00891GP	CID91857394
G00891GP	SID252290586
G00891MP	CID5288768
G00891MP	SID252284954
G00899CT	CID91861078
G00899CT	SID252295015
G00901NZ	CID71298319
G00901NZ	SID252284991
G00909GK	CID91859438
G00909GK	SID252293032
G00910WD	CID91850737
G00910WD	SID252282637
G00915DI	CID91846949
G00915DI	SID252278122
G00925PQ	CID91858495
G00925PQ	SID252291905
G00936LV	CID91855345
G00936LV	SID252288142
G00944OL	CID91858522
G00944OL	SID252291936
G00951UF	CID91862036
G00951UF	SID252296151
G00966RI	CID71297817
G00966RI	SID252287754
G00972DY	CID91860231
G00972DY	SID252293980
G00977CB	CID56625777
G00977CB	SID252283795
G00979XR	CID91859439
G00979XR	SID252293033
G00982QD	CID91861614
G00982QD	SID252295647
G00986YT	CID91854930
G00986YT	SID252287647
G00995HW	CID91856407
G00995HW	SID252289420
G00998NI	CID71297666
G00998NI	SID252291679
G01001RL	CID91860641
G01001RL	SID252294488
G01034MJ	CID91860157
G01034MJ	SID252293889
G01055WR	CID441427
G01055WR	SID252284013
G01069AK	CID91855114
G01069AK	SID252287867
G01132FQ	CID53477669
G01132FQ	SID252289513
G01139KZ	CID91862906
G01139KZ	SID252297224
G01141WK	CID91853133
G01141WK	SID252285485
G01169EW	CID71297677
G01169EW	SID252282149
G01180DW	CID91848906
G01180DW	SID252280485
G01187XC	CID11813424
G01187XC	SID252292047
G01188EJ	CID91852938
G01188EJ	SID252285263
G01200BW	CID91858574
G01200BW	SID252291990
G01203BZ	CID91854665
G01203BZ	SID252287322
G01220PX	CID91848286
G01220PX	SID252279751
G01260RY	CID91847377
G01260RY	SID252278652
G01296LJ	CID91847811
G01296LJ	SID252279177
G01299ER	CID71297395
G01299ER	SID252290317
G01300OI	CID91852750
G01300OI	SID252285040
G01308XT	CID91848007
G01308XT	SID252279413
G01310VF	CID91855308
G01310VF	SID252288097
G01316HN	CID91851278
G01316HN	SID252283278
G01323LL	CID71297729
G01323LL	SID252286389
G01342FO	CID91855887
G01342FO	SID252288795
G01354KL	CID91855334
G01354KL	SID252288130
G01361CV	CID71297681
G01361CV	SID252279783
G01361SX	CID5288898
G01361SX	SID252283803
G01364ZC	CID91847823
G01364ZC	SID252279191
G01369KU	CID91856449
G01369KU	SID252289476
G01406RR	CID71297804
G01406RR	SID252281343
G01414CL	CID91850226
G01414CL	SID252282029
G01416HI	CID91856635
G01416HI	SID252289694
G01447WV	CID91846106
G01447WV	SID252277115
G01450RG	CID71298226
G01450RG	SID252280170
G01457KB	CID91847539
G01457KB	SID252278848
G01464ES	CID71298523
G01464ES	SID252276202
G01476WA	CID71297800
G01476WA	SID252283697
G01489UZ	CID71297701
G01489UZ	SID252288824
G01521YU	CID91853367
G01521YU	SID252285774
G01534TU	CID440405
G01534TU	SID252286380
G01542OM	CID71297376
G01542OM	SID252296706
G01545QB	CID86289667
G01545QB	SID252285857
G01546PE	CID91856196
G01546PE	SID252289165
G01580PZ	CID91845445
G01580PZ	SID252276341
G01590HD	CID91857423
G01590HD	SID252290624
G01595SM	CID71297370
G01595SM	SID252279168
G01599BJ	CID91848006
G01599BJ	SID252279412
G01602LO	CID91860856
G01602LO	SID252294752
G01612MY	CID91848182
G01612MY	SID252279622
G01613KN	CID71298005
G01613KN	SID252279598
G01614ZM	CID70698317
G01614ZM	SID252283042
G01625GQ	CID91862805
G01625GQ	SID252297095
G01629YL	CID91858046
G01629YL	SID252291367
G01643LM	CID91848990
G01643LM	SID252280575
G01650PH	CID50909802
G01650PH	SID252278640
G01665LU	CID91857504
G01665LU	SID252290716
G01669LU	CID91861240
G01669LU	SID252295203
G01670UQ	CID71297652
G01670UQ	SID252278870
G01690DX	CID91848770
G01690DX	SID252280329
G01708UF	CID91854165
G01708UF	SID252286713
G01713HS	CID71297390
G01713HS	SID252284957
G01722HI	CID91857862
G01722HI	SID252291152
G01727PW	CID91857085
G01727PW	SID252290224
G01744JD	CID91851032
G01744JD	SID252282988
G01747FB	CID91858777
G01747FB	SID252292249
G01748MD	CID91862533
G01748MD	SID252296760
G01749YL	CID71298456
G01749YL	SID252277907
G01759NM	CID70678948
G01759NM	SID252283181
G01760ZU	CID91858417
G01760ZU	SID252291810
G01767JJ	CID21670525
G01767JJ	SID252296233
G01778PX	CID91853246
G01778PX	SID252285625
G01784XC	CID91845191
G01784XC	SID252276039
G01789AQ	CID91853663
G01789AQ	SID252286110
G01846YN	CID53871978
G01846YN	SID252294943
G01854VF	CID91855946
G01854VF	SID252288860
G01856RL	CID91859627
G01856RL	SID252293257
G01859LC	CID91853146
G01859LC	SID252285499
G01866TT	CID9898371
G01866TT	SID252290464
G01935FK	CID70679046
G01935FK	SID252290140
G01945QJ	CID91850841
G01945QJ	SID252282758
G01968NV	CID91858155
G01968NV	SID252291492
G01999JH	CID91849510
G01999JH	SID252281189
G02020YO	CID91855529
G02020YO	SID252288368
G02021XC	CID91847644
G02021XC	SID252278984
G02025MF	CID91856907
G02025MF	SID252290006
G02029PW	CID91861530
G02029PW	SID252295548
G02032MW	CID91849077
G02032MW	SID252280675
G02038LQ	CID91848907
G02038LQ	SID252280486
G02045OB	CID14605636
G02045OB	SID252292785
G02086TB	CID91860228
G02086TB	SID252293977
G02122FK	CID71298006
G02122FK	SID252287409
G02126PG	CID91858324
G02126PG	SID252291704
G02145PB	CID91853717
G02145PB	SID252286179
G02149VR	CID91851751
G02149VR	SID252283840
G02152MS	CID71297827
G02152MS	SID252289073
G02162KR	CID91854669
G02162KR	SID252287327
G02174FQ	CID91847514
G02174FQ	SID252278814
G02182MJ	CID71297934
G02182MJ	SID252278072
G02193CV	CID71297958
G02193CV	SID252283451
G02207TG	CID91851924
G02207TG	SID252284045
G02226PP	CID91861367
G02226PP	SID252295354
G02240AO	CID52921591
G02240AO	SID252276715
G02244ID	CID71298334
G02244ID	SID252286955
G02252NT	CID67350816
G02252NT	SID252292116
G02259AO	CID91845327
G02259AO	SID252276199
G02273DT	CID91857477
G02273DT	SID252290687
G02284UY	CID91846518
G02284UY	SID252277613
G02288EO	CID91847590
G02288EO	SID252278917
G02290KA	CID91861566
G02290KA	SID252295590
G02302MM	CID91845708
G02302MM	SID252276644
G02310VX	CID91846269
G02310VX	SID252277317
G02311IE	CID91845352
G02311IE	SID252276229
G02322JK	CID71297949
G02322JK	SID252294932
G02349HM	CID91845940
G02349HM	SID252276920
G02353KU	CID91855865
G02353KU	SID252288768
G02363VZ	CID91846712
G02363VZ	SID252277849
G02379AH	CID91855904
G02379AH	SID252288812
G02387FV	CID91857114
G02387FV	SID252290258
G02393VO	CID91859299
G02393VO	SID252292866
G02402HF	CID91852198
G02402HF	SID252284377
G02403ZU	CID91860670
G02403ZU	SID252294520
G02425YO	CID70679009
G02425YO	SID252284357
G02441OB	CID91847409
G02441OB	SID252278688
G02442MH	CID71298268
G02442MH	SID252276778
G02442YU	CID91853247
G02442YU	SID252285626
G02470WS	CID91860067
G02470WS	SID252293784
G02471GW	CID91849679
G02471GW	SID252281381
G02474FD	CID91851621
G02474FD	SID252283677
G02483WT	CID91848235
G02483WT	SID252279691
G02522JF	CID91860936
G02522JF	SID252294841
G02533LL	CID91854800
G02533LL	SID252287490
G02534MS	CID91858631
G02534MS	SID252292072
G02541EM	CID91860664
G02541EM	SID252294514
G02562EQ	CID91861616
G02562EQ	SID252295649
G02568AU	CID91860762
G02568AU	SID252294632
G02582JY	CID91855950
G02582JY	SID252288864
G02594WS	CID51351681
G02594WS	SID252297043
G02622IU	CID91853014
G02622IU	SID252285353
G02633ON	CID91857185
G02633ON	SID252290344
G02646YL	CID91847128
G02646YL	SID252278348
G02657AK	CID45266844
G02657AK	SID252280026
G02657BS	CID91859035
G02657BS	SID252292561
G02660IC	CID91845980
G02660IC	SID252276966
G02660UC	CID91846896
G02660UC	SID252278060
G02679YX	CID91848434
G02679YX	SID252279927
G02684WR	CID195235
G02684WR	SID252280909
G02698RR	CID91846838
G02698RR	SID252277991
G02710ET	CID53239705
G02710ET	SID252282950
G02729OV	CID56955905
G02729OV	SID252287447
G02747VH	CID57339202
G02747VH	SID252280809
G02753DE	CID9967861
G02753DE	SID252276597
G02760XH	CID91857480
G02760XH	SID252290690
G02763QD	CID91858454
G02763QD	SID252291854
G02786XX	CID91852690
G02786XX	SID252284972
G02799CL	CID71298438
G02799CL	SID252289801
G02816CI	CID21627868
G02816CI	SID252286941
G02826HN	CID91856665
G02826HN	SID252289727
G02837JA	CID91845906
G02837JA	SID252276882
G02844SX	CID71298420
G02844SX	SID252282827
G02878SQ	CID91859497
G02878SQ	SID252293102
G02880JU	CID10221550
G02880JU	SID252284175
G02882XF	CID91852065
G02882XF	SID252284215
G02915XR	CID71297478
G02915XR	SID252294986
G02934UB	CID91861770
G02934UB	SID252295831
G02945KQ	CID71297780
G02945KQ	SID252288540
G02998EX	CID10973189
G02998EX	SID252289728
G03003KR	CID91860336
G03003KR	SID252294110
G03004PD	CID91858425
G03004PD	SID252291819
G03006JP	CID45266782
G03006JP	SID252286446
G03015NB	CID91855833
G03015NB	SID252288734
G03016BW	CID91857068
G03016BW	SID252290204
G03021WA	CID91847852
G03021WA	SID252279232
G03044ED	CID70698370
G03044ED	SID252288483
G03049NB	CID91846961
G03049NB	SID252278139
G03052ZR	CID71298277
G03052ZR	SID252290832
G03053IU	CID91853859
G03053IU	SID252286346
G03054QW	CID91857950
G03054QW	SID252291258
G03065ZA	CID91852517
G03065ZA	SID252284762
G03067VG	CID91847190
G03067VG	SID252278423
G03074ZG	CID74539962
G03074ZG	SID252287449
G03075ZE	CID91849173
G03075ZE	SID252280785
G03085SQ	CID91845630
G03085SQ	SID252276554
G03091JM	CID91849865
G03091JM	SID252281593
G03098CZ	CID91849957
G03098CZ	SID252281708
G03106MF	CID91846767
G03106MF	SID252277908
G03116ET	CID439606
G03116ET	SID252278260
G03140AX	CID91860374
G03140AX	SID252294158
G03164NE	CID91851871
G03164NE	SID252283982
G03168RN	CID91852867
G03168RN	SID252285174
G03177HU	CID91861649
G03177HU	SID252295688
G03207XQ	CID71297995
G03207XQ	SID252277578
G03216SJ	CID91857420
G03216SJ	SID252290617
G03230AX	CID91852136
G03230AX	SID252284298
G03247RO	CID91855038
G03247RO	SID252287781
G03250GT	CID71297498
G03250GT	SID252278578
G03250UN	CID91851219
G03250UN	SID252283213
G03260OU	CID91859006
G03260OU	SID252292527
G03266UM	CID91857163
G03266UM	SID252290318
G03272YQ	CID91857659
G03272YQ	SID252290908
G03277UZ	CID91852147
G03277UZ	SID252284311
G03277YI	CID91850212
G03277YI	SID252282012
G03296OS	CID91857597
G03296OS	SID252290829
G03304QB	CID91847785
G03304QB	SID252279148
G03309JT	CID91860095
G03309JT	SID252293817
G03316TJ	CID91861578
G03316TJ	SID252295602
G03321AC	CID91858436
G03321AC	SID252291833
G03324AT	CID91859334
G03324AT	SID252292905
G03332JB	CID91858169
G03332JB	SID252291513
G03333ZM	CID91854396
G03333ZM	SID252287003
G03345AP	CID91845297
G03345AP	SID252276168
G03361KC	CID91847031
G03361KC	SID252278222
G03368AU	CID91846210
G03368AU	SID252277242
G03385XG	CID91853560
G03385XG	SID252286000
G03389ET	CID91850812
G03389ET	SID252282724
G03414KZ	CID71297846
G03414KZ	SID252294459
G03431NA	CID91851336
G03431NA	SID252283342
G03439PY	CID91852923
G03439PY	SID252285245
G03443JC	CID91846061
G03443JC	SID252277062
G03445UI	CID91849008
G03445UI	SID252280595
G03457IA	CID91852385
G03457IA	SID252284603
G03480UY	CID91857355
G03480UY	SID252290536
G03499BP	CID440511
G03499BP	SID252294969
G03506YN	CID91849078
G03506YN	SID252280676
G03509EL	CID91846992
G03509EL	SID252278174
G03529DJ	CID91859811
G03529DJ	SID252293476
G03542LT	CID91846364
G03542LT	SID252277426
G03542TR	CID91861571
G03542TR	SID252295595
G03564IA	CID91848556
G03564IA	SID252280068
G03572II	CID91862907
G03572II	SID252297225
G03591CN	CID91849986
G03591CN	SID252281739
G03595ET	CID91849068
G03595ET	SID252280663
G03600YM	CID91850118
G03600YM	SID252281892
G03605AV	CID91857506
G03605AV	SID252290718
G03605BS	CID91848985
G03605BS	SID252280570
G03629LR	CID91847853
G03629LR	SID252279233
G03637TP	CID91851622
G03637TP	SID252283678
G03644PT	CID91857701
G03644PT	SID252290958
G03649KR	CID71298182
G03649KR	SID252288793
G03652TR	CID71297616
G03652TR	SID252281213
G03652XH	CID91855210
G03652XH	SID252287980
G03654ML	CID71297469
G03654ML	SID252294617
G03674DI	CID91847677
G03674DI	SID252279021
G03681UF	CID71297594
G03681UF	SID252278307
G03723FD	CID91845717
G03723FD	SID252276655
G03723SL	CID14605946
G03723SL	SID252281314
G03727RK	CID91858044
G03727RK	SID252291365
G03728KZ	CID91848604
G03728KZ	SID252280130
G03739GM	CID91862055
G03739GM	SID252296172
G03740OH	CID71297672
G03740OH	SID252284509
G03750RD	CID71297944
G03750RD	SID252292851
G03756VW	CID9908032
G03756VW	SID252281629
G03764XL	CID91852337
G03764XL	SID252284548
G03766GQ	CID91852226
G03766GQ	SID252284409
G03767RW	CID91853214
G03767RW	SID252285586
G03770HX	CID70698331
G03770HX	SID252287426
G03777BI	CID91852813
G03777BI	SID252285115
G03789VH	CID91856726
G03789VH	SID252289802
G03792OA	CID91861890
G03792OA	SID252295970
G03796EF	CID91857237
G03796EF	SID252290403
G03818JD	CID91851791
G03818JD	SID252283888
G03820FM	CID71297619
G03820FM	SID252282828
G03825XC	CID91846582
G03825XC	SID252277692
G03834RX	CID71297441
G03834RX	SID252278038
G03851WA	CID71297447
G03851WA	SID252296199
G03861VK	CID21572948
G03861VK	SID252288955
G03862KK	CID3080780
G03862KK	SID252284496
G03889QT	CID91854152
G03889QT	SID252286700
G03909YF	CID91847513
G03909YF	SID252278813
G03916DL	CID71298192
G03916DL	SID252295732
G03919ED	CID91861612
G03919ED	SID252295645
