GlyTouCan AC	Species Name	AnnotationCategory	Source	Source ID	tax_id
G00002CF	Rat	Subsumption	GNOme	G84891DZ	
G00012MO	Human	Subsumption	GNOme	G57710SU	
G00012MO	Mouse	Subsumption	GNOme	G57710SU	
G00012MO	Rat	Subsumption	GNOme	G57710SU	
G00016MO	Human	Subsumption	GNOme	G62763GO	
G00016MO	Human	Subsumption	GNOme	G67988RO	
G00016MO	Mouse	Subsumption	GNOme	G67988RO	
G00017MO	Human	Direct	GlyTouCan	G00017MO	9606
G00018MO	Rat	Direct	GlyTouCan	G00018MO	10114
G00025AJ	Human	Direct	GlyTouCan	G00025AJ	9606
G00025YC	Human	Subsumption	GNOme	G13583BZ	
G00026MO	Human	Subsumption	GNOme	G20624LQ	
G00026MO	Human	Subsumption	GNOme	G22768VO	
G00026MO	Mouse	Subsumption	GNOme	G20624LQ	
G00026MO	Mouse	Subsumption	GNOme	G22768VO	
G00026MO	Rat	Subsumption	GNOme	G22768VO	
G00026MO	SARS	Subsumption	GNOme	G22768VO	
G00027MO	Mouse	Direct	GlyConnect	1555	10090
G00027MO	Rat	Direct	GlyTouCan	G00027MO	10114
G00027MO	Rat	Direct	GlyTouCan	G00027MO	10116
G00028MO	Human	Subsumption	GNOme	G03652TR	
G00028MO	Human	Subsumption	GNOme	G55220VL	
G00028MO	Mouse	Subsumption	GNOme	G03652TR	
G00028MO	Mouse	Subsumption	GNOme	G55220VL	
G00028MO	Rat	Subsumption	GNOme	G03652TR	
G00028MO	Rat	Subsumption	GNOme	G55220VL	
G00029MO	Human	Subsumption	GNOme	G04445KN	
G00029MO	Human	Subsumption	GNOme	G53168IY	
G00029MO	Human	Subsumption	GNOme	G75896PD	
G00029MO	Human	Subsumption	GNOme	G87320GN	
G00030MO	Human	Subsumption	GNOme	G39213VZ	
G00030MO	Human	Subsumption	GNOme	G42679AH	
G00030MO	Human	Subsumption	GNOme	G56175ED	
G00030MO	Human	Subsumption	GNOme	G84678BK	
G00030MO	Human	Subsumption	GNOme	G88876JQ	
G00030MO	Mouse	Subsumption	GNOme	G39213VZ	
G00030MO	Mouse	Subsumption	GNOme	G84678BK	
G00030MO	Mouse	Subsumption	GNOme	G88876JQ	
G00030MO	Rat	Subsumption	GNOme	G39213VZ	
G00030MO	Rat	Subsumption	GNOme	G88876JQ	
G00031MO	Human	Direct	GlyConnect	1947	9606
G00031MO	Human	Direct	GlyTouCan	G00031MO	9606
G00031MO	Human	Direct	UniCarbKB	4	9606
G00031MO	Mouse	Direct	GlyConnect	1947	10090
G00031MO	Mouse	Direct	GlyTouCan	G00031MO	10090
G00031MO	Rat	Direct	GlyConnect	1947	10116
G00031MO	Rat	Direct	GlyTouCan	G00031MO	10114
G00031MO	Rat	Direct	GlyTouCan	G00031MO	10116
G00032MO	Human	Subsumption	GNOme	G00031MO	
G00032MO	Human	Subsumption	GNOme	G01534TU	
G00032MO	Mouse	Subsumption	GNOme	G00031MO	
G00032MO	Mouse	Subsumption	GNOme	G78436BB	
G00032MO	Rat	Subsumption	GNOme	G00031MO	
G00032MO	Rat	Subsumption	GNOme	G78436BB	
G00033MO	Human	Direct	GlyConnect	3318	9606
G00033MO	Human	Direct	GlyTouCan	G00033MO	9606
G00033MO	Mouse	Direct	GlyConnect	3318	10090
G00033MO	Rat	Direct	GlyConnect	3318	10116
G00034MO	Human	Direct	GlyTouCan	G00034MO	9606
G00034MO	Mouse	Subsumption	GNOme	G00033MO	
G00034MO	Rat	Direct	GlyTouCan	G00034MO	10114
G00035MO	Human	Direct	GlyConnect	2294	9606
G00035MO	Human	Direct	GlyTouCan	G00035MO	9606
G00035MO	Rat	Direct	GlyConnect	2294	10116
G00036MO	Human	Direct	GlyTouCan	G00036MO	9606
G00036MO	Rat	Subsumption	GNOme	G00035MO	
G00036MO	Rat	Subsumption	GNOme	G85714GY	
G00037MO	Human	Direct	GlyTouCan	G00037MO	9606
G00038MO	Human	Direct	GlyTouCan	G00038MO	9606
G00038MO	Rat	Subsumption	GNOme	G18892PE	
G00039MO	Human	Direct	GlyConnect	500	9606
G00039MO	Human	Direct	GlyTouCan	G00039MO	9606
G00039MO	Mouse	Direct	GlyConnect	500	10090
G00039MO	Rat	Direct	GlyConnect	500	10116
G00039MO	SARS	Direct	GlyConnect	500	2697049
G00040MO	Human	Direct	GlyTouCan	G00040MO	9606
G00040MO	Mouse	Subsumption	GNOme	G00039MO	
G00040MO	Mouse	Subsumption	GNOme	G45388GV	
G00040MO	Rat	Subsumption	GNOme	G00039MO	
G00040MO	Rat	Subsumption	GNOme	G97834OQ	
G00040MO	SARS	Subsumption	GNOme	G00039MO	
G00041IL	Human	Subsumption	GNOme	G19749DC	
G00041MO	Human	Direct	GlyConnect	690	9606
G00041MO	Mouse	Direct	GlyConnect	690	10090
G00042MO	Human	Direct	GlyTouCan	G00042MO	9606
G00042MO	Mouse	Subsumption	GNOme	G00041MO	
G00044MO	Human	Direct	GlyTouCan	G00044MO	9606
G00046MO	Human	Subsumption	GNOme	G24432YB	
G00046MO	Mouse	Subsumption	GNOme	G78260AJ	
G00046MO	Rat	Subsumption	GNOme	G78260AJ	
G00047MO	Human	Direct	GlyTouCan	G00047MO	9606
G00047MO	Mouse	Subsumption	GNOme	G39023AU	
G00047MO	Rat	Subsumption	GNOme	G39023AU	
G00048MO	Human	Direct	GlyTouCan	G00048MO	9606
G00048MO	Mouse	Direct	GlyTouCan	G00048MO	10090
G00049MO	Human	Direct	GlyTouCan	G00049MO	9606
G00050MO	Human	Direct	GlyTouCan	G00050MO	9606
G00050MO	Mouse	Direct	GlyTouCan	G00050MO	10090
G00050MO	Rat	Direct	GlyTouCan	G00050MO	10114
G00051MO	Human	Direct	GlyTouCan	G00051MO	9606
G00051MO	Mouse	Direct	GlyTouCan	G00051MO	10090
G00052MO	Human	Direct	GlyTouCan	G00052MO	9606
G00052MO	Mouse	Direct	GlyTouCan	G00052MO	10090
G00052MO	Rat	Direct	GlyTouCan	G00052MO	10114
G00053MO	Human	Direct	GlyTouCan	G00053MO	9606
G00053MO	Mouse	Direct	GlyTouCan	G00053MO	10090
G00054MO	Human	Direct	GlyTouCan	G00054MO	9606
G00054MO	Mouse	Direct	GlyTouCan	G00054MO	10090
G00054MO	Rat	Direct	GlyTouCan	G00054MO	10114
G00055MO	Human	Direct	GlyTouCan	G00055MO	9606
G00056HH	Human	Subsumption	GNOme	G26144DH	
G00056HH	Human	Subsumption	GNOme	G39452ZZ	
G00056HH	Human	Subsumption	GNOme	G45300SB	
G00056HH	Human	Subsumption	GNOme	G45359RY	
G00056HH	Human	Subsumption	GNOme	G57081YJ	
G00056HH	Mouse	Subsumption	GNOme	G39452ZZ	
G00056HH	Mouse	Subsumption	GNOme	G45359RY	
G00056HH	Rat	Subsumption	GNOme	G39452ZZ	
G00056HH	Rat	Subsumption	GNOme	G45359RY	
G00056HH	Rat	Subsumption	GNOme	G57081YJ	
G00056MO	Human	Direct	GlyTouCan	G00056MO	9606
G00057LF	Human	Subsumption	GNOme	G01670UQ	
G00057LF	Human	Subsumption	GNOme	G04909DG	
G00057LF	Human	Subsumption	GNOme	G07995VK	
G00057LF	Human	Subsumption	GNOme	G08646YJ	
G00057LF	Human	Subsumption	GNOme	G09811YI	
G00057LF	Human	Subsumption	GNOme	G26164VG	
G00057LF	Human	Subsumption	GNOme	G36598FV	
G00057LF	Human	Subsumption	GNOme	G37591JC	
G00057LF	Human	Subsumption	GNOme	G37868ZX	
G00057LF	Human	Subsumption	GNOme	G42846BO	
G00057LF	Human	Subsumption	GNOme	G44826KU	
G00057LF	Human	Subsumption	GNOme	G45560HM	
G00057LF	Human	Subsumption	GNOme	G46754UW	
G00057LF	Human	Subsumption	GNOme	G50739NP	
G00057LF	Human	Subsumption	GNOme	G57413FT	
G00057LF	Human	Subsumption	GNOme	G58236FD	
G00057LF	Human	Subsumption	GNOme	G62785VB	
G00057LF	Human	Subsumption	GNOme	G65835SY	
G00057LF	Human	Subsumption	GNOme	G66377OH	
G00057LF	Human	Subsumption	GNOme	G68318SH	
G00057LF	Human	Subsumption	GNOme	G71269BI	
G00057LF	Human	Subsumption	GNOme	G73455AR	
G00057LF	Human	Subsumption	GNOme	G75850OP	
G00057LF	Human	Subsumption	GNOme	G76675AB	
G00057LF	Human	Subsumption	GNOme	G77177HT	
G00057LF	Human	Subsumption	GNOme	G81282CC	
G00057LF	Human	Subsumption	GNOme	G87433AX	
G00057LF	Human	Subsumption	GNOme	G91365ZQ	
G00057LF	Human	Subsumption	GNOme	G93284HQ	
G00057LF	Mouse	Subsumption	GNOme	G09811YI	
G00057LF	Mouse	Subsumption	GNOme	G13257IK	
G00057LF	Mouse	Subsumption	GNOme	G19914RN	
G00057LF	Mouse	Subsumption	GNOme	G58370UT	
G00057LF	Mouse	Subsumption	GNOme	G66377OH	
G00057LF	Mouse	Subsumption	GNOme	G77177HT	
G00057LF	Mouse	Subsumption	GNOme	G93284HQ	
G00057LF	Rat	Subsumption	GNOme	G21823MR	
G00057LF	Rat	Subsumption	GNOme	G66377OH	
G00057LF	Rat	Subsumption	GNOme	G76675AB	
G00057MO	Human	Direct	GlyTouCan	G00057MO	9606
G00058MO	Human	Direct	GlyTouCan	G00058MO	9606
G00058MO	Mouse	Direct	GlyTouCan	G00058MO	10090
G00058XR	Human	Subsumption	GNOme	G03965VN	
G00058XR	Human	Subsumption	GNOme	G54553CA	
G00059MO	Human	Direct	GlyTouCan	G00059MO	9606
G00059MO	Mouse	Direct	GlyTouCan	G00059MO	10090
G00059MO	Rat	Direct	GlyTouCan	G00059MO	10114
G00060BT	Human	Direct	GlyTouCan	G00060BT	9606
G00061MO	Human	Direct	GlyTouCan	G00061MO	9606
G00061MO	Mouse	Direct	GlyTouCan	G00061MO	10090
G00061MO	Rat	Direct	GlyTouCan	G00061MO	10114
G00063MO	Human	Direct	GlyTouCan	G00063MO	9606
G00065MO	Human	Direct	GlyConnect	2804	9606
G00065MO	Human	Direct	GlyTouCan	G00065MO	9606
G00066MO	Human	Direct	GlyTouCan	G00066MO	9606
G00066MO	Rat	Direct	GlyTouCan	G00066MO	10114
G00066MO	Rat	Direct	GlyTouCan	G00066MO	10116
G00066WY	Human	Subsumption	GNOme	G70874WW	
G00066WY	Mouse	Subsumption	GNOme	G70874WW	
G00066WY	Rat	Subsumption	GNOme	G70874WW	
G00068MO	Human	Direct	GlyTouCan	G00068MO	9606
G00069MO	Human	Direct	GlyTouCan	G00069MO	9606
G00069MO	Mouse	Subsumption	GNOme	G45827GY	
G00069MO	Rat	Subsumption	GNOme	G45827GY	
