GlyTouCanAccession	Relationship	RelatedAccession
G00002CF	SubsumedBy	G14402CS
G00002CF	SubsumedBy	G48736CB
G00002CF	Subsumes	G86094NY
G00009BX	SubsumedBy	G97996TJ
G00009BX	Subsumes	G81697WS
G00012MO	SubsumedBy	G15216HY
G00012MO	SubsumedBy	G29964CE
G00012MO	Subsumes	G19926LY
G00012RZ	SubsumedBy	G15037AY
G00013MO	SubsumedBy	G24521PI
G00013MO	Subsumes	G99042JP
G00014MO	SubsumedBy	G12014ZL
G00014MO	Subsumes	G40793GY
G00015MO	SubsumedBy	G23069WI
G00015MO	Subsumes	G88435BP
G00016MO	SubsumedBy	G61666PA
G00016MO	Subsumes	G62763GO
G00017MO	SubsumedBy	G54898GA
G00017MO	SubsumedBy	G81929CN
G00017MO	Subsumes	G27725RJ
G00018MO	SubsumedBy	G43666WL
G00018MO	Subsumes	G51287TZ
G00019MO	SubsumedBy	G98081AU
G00020MO	SubsumedBy	G65701KB
G00020MO	Subsumes	G71561JP
G00021MO	SubsumedBy	G50697FX
G00022MO	SubsumedBy	G46912MY
G00023MO	SubsumedBy	G83969XC
G00024MO	SubsumedBy	G44414OJ
G00025AJ	SubsumedBy	G68137QB
G00025MO	SubsumedBy	G65718MY
G00025YC	SubsumedBy	G90713ZK
G00025YC	Subsumes	G13583BZ
G00025YC	Subsumes	G89375LQ
G00026MO	SubsumedBy	G89797IW
G00026MO	Subsumes	G34749PQ
G00026MO	Subsumes	G97547WF
G00027JG	SubsumedBy	G17734NH
G00027JG	Subsumes	G66040YD
G00027MO	SubsumedBy	G88469YE
G00028MO	SubsumedBy	G53758RJ
G00028MO	SubsumedBy	G88492IK
G00028MO	Subsumes	G03652TR
G00029MO	SubsumedBy	G69542CQ
G00029MO	Subsumes	G45374ZW
G00029MO	Subsumes	G87320GN
G00030MO	SubsumedBy	G10996NE
G00030MO	Subsumes	G01364WM
G00030MO	Subsumes	G41125AS
G00031MO	SubsumedBy	G00682IE
G00031MO	SubsumedBy	G23202WP
G00031MO	SubsumedBy	G50849VH
G00031MO	SubsumedBy	G54499HR
G00031MO	SubsumedBy	G78436BB
G00031MO	SubsumedBy	G89089XB
G00032MO	SubsumedBy	G30710NE
G00032MO	SubsumedBy	G65288NK
G00032MO	Subsumes	G23202WP
G00032MO	Subsumes	G78436BB
G00032MO	Subsumes	G05633TS
G00033MO	SubsumedBy	G26493RP
G00033MO	SubsumedBy	G40765JD
G00033MO	SubsumedBy	G82950HY
G00034MO	SubsumedBy	G27304YE
G00034MO	Subsumes	G82950HY
G00034WH	SubsumedBy	G72079HR
G00034WH	Subsumes	G06353XM
G00035MO	SubsumedBy	G00219VH
G00035MO	SubsumedBy	G64842RE
G00035MO	SubsumedBy	G85714GY
G00036MO	SubsumedBy	G68646SF
G00036MO	Subsumes	G64842RE
G00036MO	Subsumes	G85714GY
G00037MO	SubsumedBy	G18892PE
G00037MO	SubsumedBy	G51984GX
