GlyTouCan AC	Tissue	Species	AnnotationCategory	Source	Source ID
G00008SX	UBERON:0002107	Human	Direct	PubMed	28122943
G00008SX	UBERON:0002107	Human	Direct	TableMaker	GLY_001408
G00025HU	UBERON:0001977	Human	Subsumption	GNOme	G88242BL
G00028MO	UBERON:0000029	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0000948	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0001155	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0001264	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0001977	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002048	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002106	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002107	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002108	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002419	Human	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0000473	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0000948	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0000955	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0000964	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0000992	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0001155	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002048	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002106	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002107	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002108	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002113	Mouse	Subsumption	GNOme	G03652TR
G00028MO	UBERON:0002370	Mouse	Subsumption	GNOme	G03652TR
G00030MO	UBERON:0001977	Human	Subsumption	GNOme	G88876JQ
G00030MO	UBERON:0000160	ZebraFish	Subsumption	GNOme	G88876JQ
G00030MO	UBERON:0000473	ZebraFish	Subsumption	GNOme	G88876JQ
G00030MO	UBERON:0000948	ZebraFish	Subsumption	GNOme	G88876JQ
G00051UX	UBERON:0000948	Human	Subsumption	GNOme	G67200RM
G00051UX	UBERON:0001155	Human	Subsumption	GNOme	G67200RM
G00051UX	UBERON:0001827	Human	Subsumption	GNOme	G67200RM
