GlyTouCanAccession	UniCarbDBID
G14191ZT	29511
G14191ZT	29749
G14205YR	29701
G14469GR	1581
G14623FX	29730
G14812IG	27329
G14838TI	29235
G14847GM	28919
G15050SW	28818
G15050SW	29929
G15367TG	29526
G15648GT	29661
G16078YI	29605
G16365JY	29634
G16440EL	29773
G16598VU	29180
G16717IV	1596
G16768LX	1521
G17100VY	28845
G17108EX	155
G17331WA	29666
G17331WA	29949
G17361GJ	28795
G17457PQ	29655
G17800QD	1501
G18132YR	29417
G18132YR	29518
G18132YR	29818
G18132YR	581
G18290SV	29317
G18559VR	7171
G18573YO	29318
G18603OH	28892
G18653BM	29567
G18653BM	7144
G18702SB	28965
G18930SC	29823
G18950NM	2129
G18950NM	29648
G18958EQ	28935
G19592AH	29385
G19756XC	29654
G19763QB	1583
G19894RH	1479
G19949UL	1468
G20453WS	29721
G20735IM	29714
G20860NB	29624
G21028JD	28881
G21168QR	28944
G21170XT	29267
G21251LN	1512
G21269SH	10336
G21312EA	29415
G21312EA	3088
G21360BF	28784
G22487KJ	29186
G22555FB	28995
G22558VL	28886
G22638DS	29292
G22670XR	28878
G22733YM	29796
G22754FQ	2380
G22766AZ	29306
G22976NF	5821
G23082UF	29596
G23152RS	29820
G23532MP	28786
G23579PC	29831
G23888EZ	29626
G24036VH	29325
G24151NT	7080
G24256XU	29533
G24256XU	29797
G24327KR	29682
G24516WB	29178
G24593DX	29256
G24739SA	27314
G24782UB	29349
G24856YP	29630
G25040JY	29549
G25380IT	29639
G25380IT	29945
G25436EB	27330
G25592WY	29270
G25651TK	2507
G25744PP	29013
G25764FB	29323
G25795DA	29771
G26250DB	29356
G26712CT	29598
G26911EP	29312
G26934CO	28877
G27025MB	4776
G27071PO	29708
G27170NH	2332
G27196XM	29258
G27314YB	1504
G27721RV	29548
G28183PJ	29279
G28493ST	29392
G28582VX	28979
G28678RG	29245
G28749YQ	29619
G28749YQ	29961
G28878FC	28778
G28878FC	29780
G29675VZ	29744
G30182VC	29649
G30524IG	29418
G30976UY	29536
G31118TG	28981
G31378RD	28895
G31411IU	29353
G31601FB	29414
G31601FB	29509
G31601FB	568
G31668AP	5431
G31941YJ	29145
G32065KX	29383
G32104HQ	28890
G32112SX	29754
G32216IU	29638
G32418EP	29597
G32455PS	29281
G32541GR	28811
G32735YJ	29843
G32810TH	29351
G32863IR	29726
G32915BP	1520
G33192XL	1503
G33294DV	28820
G33294DV	29777
G33574JX	29069
G33719VU	29659
G33719VU	29966
G33886DT	29645
G34162ZB	29365
G34277BH	29398
G34539VP	29627
G34596BP	29355
G34822AT	29072
G34983YN	29246
G35199BM	29671
G35491XU	29389
G35679QA	29420
G35679QA	29554
G35679QA	4088
G35684CI	29541
