GlyTouCanAccession	UniCarbKBID
G00008BG	comp_HexNAc0Hex6dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G00031MO	4
G00031MO	G00031MO
G00032MO	G00032MO
G00124SJ	comp_HexNAc8Hex9dHex5NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G00131HY	comp_HexNAc4Hex3dHex0NeuAc0NeuGc0Pent1S0P0KDN0HexA0
G00176HZ	3287
G00176HZ	G00176HZ
G00194GV	comp_HexNAc1Hex0dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G00227RN	7149
G00281HB	7675
G00337GM	comp_HexNAc8Hex10dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G00395TQ	2553
G00463XD	7453
G00551JZ	4799
G00553AN	7817
G00711RI	comp_HexNAc7Hex8dHex0NeuAc1NeuGc4Pent0S0P0KDN0HexA0
G00800WJ	7151
G00841YH	comp_HexNAc2Hex4dHex0NeuAc3NeuGc0Pent0S0P0KDN0HexA0
G00912UN	G00912UN
G00912UN	comp_HexNAc4Hex5dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G00986YT	3391
G01040ZV	G01040ZV
G01367ZS	7940
G01367ZS	G01367ZS
G01550VZ	comp_HexNAc4Hex5dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA0
G01600VV	3457
G01608SO	comp_HexNAc7Hex12dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G01614ZM	7665
G01614ZM	96
G01633XH	comp_HexNAc3Hex3dHex4NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G01650EU	G01650EU
G01650EU	comp_HexNAc3Hex6dHex0NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G01659NO	7435
G01664MY	comp_HexNAc1Hex1dHex0NeuAc0NeuGc0Pent0S1P0KDN0HexA1
G01747XY	comp_HexNAc6Hex11dHex5NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G01769FS	3915
G01769OH	comp_HexNAc0Hex3dHex0NeuAc2NeuGc0Pent0S0P0KDN0HexA0
G01817YC	7152
G01879YS	comp_HexNAc1Hex2dHex1NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G01937VC	comp_HexNAc2Hex7dHex0NeuAc0NeuGc0Pent0S0P1KDN0HexA0
G01944YJ	comp_HexNAc11Hex12dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G01954BU	3567
G02000AU	7663
G02057QV	comp_HexNAc5Hex6dHex0NeuAc2NeuGc1Pent0S0P0KDN0HexA0
G02287BL	comp_HexNAc6Hex7dHex2NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02311IE	1985
G02402FF	7608
G02423SU	G02423SU
G02438LG	comp_HexNAc0Hex0dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02447BS	comp_HexNAc6Hex7dHex2NeuAc1NeuGc0Pent0S0P0KDN0HexA0
G02561FC	4794
G02661MY	3463
G02809YH	comp_HexNAc3Hex2dHex1NeuAc0NeuGc0Pent0S0P0KDN0HexA0
G02815KT	G02815KT
G02815KT	comp_HexNAc2Hex5dHex0NeuAc0NeuGc0Pent0S0P0KDN0HexA0
