term (main_entry),glycan_dictionary_accession,glytoucan_accession ,term_in_sentence,publication,definition,term_xref,best_match,synonymns,function,disease_associations,wikipedia,essentials_of_glycobiology
"2,6-Branched O-mannose",GD000001,G06953DR,"Collectively, these results strongly suggest that GnT-IX may be a novel beta1,6-N-acetylglucosaminyltransferase that is responsible for the formation of the 2,6-branched structure in the brain O-mannosyl glycan.[PMID:14617637]",14617637|10469154,"(2S,4S,5R,6R)-5-Acetamido-2-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-6-[[(2R,3S,4S,5S,6S)-5-[(2S,3R,4R,5S,6R)-3-acetamido-5-[(2S,3R,4S,5S,6R)-4-[(2S,4S,5R,6R)-5-acetamido-2-carboxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-4-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-3,4,6-trihydroxyoxan-2-yl]methoxy]-4-hydroxy-2-(hydroxymethyl)oxan-3-yl]oxy-3,5-dihydroxy-6-(hydroxymethyl)oxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid.[CHEBI:157265]",CHEBI:157265|GlycoMotif:GGM.000056,CHEBI:157265|GlycoMotif:GGM.000056|GTC:G06953DR,"5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosylonic acid-(2→3)-beta-D-galacto-hexopyranosyl-(1→4)-2-acetamido-2-deoxy-beta-D-gluco-hexopyranosyl-(1→2)-[5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosylonic acid-(2→3)-beta-D-galacto-hexopyranosyl-(1→4)-2-acetamido-2-deoxy-beta-D-gluco-hexopyranosyl-(1→6)]-alpha-D-manno-hexopyranose|NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-2)[NeuAc(a2-3)Gal(b1-4)GlcNAc(b1-6)]a-Man",,,,
"2,6-sialyl-Sulfo-LN",GD000002,G41145LF,The alpha2-6-sialylated 6-sulfo-LacNAc determinant defined by the antibody was significantly expressed on a majority of normal human peripheral B-lymphocytes as well as follicular B-lymphocytes in peripheral lymph nodes.[PMID:17728258],17728258,,GlycoMotif:GGM.000026,GlycoMotif:GGM.000026|GTC:G41145LF,6-sialyl-6-sulfo LN,B-cell interaction with blood vessels and trafficking[PMID: 17728258],,,
2-Fucosyl-GD1b,GD000003,G67383AR,"They were fucosyl-Gv., fucoSyl-GDlb, and two uni que fucogangliosides having GMl or GOlb bas ic structure containing a substituent with the blood group B determinant. [PMID:3654655]",3654655,"(2S,4S,5R,6R)-5-Acetamido-6-[(1S,2R)-2-[(2S,4S,5R,6R)-5-acetamido-2-carboxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxan-2-yl]oxy-1,3-dihydroxypropyl]-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-4-hydroxyoxane-2-carboxylic acid.[CHEBI:156680]",CHEBI:156680|GlycoMotif:GGM.000103,CHEBI:156680|GlycoMotif:GGM.000103|GTC:G67383AR,"6-deoxy-alpha-L-galacto-hexopyranosyl-(1→2)-beta-D-galacto-hexopyranosyl-(1→3)-2-acetamido-2-deoxy-beta-D-galacto-hexopyranosyl-(1→4)-[5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosylonic acid-(2→8)-5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosylonic acid-(2→3)]-beta-D-galacto-hexopyranosyl-(1→4)-D-gluco-hexopyranose|Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[NeuAc(a2-8)NeuAc(a2-3)]Gal(b1-4)Glc",,,,
2-Fucosyl-GM1,GD000004,G56526JU,"These glycolipid products were identified as asialo-Gs.., GM h and fucosyl-Gq, by comparison with authentic glycolipid samples.[PMID:3654655]",3654655,"(2S,4S,5R,6R)-5-Acetamido-2-[(2R,3S,4R,5R,6S)-3-[(2S,3R,4R,5R,6R)-3-acetamido-4-[(2R,3R,4S,5R,6R)-4,5-dihydroxy-6-(hydroxymethyl)-3-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-2-yl]oxy-5-hydroxy-6-(hydroxymethyl)oxan-2-yl]oxy-5-hydroxy-2-(hydroxymethyl)-6-[(2R,3S,4R,5R)-4,5,6-trihydroxy-2-(hydroxymethyl)oxan-3-yl]oxyoxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid.[CHEBI:151476]",KEGG:G12241|CHEBI:151476|CID:91849786|GlycoMotif:GGM.000101,KEGG:G12241|CHEBI:151476|CID:91849786|GlycoMotif:GGM.000101|GTC:G56526JU,"Fuc(a1-2)Gal(b1-3)GalNAc(b1-4)[NeuAc(a2-3)]Gal(b1-4)Glc|6-deoxy-alpha-L-galacto-hexopyranosyl-(1→2)-beta-D-galacto-hexopyranosyl-(1→3)-2-acetamido-2-deoxy-beta-D-galacto-hexopyranosyl-(1→4)-[5-acetamido-3,5-dideoxy-D-glycero-alpha-D-galacto-non-2-ulopyranosylonic acid-(2→3)]-beta-D-galacto-hexopyranosyl-(1→4)-D-gluco-hexopyranose",,,,
3-Sialyl-LN (type 2),GD000005,G10203DW,"Using new crystal structures, we also provide the atomic resolution basis for the differential recognition of 3′ and 6′SiaLacNAc1–4 (with the Galβ1–4 linkage known as Type 2 backbone16; Scheme 1) by TgMIC1-MARR, and make comparisons with the Type 1 chain isomer of 3′SiaLacNAc1–4 (designated 3′SiaLacNAc1–3).[PMID:19593815]",19593815|15659615|2414279|8586620|2111348|23747419,"A linear amino trisaccharide consisting of α-neuraminyl, β-D-galactosyl and N-acetyl-D-glucosamine residues linked in a (2→3) and (1→4) sequence.[CHEBI:52472]",KEGG:G00253|SugarBind_Ligand:109|GlycoEpitope:EP0314|CHEBI:52472|GlycoMotif:GGM.000034,GTC:G10203DW|KEGG:G00253|SugarBind_Ligand:109|GlycoEpitope:EP0314|CHEBI:52472|GlycoMotif:GGM.000034,"A linear amino pentasaccharide consisting of a chain of three α-sialyl residues, a β-D-galactosyl residue and a β-D-glucose residue linked sequentially (2→8), (2→8), (2→3) and (1→4).[CHEBI:72444]",,Chronic gastritis[SugarBind_Ligand:109]|Toxoplasmosis[SugarBind_Ligand:109]|Peptic ulcers[SugarBind_Ligand:109]|Gastric cancer[SugarBind_Ligand:109],,
3'-Sulfo-Lewis a,GD000006,G78706CK,A remodeling system of the 3'-sulfo-Lewis a and 3'-sulfo-Lewis x epitopes.[PMID:11504739],11504739|17499486|17691854|12944557|19394320|7534477|11604107|28025252|9061363|9878545|11918697|24239607|28628803|25339106|21400496|17998215|12626387|11425799|12219077|10955596|9453593,A branched amino trisaccharide consisting of N-acetylglucosamine having a fucosyl residue attached at the 4-position via an α-linkage and a 3-sulfated galactosyl residue attached at the 3-position via a β-linkage.[CHEBI:65149],GlycoEpitope:EP0009|CID:5289352|GlycoMotif:GGM.000030,GTC:G78706CK|GlycoEpitope:EP0009|CID:5289352|GlycoMotif:GGM.000030,3'-Sulfo-Lea|SuLe(a)|3'-sulpho-Le(a)|3-O-sulfo-Le(A)|3'-Sulfo Le^a|3'-Sulfo Lea|3'-Sulfo Lewis a,SO3-3-Gal and the SO3-3-Lea blood group antigen bound to H.pylori.[GlycoEpitope:EP0009],,,
3'-Sulfo-Lewis x,GD000007,G12295TB,A remodeling system of the 3'-sulfo-Lewis a and 3'-sulfo-Lewis x epitopes.[PMID:11504739],11504739|20695481|8688428|10536036|12770775|11352731|9784103|9022803,A sulphated version of lewis X antigen which is a amino trisaccharide with structure β-D-Galp3S-(1→4)-[α-L-Fucp-(1→3)]-D-GlcpNAc that consists of N-acetyl-beta-D-glucosamine having an alpha-L-fucosyl residue attached at position 3 and a 3-sulfated beta-D-galactosyl residue attached at position 4; beta-D-Galp3S-(1→4)-[alpha-L-Fucp-(1→3)]-D-GlcpNAc in which the configuration at the anomeric centre of the reducing-end residue is beta. [CHEBI:65171],GlycoEpitope:EP0013|CID:5289353|CHEBI:65171|GlycoMotif:GGM.000029,GTC:G12295TB|GlycoEpitope:EP0013|CID:5289353|CHEBI:65171|GlycoMotif:GGM.000029,3'-sulfo-Le(x)|3'-Sulfo Lewis x|3'-sulfo Le^x|3'-sulfo Lex,,,,
"6,6'-bisSulfo-Lewis x",GD000008,G00659GQ,"Comparison of the reactivity pattern of HEV with the reactivity of the pure 6-sulfo, 6'-sulfo, or 6,6'-bissulfo sialyl Lewis X determinant with hitherto known anti-sialyl Lewis X antibodies strongly suggested 6-sulfo sialyl Lewis X to be the best candidate for the major sulfated sialyl Lewis X determinant on HEV, followed by 6,6'-bissulfo sialyl Lewis X, whereas 6'-sulfo sialyl Lewis X was unlikely. [PMID:9556613]",19756298|14593101|15175329|14568956|12163379|11919403|11520459|10728707|10200296|10528213|9712885|9556613|9456330|9556613|9257857|9164959|9015359|8958810|7560094|7485559|7538131|8161542|7684905,"(2S,4S,5R,6R)-5-Acetamido-2-[(2S,3R,4S,5S,6R)-2-[(2R,3S,4R,5R,6R)-5-acetamido-6-hydroxy-2-(sulfooxymethyl)-4-[(2S,3S,4R,5S,6S)-3,4,5-trihydroxy-6-methyloxan-2-yl]oxyoxan-3-yl]oxy-3,5-dihydroxy-6-(sulfooxymethyl)oxan-4-yl]oxy-4-hydroxy-6-[(1R,2R)-1,2,3-trihydroxypropyl]oxane-2-carboxylic acid.[CHEBI:146095]",GlycoEpitope:EP0016|CHEBI:146095|GlycoMotif:GGM.000028,GlycoEpitope:EP0016|CHEBI:146095|GlycoMotif:GGM.000028|GTC:G00659GQ,"6,6'-DiSulfo Sialyl Lewis x|6,6-bisSulfo-Lewis x (6,60-bissulfo Lewis x )|6,6'- Disulfo Sialyl Lewis x|6,6'-bisSulfo-Lewis x|6,6'-bissulfo Lex|6,6'-Disulfo Sialyl Lewis x|6,6'-bissulfo Le^x",lymphocyte homing[GlycoEpitope:EP0016],,,
6-Sialyl-GalNAc,GD000009,G08371CD,"mmunohistochemical distributions of carbohydrate antigens based on the type 2 chain in normal as well as fetal and neoplastic tissues of human gastrointestinal tract were investigated with a monoclonal antibody (MAb) H11 (specific for type 2 chain) alone and in combination with the two MAbs MSG15 (for alpha 2----6 sialylated type 2 chain) and IB9 (for the alpha 2----6 sialylated type 2 chain and glycoproteins having NeuAc alpha 2----6Gal-NAc), and 188C1 (for short- and long-chain Lex antigens) and FH2 (for the long-chain Lex antigen). [PMID: 1618643]",1618643|6194157,An amino disaccharide composed of N-acetylneuraminic acid and 2-(acetylamino)-2-deoxy-D-galactopyranose residues joined by an (α-2→6) glycosidic bond.[CHEBI:146820],GlycoEpitope:EP0352|KEGG:G00455|KEGG:G10625|CHEBI:146820|CID:11409652|GlycoMotif:GGM.000035,GlycoEpitope:EP0352|KEGG:G00455|KEGG:G10625|CHEBI:146820|CID:11409652|GlycoMotif:GGM.000035|GTC:G08371CD,Sialyl Tn antigen|6-Sialyl-GalNAc|6-Sialyl LN|6-Sialyl LN (type 1)|6-Sialyl LN (type 2),,,,
6-Sulfo LacNac,GD000010,G13157WZ,In the search for an additional marker to better dissect the two subsets we have explored the marker 6-sulfo LacNAc (slan).[PMID:31572354],31572354|31191513|29977237|29900053|30984181|28732748|26510404|28769928|31154896|27541644|25262889|26155414|28499587|27086951|27315572|26162403|26391152|31730025|12354382|27318477|23879812|25340085|24682513|21377044|21098395|18942710|23559493|23890755|22643330|23460612|23402811|22890025|19589615|32939325|20210806|17616642|22907335|16782032|22188261|21283706|29875315|32413173|19546436|19384158|1429720|30519676,An oligosaccharide sulfate that is N-acetyllactosamine in which the hydroxy group at position 6 of the N-acetylglucosamine ring has been converted into its hydrogen sulfate derivative.[CHEBI:148005],GlycoEpitope:EP0141|CID:10322152|CHEBI:148005,GlycoEpitope:EP0141|GTC:G13157WZ|CID:10322152|CHEBI:148005,6-Sulfo LacNAc,,,,
