ENSG00000000003	TSPAN6	Ubiquitous low	detected=100.00%,high=75.00%
ENSG00000000005	TNMD	Group enriched	adipose tissue,breast
ENSG00000000419	DPM1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000000457	SCYL3	Ubiquitous low	detected=100.00%,high=2.00%
ENSG00000000460	C1orf112	Mixed low	detected=59.00%,high=0.00%
ENSG00000000938	FGR	Group enriched	spleen,lung,adipose tissue
ENSG00000000971	CFH	Ubiquitous low	detected=100.00%,high=78.00%
ENSG00000001036	FUCA2	Ubiquitous low	detected=100.00%,high=86.00%
ENSG00000001084	GCLC	Ubiquitous low	detected=100.00%,high=59.00%
ENSG00000001167	NFYA	Ubiquitous low	detected=100.00%,high=40.00%
ENSG00000001460	STPG1	Ubiquitous low	detected=100.00%,high=10.00%
ENSG00000001461	NIPAL3	Ubiquitous low	detected=100.00%,high=54.00%
ENSG00000001497	LAS1L	Ubiquitous low	detected=100.00%,high=97.00%
ENSG00000001561	ENPP4	Ubiquitous low	detected=100.00%,high=29.00%
ENSG00000001617	SEMA3F	Ubiquitous low	detected=100.00%,high=59.00%
ENSG00000001626	CFTR	Moderately enriched	pancreas
ENSG00000001629	ANKIB1	Ubiquitous low	detected=100.00%,high=32.00%
ENSG00000001630	CYP51A1	Ubiquitous low	detected=100.00%,high=94.00%
ENSG00000001631	KRIT1	Ubiquitous low	detected=100.00%,high=5.00%
ENSG00000002016	RAD52	Ubiquitous low	detected=100.00%,high=0.00%
ENSG00000002330	BAD	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000002549	LAP3	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000002586	CD99	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000002587	HS3ST1	Mixed high	detected=78.00%,high=8.00%
ENSG00000002726	AOC1	Group enriched	small intestine,colon,kidney
ENSG00000002745	WNT16	Group enriched	skin,cervix,vagina
ENSG00000002746	HECW1	Mixed low	detected=29.00%,high=0.00%
ENSG00000002822	MAD1L1	Ubiquitous low	detected=100.00%,high=27.00%
ENSG00000002834	LASP1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000002919	SNX11	Ubiquitous low	detected=100.00%,high=94.00%
ENSG00000002933	TMEM176A	Ubiquitous low	detected=100.00%,high=91.00%
ENSG00000003056	M6PR	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000003096	KLHL13	Mixed high	detected=89.00%,high=10.00%
ENSG00000003137	CYP26B1	Mixed high	detected=94.00%,high=18.00%
ENSG00000003147	ICA1	Ubiquitous low	detected=100.00%,high=64.00%
ENSG00000003249	DBNDD1	Mixed high	detected=91.00%,high=40.00%
ENSG00000003393	ALS2	Moderately enriched	cerebellum
ENSG00000003400	CASP10	Mixed high	detected=91.00%,high=2.00%
ENSG00000003402	CFLAR	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000003436	TFPI	Mixed high	detected=97.00%,high=64.00%
ENSG00000003509	NDUFAF7	Ubiquitous low	detected=100.00%,high=13.00%
ENSG00000003756	RBM5	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000003987	MTMR7	Mixed high	detected=54.00%,high=8.00%
ENSG00000003989	SLC7A2	Ubiquitous low	detected=100.00%,high=37.00%
ENSG00000004059	ARF5	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000004139	SARM1	Mixed low	detected=97.00%,high=0.00%
ENSG00000004142	POLDIP2	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000004399	PLXND1	Ubiquitous low	detected=100.00%,high=91.00%
ENSG00000004455	AK2	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000004468	CD38	Mixed high	detected=67.00%,high=2.00%
ENSG00000004478	FKBP4	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000004487	KDM1A	Ubiquitous high	detected=100.00%,high=97.00%
ENSG00000004534	RBM6	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000004660	CAMKK1	Mixed high	detected=97.00%,high=48.00%
ENSG00000004700	RECQL	Ubiquitous low	detected=100.00%,high=37.00%
ENSG00000004766	VPS50	Ubiquitous low	detected=100.00%,high=8.00%
ENSG00000004776	HSPB6	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000004777	ARHGAP33	Ubiquitous low	detected=100.00%,high=43.00%
ENSG00000004779	NDUFAB1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000004799	PDK4	Ubiquitous low	detected=100.00%,high=94.00%
ENSG00000004809	SLC22A16	Moderately enriched	testis
ENSG00000004838	ZMYND10	Moderately enriched	testis
ENSG00000004846	ABCB5	Mixed low	detected=8.00%,high=0.00%
ENSG00000004848	ARX	Moderately enriched	ovary
ENSG00000004864	SLC25A13	Ubiquitous low	detected=100.00%,high=27.00%
ENSG00000004866	ST7	Ubiquitous low	detected=100.00%,high=89.00%
ENSG00000004897	CDC27	Ubiquitous low	detected=100.00%,high=67.00%
ENSG00000004939	SLC4A1	Group enriched	kidney,spleen
ENSG00000004948	CALCR	Moderately enriched	hypothalamus
ENSG00000004961	HCCS	Ubiquitous low	detected=100.00%,high=54.00%
ENSG00000004975	DVL2	Ubiquitous low	detected=100.00%,high=91.00%
ENSG00000005001	PRSS22	Group enriched	esophagus,salivary gland,cervix,vagina,kidney
ENSG00000005007	UPF1	Ubiquitous low	detected=100.00%,high=97.00%
ENSG00000005020	SKAP2	Ubiquitous low	detected=100.00%,high=29.00%
ENSG00000005022	SLC25A5	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000005059	MCUB	Mixed high	detected=97.00%,high=2.00%
ENSG00000005073	HOXA11	Mixed high	detected=29.00%,high=16.00%
ENSG00000005075	POLR2J	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000005100	DHX33	Ubiquitous low	detected=100.00%,high=0.00%
ENSG00000005102	MEOX1	Mixed high	detected=51.00%,high=8.00%
ENSG00000005108	THSD7A	Mixed low	detected=54.00%,high=0.00%
ENSG00000005156	LIG3	Ubiquitous low	detected=100.00%,high=8.00%
ENSG00000005175	RPAP3	Ubiquitous low	detected=100.00%,high=13.00%
ENSG00000005187	ACSM3	Mixed high	detected=62.00%,high=18.00%
ENSG00000005189	REXO5	Moderately enriched	testis
ENSG00000005194	CIAPIN1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000005206	SPPL2B	Ubiquitous low	detected=100.00%,high=97.00%
ENSG00000005238	ATOSB	Ubiquitous low	detected=100.00%,high=86.00%
ENSG00000005243	COPZ2	Ubiquitous low	detected=100.00%,high=78.00%
ENSG00000005249	PRKAR2B	Ubiquitous low	detected=100.00%,high=51.00%
ENSG00000005302	MSL3	Ubiquitous low	detected=100.00%,high=97.00%
ENSG00000005339	CREBBP	Ubiquitous low	detected=100.00%,high=72.00%
ENSG00000005379	TSPOAP1	Ubiquitous low	detected=100.00%,high=91.00%
ENSG00000005381	MPO	Group enriched	spleen,lung
ENSG00000005421	PON1	Moderately enriched	liver
ENSG00000005436	GCFC2	Ubiquitous low	detected=100.00%,high=67.00%
ENSG00000005448	WDR54	Ubiquitous low	detected=100.00%,high=45.00%
ENSG00000005469	CROT	Ubiquitous low	detected=100.00%,high=32.00%
ENSG00000005471	ABCB4	Moderately enriched	liver
ENSG00000005483	KMT2E	Ubiquitous low	detected=100.00%,high=81.00%
ENSG00000005486	RHBDD2	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000005513	SOX8	Mixed high	detected=62.00%,high=29.00%
ENSG00000005700	IBTK	Ubiquitous low	detected=100.00%,high=10.00%
ENSG00000005801	ZNF195	Ubiquitous low	detected=100.00%,high=54.00%
ENSG00000005810	MYCBP2	Ubiquitous high	detected=100.00%,high=97.00%
ENSG00000005812	FBXL3	Ubiquitous low	detected=100.00%,high=97.00%
ENSG00000005844	ITGAL	Group enriched	spleen,small intestine,lung,liver
ENSG00000005882	PDK2	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000005884	ITGA3	Ubiquitous low	detected=100.00%,high=64.00%
ENSG00000005889	ZFX	Ubiquitous low	detected=100.00%,high=16.00%
ENSG00000005893	LAMP2	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000005961	ITGA2B	Mixed high	detected=32.00%,high=2.00%
ENSG00000005981	ASB4	Group enriched	adrenal gland,skeletal muscle,pituitary gland
ENSG00000006007	GDE1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000006015	REX1BD	Mixed high	detected=97.00%,high=97.00%
ENSG00000006016	CRLF1	Mixed high	detected=97.00%,high=56.00%
ENSG00000006025	OSBPL7	Ubiquitous low	detected=100.00%,high=29.00%
ENSG00000006042	TMEM98	Ubiquitous low	detected=100.00%,high=97.00%
ENSG00000006047	YBX2	Highly enriched	testis
ENSG00000006059	KRT33A	Moderately enriched	skin
ENSG00000006062	MAP3K14	Ubiquitous low	detected=100.00%,high=5.00%
ENSG00000006071	ABCC8	Mixed high	detected=64.00%,high=10.00%
ENSG00000006116	CACNG3	Mixed high	detected=27.00%,high=18.00%
ENSG00000006118	TMEM132A	Ubiquitous low	detected=100.00%,high=56.00%
ENSG00000006125	AP2B1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000006128	TAC1	Mixed high	detected=64.00%,high=27.00%
ENSG00000006194	ZNF263	Ubiquitous low	detected=100.00%,high=94.00%
ENSG00000006210	CX3CL1	Ubiquitous low	detected=100.00%,high=83.00%
ENSG00000006282	SPATA20	Ubiquitous low	detected=100.00%,high=81.00%
ENSG00000006283	CACNA1G	Mixed high	detected=51.00%,high=5.00%
ENSG00000006327	TNFRSF12A	Ubiquitous low	detected=100.00%,high=62.00%
ENSG00000006377	DLX6	Mixed high	detected=27.00%,high=5.00%
ENSG00000006432	MAP3K9	Mixed low	detected=27.00%,high=0.00%
ENSG00000006451	RALA	Ubiquitous low	detected=100.00%,high=94.00%
ENSG00000006453	BAIAP2L1	Mixed high	detected=72.00%,high=40.00%
ENSG00000006459	KDM7A	Mixed high	detected=91.00%,high=2.00%
ENSG00000006468	ETV1	Moderately enriched	cerebellum
ENSG00000006530	AGK	Ubiquitous low	detected=100.00%,high=83.00%
ENSG00000006534	ALDH3B1	Mixed high	detected=94.00%,high=32.00%
ENSG00000006555	TTC22	Mixed high	detected=59.00%,high=18.00%
ENSG00000006576	PHTF2	Moderately enriched	skeletal muscle
ENSG00000006606	CCL26	Mixed high	detected=43.00%,high=5.00%
ENSG00000006607	FARP2	Ubiquitous low	detected=100.00%,high=62.00%
ENSG00000006611	USH1C	Mixed high	detected=43.00%,high=18.00%
ENSG00000006625	GGCT	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000006634	DBF4	Moderately enriched	testis
ENSG00000006638	TBXA2R	Mixed low	detected=59.00%,high=0.00%
ENSG00000006652	IFRD1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000006659	LGALS14	Not detected	-
ENSG00000006695	COX10	Ubiquitous low	detected=100.00%,high=16.00%
ENSG00000006704	GTF2IRD1	Ubiquitous low	detected=100.00%,high=51.00%
ENSG00000006712	PAF1	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000006715	VPS41	Ubiquitous low	detected=100.00%,high=91.00%
ENSG00000006740	ARHGAP44	Mixed high	detected=89.00%,high=21.00%
ENSG00000006744	ELAC2	Ubiquitous high	detected=100.00%,high=100.00%
ENSG00000006747	SCIN	Mixed high	detected=67.00%,high=16.00%
ENSG00000006756	ARSD	Ubiquitous low	detected=100.00%,high=37.00%
