start	end
700.0	715.5
715.5	729.5
729.5	743.5
743.5	757.5
757.5	771.5
771.5	785.5
785.5	785.5
785.5	799.5
799.5	813.5
813.5	827.5
827.5	841.5
841.5	855.5
855.5	869.5
869.5	883.5
883.5	897.5
897.5	911.5
911.5	925.5
925.5	939.5
939.5	953.5
953.5	967.5
967.5	981.5
981.5	995.5
995.5	1009.5
1009.5	1023.5
1023.5	1037.5
1037.5	1051.5
1051.5	1065.5
1065.5	1079.5
1079.5	1093.5
1093.5	1107.5
1107.5	1121.5
1121.5	1135.5
1135.5	1149.5
1149.5	1163.5
1163.5	1177.5
1177.5	1191.5
1191.5	1205.5
1205.5	1219.5
1219.5	1233.5
1233.5	1247.5
1247.5	1261.5
1261.5	1275.5
1275.5	1289.5
1289.5	1303.5
1303.5	1317.5
1317.5	1331.5
1331.5	1345.5
1345.5	1359.5
1359.5	1373.5
1373.5	1387.5
1387.5	1401.5
1401.5	1415.5
1415.5	1429.5
1429.5	1443.5
1443.5	1457.5
1457.5	1471.5
1471.5	1485.5
1485.5	1499.5
1499.5	1513.5
1513.5	1527.5
1527.5	1542.0
