label	nonspec	spec	total	percent	fisherscore	
Y[pN]	812	1567	2379	34.13	-408.18	
Y[pH2N2]	422	1124	1546	27.3	-49.14	
Y[pN2]	270	752	1022	26.42	-24.63	
Y[pH3N2]	300	852	1152	26.04	-23.04	
Y[pH3N3]	390	1140	1530	25.49	-21.95	
Y[p]	92	239	331	27.79	-16.96	
Y[pH5N4]	209	605	814	25.68	-15.3	
Y[pNF]	98	275	373	26.27	-11.79	
Y[pH2N3F2]	3	4	7	42.86	-6.97	
Y[pHN2F2]	1	0	1	100.0	-6.41	
Y[pN2F2]	1	0	1	100.0	-6.41	
Y[pH4N4F4]	1	0	1	100.0	-6.41	
Y[pH2N2F2]	1	0	1	100.0	-6.41	
Y[pH3N3F]	107	336	443	24.15	-5.61	
Y[pH5N5]	15	41	56	26.79	-5.4	
Y[pH4N4]	93	299	392	23.72	-4.42	
Y[pH7N6FS3]	1	1	2	50.0	-3.92	
Y[pH6N4]	3	7	10	30.0	-3.87	
Y[pH6N6FS]	1	2	3	33.33	-2.67	
Y[pH5N4F2S]	1	2	3	33.33	-2.67	
Y[pH7N6S2]	1	2	3	33.33	-2.67	
Y[pH3N4F]	23	78	101	22.77	-2.61	
Y[pH6N6F]	1	3	4	25.0	-1.9	
Y[pH4N2F]	2	7	9	22.22	-1.9	
Y[pH6N6S3]	0	1	1	0.0	-0.0	
Y[pH5N4F4]	0	1	1	0.0	-0.0	
Y[pH3N3F3]	0	1	1	0.0	-0.0	
Y[pH4N4F3S]	0	1	1	0.0	-0.0	
Y[pH7N6FS]	0	1	1	0.0	-0.0	
Y[pH6N6FS3]	0	1	1	0.0	-0.0	
Y[pH5N7F]	0	1	1	0.0	-0.0	
Y[pH6N5F2S]	0	1	1	0.0	-0.0	
Y[pH4N6S]	0	1	1	0.0	-0.0	
Y[pH6N3F]	0	1	1	0.0	-0.0	
Y[pH5N3FS]	0	1	1	0.0	-0.0	
Y[pH3N5S]	0	1	1	0.0	-0.0	
Y[pH4N5S2]	0	1	1	0.0	-0.0	
Y[pH6N3S]	0	1	1	0.0	-0.0	
Y[pH4N4F3]	0	1	1	0.0	-0.0	
Y[pH3N4F3]	0	1	1	0.0	-0.0	
Y[pH3N5F2]	0	1	1	0.0	-0.0	
Y[pH3N6F]	0	1	1	0.0	-0.0	
Y[pH7N6FS2]	0	1	1	0.0	-0.0	
Y[pH4N5FS2]	0	1	1	0.0	-0.0	
Y[pH5N6FS2]	0	1	1	0.0	-0.0	
Y[pH5N7]	0	1	1	0.0	-0.0	
Y[pH6N4S]	0	1	1	0.0	-0.0	
Y[pH3N5F3]	0	1	1	0.0	-0.0	
Y[pH2N5F]	0	1	1	0.0	-0.0	
Y[pH7N7F]	0	1	1	0.0	-0.0	
Y[pH4N6FS]	0	1	1	0.0	-0.0	
Y[pH8N6S]	0	2	2	0.0	2.26	
Y[pH2N4S]	0	2	2	0.0	2.26	
Y[pH6N3FS]	0	2	2	0.0	2.26	
Y[pH6N6S]	0	2	2	0.0	2.26	
Y[pH5N6S]	0	2	2	0.0	2.26	
Y[pH3N4F2]	2	8	10	20.0	2.29	
Y[pH4N2]	22	78	100	22.0	3.25	
Y[pH6N5F2]	0	3	3	0.0	3.38	
Y[pH6N6]	0	3	3	0.0	3.38	
Y[pH6N4F]	0	3	3	0.0	3.38	
Y[pH4N6F]	0	3	3	0.0	3.38	
Y[pH5N6F]	0	3	3	0.0	3.38	
Y[pH8N7]	0	3	3	0.0	3.38	
Y[pH7N2]	0	3	3	0.0	3.38	
Y[pH5N6]	0	3	3	0.0	3.38	
Y[pH3N4]	24	86	110	21.82	3.49	
Y[pH3N5F]	5	21	26	19.23	3.63	
Y[pH5N3S]	1	7	8	12.5	3.74	
Y[pH4N4F]	38	138	176	21.59	4.19	
Y[pH4N3]	306	1054	1360	22.5	4.19	
Y[pH2N3F]	31	114	145	21.38	4.24	
Y[pH4N5FS]	0	4	4	0.0	4.51	
Y[pH7N6S]	0	4	4	0.0	4.51	
Y[pH5N3F]	0	4	4	0.0	4.51	
Y[pH7N4]	0	4	4	0.0	4.51	
Y[pH5N2F]	0	4	4	0.0	4.51	
Y[pH4N4F2S]	0	4	4	0.0	4.51	
Y[pH7N6F]	0	4	4	0.0	4.51	
Y[pH6N2]	1	9	10	10.0	5.3	
Y[pH4N4FS2]	0	5	5	0.0	5.64	
Y[pHN2F]	20	82	102	19.61	5.92	
Y[pHN2]	216	769	985	21.93	6.07	
Y[pH6N5S3]	2	15	17	11.76	6.62	
Y[pH5N5FS2]	0	6	6	0.0	6.77	
Y[pH3N6]	0	6	6	0.0	6.77	
Y[pH4N4S2]	0	6	6	0.0	6.77	
Y[pH2N5]	0	6	6	0.0	6.77	
Y[pN2F]	17	74	91	18.68	6.87	
Y[pH5N3]	7	37	44	15.91	7.46	
Y[pH4N5]	9	45	54	16.67	7.49	
Y[pH2N3]	63	246	309	20.39	7.87	
Y[pH4N5S]	0	7	7	0.0	7.9	
Y[pH3N4S]	3	22	25	12.0	8.44	
Y[pH7N6]	0	8	8	0.0	9.03	
Y[pH4N6]	0	8	8	0.0	9.03	
Y[pH5N4F3]	0	8	8	0.0	9.03	
Y[pH6N5FS3]	0	8	8	0.0	9.03	
Y[pH5N4S]	115	455	570	20.18	11.91	
Y[pH3N5]	2	24	26	7.69	13.62	
Y[pH5N5S2]	0	13	13	0.0	14.67	
Y[pH6N5]	13	77	90	14.44	14.87	
Y[pH3N2F]	45	207	252	17.86	15.11	
Y[pH4N4F2]	0	14	14	0.0	15.8	
Y[pH3N4FS]	0	15	15	0.0	16.93	
