label	nonspec	spec	total	percent	fisherscore	absint_median
Y[pHN2]	35	61	96	36.46	-35.13	+22239.74
Y[pH2N2]	40	94	134	29.85	-20.30	+49961.25
Y[pN2]	33	76	109	30.28	-18.46	+30082.23
Y[p]	11	19	30	36.67	-14.27	+22689.09
Y[pNF]	11	20	31	35.48	-13.25	+90107.91
Y[pH5N4FS]	7	11	18	38.89	-11.72	+61967.97
Y[pH2N3]	8	16	24	33.33	-9.32	+40849.79
Y[pH3N2]	23	73	96	23.96	-5.36	+53642.90
Y[pH2N2F]	4	11	15	26.67	-3.98	+70731.94
Y[pH5N4S2]	3	9	12	25.00	-3.13	+33600.29
Y[pH6N5S]	3	9	12	25.00	-3.13	+45616.20
Y[pH5N4F]	2	8	10	20.00	-1.79	+38390.75
Y[pH5N4]	14	55	69	20.29	+3.10	+56640.20
Y[pN]	45	172	217	20.74	+3.38	+74640.56
Y[pH3N2F]	2	11	13	15.38	+3.42	+151380.34
Y[pH3N3F]	5	23	28	17.86	+3.63	+74370.69
Y[pH4N3F]	4	21	25	16.00	+4.45	+99079.39
Y[pH4N3FS]	1	9	10	10.00	+4.71	+53476.28
Y[pH3N3S]	13	66	79	16.46	+7.52	+43541.80
Y[pH3N3]	27	127	154	17.53	+8.61	+65842.49
Y[pH5N4S]	9	54	63	14.29	+9.70	+63473.07
Y[pH4N4]	2	23	25	8.00	+11.33	+41380.82
Y[pH4N3S]	10	63	73	13.70	+11.81	+106080.01
Y[pH4N3]	16	109	125	12.80	+20.77	+109166.35
