Gene	Ensembl	RNA tissue specificity	RNA single cell type specificity
TP53	ENSG00000141510	Low tissue specificity	Low cell type specificity
TP53INP1	ENSG00000164938	Tissue enhanced	Cell type enhanced
TP53TG3	ENSG00000183632	Group enriched	Not detected
TP53AIP1	ENSG00000120471	Tissue enhanced	Cell type enhanced
TP53BP2	ENSG00000143514	Low tissue specificity	Cell type enhanced
TP53I3	ENSG00000115129	Tissue enhanced	Cell type enhanced
NOP53	ENSG00000105373	Low tissue specificity	Low cell type specificity
WRAP53	ENSG00000141499	Low tissue specificity	Cell type enhanced
TP53RK	ENSG00000172315	Low tissue specificity	Cell type enhanced
TP53BP1	ENSG00000067369	Low tissue specificity	Low cell type specificity
TP53I11	ENSG00000175274	Low tissue specificity	Cell type enriched
TP53I13	ENSG00000167543	Low tissue specificity	Low cell type specificity
TP53INP2	ENSG00000078804	Tissue enriched	Cell type enhanced
TP53TG3B	ENSG00000261509	Tissue enriched	Not detected
TP53TG3C	ENSG00000205457	Not detected	Not detected
TP53TG3D	ENSG00000205456	Tissue enhanced	Group enriched
TP53TG3E	ENSG00000275034	Group enriched	Not detected
TP53TG3F	ENSG00000278848	Group enriched	Not detected
TP53TG5	ENSG00000124251	Tissue enriched	Group enriched
CFAP53	ENSG00000172361	Group enriched	Group enriched
KRTAP5-3	ENSG00000196224	Tissue enriched	Not detected
USP53	ENSG00000145390	Low tissue specificity	Cell type enhanced
TP63	ENSG00000073282	Tissue enhanced	Cell type enhanced
TRIAP1	ENSG00000170855	Low tissue specificity	Cell type enhanced
PPP1R13B	ENSG00000088808	Low tissue specificity	Cell type enhanced
MDM4	ENSG00000198625	Low tissue specificity	Low cell type specificity
MDM2	ENSG00000135679	Low tissue specificity	Cell type enhanced
RRM2B	ENSG00000048392	Low tissue specificity	Low cell type specificity
LITAF	ENSG00000189067	Low tissue specificity	Cell type enhanced
EI24	ENSG00000149547	Tissue enhanced	Cell type enhanced
PTGES	ENSG00000148344	Tissue enhanced	Cell type enhanced
TOPORS	ENSG00000197579	Low tissue specificity	Cell type enhanced
CDKN1A	ENSG00000124762	Low tissue specificity	Low cell type specificity
CDKN2A	ENSG00000147889	Tissue enhanced	Cell type enhanced
CHEK2	ENSG00000183765	Low tissue specificity	Cell type enhanced
ANO9	ENSG00000185101	Tissue enhanced	Cell type enhanced
AVPI1	ENSG00000119986	Tissue enhanced	Cell type enhanced
BAIAP2	ENSG00000175866	Low tissue specificity	Cell type enhanced
